source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
1,management trainee fresh graduate,2026-05-25 14:59:45,Management Trainee,PT Pasifik Agro Sentosa,Jakarta Selatan,https://id.jobstreet.com/id/job/92206825?type=standard&ref=search-standalone&origin=cardTitle#sol=0afef540ece723463b4e3bbe5e710c9b8fe9b82f,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,business,jabodetabek
2,management trainee fresh graduate,2026-05-25 14:59:50,MANAGEMENT TRAINEE,PT Surabaya Mekabox,Driyorejo,https://id.jobstreet.com/id/job/91880879?type=standard&ref=search-standalone&origin=cardTitle#sol=ba5ed6899a13d94e07cb8f18f2c46d8ce5d856b9,,,,,,unknown,0,0,1,0,1,3.5,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,business,lainnya
3,management trainee fresh graduate,2026-05-25 14:59:54,Management Trainee,PT Maximus Indo Asia,Tangerang,https://id.jobstreet.com/id/job/92091003?type=standard&ref=search-standalone&origin=cardTitle#sol=2f4b048506891ad33431953ee583cbbf29a9ac5c,Rp 4.500.000 – Rp 5.000.000 per month,4500000.0,5000000.0,4750000.0,3.0,4 sampai < 6 juta,1,0,1,0,1,0.0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,business,jabodetabek
4,management trainee fresh graduate,2026-05-25 14:59:58,Management Trainee (MT),PT. Bumimulia Indah Lestari,Cikarang,https://id.jobstreet.com/id/job/92217897?type=standard&ref=search-standalone&origin=cardTitle#sol=1f40f92405d3c12dfb5c89c5c3d31fd92b1452af,,,,,,unknown,0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,business,lainnya
5,management trainee fresh graduate,2026-05-25 15:00:03,Senior Talent Management Analyst,PT Bridgestone Tire Indonesia,Karawang,https://id.jobstreet.com/id/job/92307019?type=standard&ref=search-standalone&origin=cardTitle#sol=31093db74748a72eaa5fb5370e08ea6b2bb17789,,,,,,unknown,0,0,1,0,0,0.0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,engineering,lainnya
6,management trainee fresh graduate,2026-05-25 15:00:07,Collection Leaders Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,https://id.jobstreet.com/id/job/92195555?type=standard&ref=search-standalone&origin=cardTitle#sol=07c205d5baad82b0fb4b59991ee2f66d0a007e07,,,,,,unknown,0,0,1,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,finance,jabodetabek
7,management trainee fresh graduate,2026-05-25 15:00:11,Professional Development Program - Business & Strategy,PT BCA Finance,Jakarta Selatan,https://id.jobstreet.com/id/job/92126377?type=standard&ref=search-standalone&origin=cardTitle#sol=7359a79a1682ae59de37f39b3a7b6d7d3b2544c6,,,,,,unknown,0,0,1,0,1,3.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,business,jabodetabek
8,management trainee fresh graduate,2026-05-25 15:00:20,Management Trainee - Hospitality (Hotel Industry),PT Delonix Group Indonesia,Jakarta Barat,https://id.jobstreet.com/id/job/91777573?type=standard&ref=search-standalone&origin=cardTitle#sol=c9ea200835b75f631aa802311c9b77b13a516b2b,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,business,jabodetabek
9,management trainee fresh graduate,2026-05-25 15:00:23,Management Trainee,PT Prima Hidup Lestari,Jakarta Selatan,https://id.jobstreet.com/id/job/91904778?type=standard&ref=search-standalone&origin=cardTitle#sol=d3224a2cc1b24c1db43a5a5c4a1888aa1da2d9ae,,,,,,unknown,0,0,1,0,1,3.0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,business,jabodetabek
10,management trainee fresh graduate,2026-05-25 15:00:28,Management trainee,Aksaratra Minimalis,Kabupaten Jepara,https://id.jobstreet.com/id/job/92096862?type=standard&ref=search-standalone&origin=cardTitle#sol=7fc23c196f9d78aecaa958324158bf67998ffc5a,Rp 4.000.000 – Rp 5.000.000 per month,4000000.0,5000000.0,4500000.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,business,lainnya
11,management trainee fresh graduate,2026-05-25 15:00:31,Business Development (Fresh Graduate),PT PMA Bluemedia Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92233730?type=standard&ref=search-standalone&origin=cardTitle#sol=436f8261015ce55bb480e9cf9dadaa9c49ea0261,Rp 7.000.000 – Rp 7.500.000 per month,7000000.0,7500000.0,7250000.0,4.0,6 sampai < 8 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,business,jabodetabek
12,management trainee fresh graduate,2026-05-25 15:00:37,Management Trainee,PT Daya Anugrah Mandiri,Jawa Barat,https://id.jobstreet.com/id/job/92310808?type=standard&ref=search-standalone&origin=cardTitle#sol=2ece16f4ad6abaa2cdbdd2221ce9b00f87d63922,,,,,,unknown,0,0,1,1,1,3.2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,business,lainnya
