source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
1,junior programmer fresh graduate,2026-05-25 15:43:56,Junior Programmer,PT IP Network Solusindo,Jakarta Raya,https://id.jobstreet.com/id/job/92314538?type=standard&ref=search-standalone&origin=cardTitle#sol=9bd3479864a4beef089eda1f05608f308aba2aaf,,,,,,unknown,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,data,jabodetabek
2,junior programmer fresh graduate,2026-05-25 15:43:59,Software Developer (Remote),Savant Degrees Pte Ltd,Jakarta Raya,https://id.jobstreet.com/id/job/92306194?type=standard&ref=search-standalone&origin=cardTitle#sol=cc6d1170923af26e10361c97f26a687c952d4eed,,,,,,unknown,0,0,1,1,0,0.0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,data,jabodetabek
3,junior programmer fresh graduate,2026-05-25 15:44:02,Junior Technical Support,PT Fusion Dinamika,Jakarta Barat,https://id.jobstreet.com/id/job/92273952?type=standard&ref=search-standalone&origin=cardTitle#sol=52cd95d214d7f825899a76a6f760870de239cae3,Rp 5.500.000 – Rp 6.500.000 per month,5500000.0,6500000.0,6000000.0,4.0,6 sampai < 8 juta,1,0,1,0,0,0.0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,engineering,jabodetabek
4,junior programmer fresh graduate,2026-05-25 15:44:06,IT Development,"PT Malindo Feedmill,Tbk",Jakarta Selatan,https://id.jobstreet.com/id/job/92315109?type=standard&ref=search-standalone&origin=cardTitle#sol=664374cd2adba67de6e693d10857ce3ce64a62b3,,,,,,unknown,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,data,jabodetabek
5,junior programmer fresh graduate,2026-05-25 15:44:09,Mid-Level Full Stack Developer,Pengiklan Anonim,Jakarta Selatan,https://id.jobstreet.com/id/job/92313759?type=standard&ref=search-standalone&origin=cardTitle#sol=fc172db60f42300d41630de22e2cbefafc681b86,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,data,jabodetabek
6,junior programmer fresh graduate,2026-05-25 15:44:13,System Analyst & Design,PT Nutech Integrasi,Jakarta Selatan,https://id.jobstreet.com/id/job/92286264?type=standard&ref=search-standalone&origin=cardTitle#sol=b2542561bf6ec8632f6cf3f03db6aab406c12c01,,,,,,unknown,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,software,jabodetabek
7,junior programmer fresh graduate,2026-05-25 15:44:16,Fullstack developer,PT Kodenusa Tekno Buana,Jakarta Barat,https://id.jobstreet.com/id/job/92141841?type=standard&ref=search-standalone&origin=cardTitle#sol=ae474a20e4ceea3982a92e1531ec265fc88fee4c,Rp 6.700.000 – Rp 10.000.000 per month,6700000.0,10000000.0,8350000.0,5.0,8 sampai < 10 juta,1,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,software,jabodetabek
8,junior programmer fresh graduate,2026-05-25 15:44:19,PROGRAMMER WEB,Pengiklan Anonim,Karawang,https://id.jobstreet.com/id/job/92092188?type=standard&ref=search-standalone&origin=cardTitle#sol=26437db6c3e5de7534a1090d49f1be9a657d1b0b,Rp 6.000.000 – Rp 7.000.000 per month,6000000.0,7000000.0,6500000.0,4.0,6 sampai < 8 juta,1,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,data,lainnya
9,junior programmer fresh graduate,2026-05-25 15:44:22,IT Programmer Staff,PT Rusli Vinilon Sakti,Jakarta Raya,https://id.jobstreet.com/id/job/92231298?type=standard&ref=search-standalone&origin=cardTitle#sol=be90c2f525b760cdea16129b334105bab7401278,,,,,,unknown,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,2,data,jabodetabek
10,junior programmer fresh graduate,2026-05-25 15:44:25,IT Administrator,Pengiklan Anonim,Jakarta Raya,https://id.jobstreet.com/id/job/92297890?type=standard&ref=search-standalone&origin=cardTitle#sol=1c43655499ee6ba0977136e204ed2945ddd6ee4d,Rp 5.000.000 – Rp 5.500.000 per month,5000000.0,5500000.0,5250000.0,3.0,4 sampai < 6 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,data,jabodetabek
