source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
1,data analyst fresh graduate,2026-05-25 19:38:02,Data Analyst,PT Nusantara Sakti Group (JAKARTA),Jakarta Barat,https://id.jobstreet.com/id/job/91783675?type=standard&ref=search-standalone&origin=cardTitle#sol=a1ae85abed16de6a26b38faa7b341f9dd6c93d82,Rp 7.000.000 – Rp 10.000.000 per month,7000000.0,10000000.0,8500000.0,5.0,8 sampai < 10 juta,1,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,data,jabodetabek
2,data analyst fresh graduate,2026-05-25 19:38:06,Business Analyst Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,https://id.jobstreet.com/id/job/92286722?type=standard&ref=search-standalone&origin=cardTitle#sol=917f3d0f1b439a8fdf6550c39c737b1395fcc5a5,,,,,,unknown,0,0,1,0,1,3.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,data,jabodetabek
3,data analyst fresh graduate,2026-05-25 19:38:10,Collection Leaders Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,https://id.jobstreet.com/id/job/92195555?type=standard&ref=search-standalone&origin=cardTitle#sol=abe21586727ef82028b0376557db068fc013a1bc,,,,,,unknown,0,0,1,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,finance,jabodetabek
4,data analyst fresh graduate,2026-05-25 19:38:14,Data Analyst Staff,Orang Tua Group,Jakarta Raya,https://id.jobstreet.com/id/job/92094201?type=standard&ref=search-standalone&origin=cardTitle#sol=a01b9570053d4b32072dd3ed10710ca7b1ebe7f7,,,,,,unknown,0,0,1,0,1,3.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,data,jabodetabek
5,data analyst fresh graduate,2026-05-25 19:38:18,Data Analyst,CITANUSA GROUP,Kelapa Gading,https://id.jobstreet.com/id/job/92317074?type=standard&ref=search-standalone&origin=cardTitle#sol=93d96cb677c8e49b077d25066e5296b65af6ee7b,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,data,lainnya
6,data analyst fresh graduate,2026-05-25 19:38:21,Business Development (Fresh Graduate),PT PMA Bluemedia Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92233730?type=standard&ref=search-standalone&origin=cardTitle#sol=c7c33ef3d3203e9eac75a1b01f44d172fe1c08ee,Rp 7.000.000 – Rp 7.500.000 per month,7000000.0,7500000.0,7250000.0,4.0,6 sampai < 8 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,business,jabodetabek
7,data analyst fresh graduate,2026-05-25 19:38:24,DATA ANALYST,PT Karya Anugerah Jaya,Sidoarjo,https://id.jobstreet.com/id/job/91910613?type=standard&ref=search-standalone&origin=cardTitle#sol=9e774331f4fd2cb3aa1acb0fd3dd07d989904893,Rp 5.195.000 – Rp 5.200.000 per month,5195000.0,5200000.0,5197500.0,3.0,4 sampai < 6 juta,1,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,2,data,jawa timur
8,data analyst fresh graduate,2026-05-25 19:38:27,Data Analyst,Pengiklan Anonim,Jakarta Selatan,https://id.jobstreet.com/id/job/92210221?type=standard&ref=search-standalone&origin=cardTitle#sol=c10da4f8cc7569b00a9a7dc791fee40635cfb38e,,,,,,unknown,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,data,jabodetabek
9,data analyst fresh graduate,2026-05-25 19:38:31,MAP Active Intern,PT MAP AKTIF ADIPERKASA,Jakarta Raya,https://id.jobstreet.com/id/job/92162697?type=standard&ref=search-standalone&origin=cardTitle#sol=9bb1eb03846ba00b165eab6d644916e4beccdd28,,,,,,unknown,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,business,jabodetabek
10,data analyst fresh graduate,2026-05-25 19:38:35,Data Entry (Internship),Yayasan Adikara Niat,Jakarta Barat,https://id.jobstreet.com/id/job/92306221?type=standard&ref=search-standalone&origin=cardTitle#sol=70939caaee26e4653e7593ef8610a5f6530f8a78,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,administration,jabodetabek
11,data analyst fresh graduate,2026-05-25 19:38:38,Data Analyst Staff,PT Asuransi Umum Bumiputera Muda 1967,Jakarta Raya,https://id.jobstreet.com/id/job/91806673?type=standard&ref=search-standalone&origin=cardTitle#sol=16519d13143d01d213600a95c5c7f6375de2d458,,,,,,unknown,0,0,1,0,1,0.0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,data,jabodetabek
12,data analyst fresh graduate,2026-05-25 19:38:41,Data Analyst Intern,PT Sejahtera Sama Kita,Jakarta Raya,https://id.jobstreet.com/id/job/92155588?type=standard&ref=search-standalone&origin=cardTitle#sol=d9023c217c91cda4f85074fff18deb8581ac4552,,,,,,unknown,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,data,jabodetabek
13,data analyst fresh graduate,2026-05-25 19:38:44,System Analyst & Design,PT Nutech Integrasi,Jakarta Selatan,https://id.jobstreet.com/id/job/92286264?type=standard&ref=search-standalone&origin=cardTitle#sol=b9fcfce5ea9e941428e796eb34bb8ea085a7c9fc,,,,,,unknown,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,software,jabodetabek
14,data analyst fresh graduate,2026-05-25 19:38:48,Club Administration,PT Exertainment Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92233968?type=standard&ref=search-standalone&origin=cardTitle#sol=ad5ae960f40be62b10f79e14afda60a4f6bfa931,,,,,,unknown,0,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,administration,jabodetabek
