source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
1,finance staff fresh graduate,2026-05-25 20:15:41,Staff Finance dan Accounting,PT Rajawali Lintas Kreasi,Jakarta Pusat,https://id.jobstreet.com/id/job/92094160?type=standard&ref=search-standalone&origin=cardTitle#sol=ac9ff135222cd530b25d2f3805698b68acce6f45,,,,,,unknown,0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,software,jabodetabek
2,finance staff fresh graduate,2026-05-25 20:15:45,Staff Finance,PT . GPI Logistics,Jakarta Pusat,https://id.jobstreet.com/id/job/91887586?type=standard&ref=search-standalone&origin=cardTitle#sol=9067cba968359e41d509b84530e56865f55ae87b,Rp 5.700.000 – Rp 6.000.000 per month,5700000.0,6000000.0,5850000.0,3.0,4 sampai < 6 juta,1,0,1,1,1,3.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,finance,jabodetabek
3,finance staff fresh graduate,2026-05-25 20:15:50,Finance & Accounting Staff,PT Santosa Agrindo (Japfa Beef Division),Serang,https://id.jobstreet.com/id/job/92064876?type=standard&ref=search-standalone&origin=cardTitle#sol=ba8fbe434c9488c134411b20d4d4c7229627615f,Rp 5.150.000 – Rp 7.000.000 per month,5150000.0,7000000.0,6075000.0,4.0,6 sampai < 8 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,data,lainnya
4,finance staff fresh graduate,2026-05-25 20:15:54,Administration Intern,PT Dipo Star Finance,Jakarta Pusat,https://id.jobstreet.com/id/job/92313533?type=standard&ref=search-standalone&origin=cardTitle#sol=e8a24dcb05225e5246d9403de678b4521179a157,Rp 2.500.000 – Rp 3.000.000 per month,2500000.0,3000000.0,2750000.0,2.0,2 sampai < 4 juta,1,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,finance,jabodetabek
5,finance staff fresh graduate,2026-05-25 20:15:57,Accounting Staff,PT Indo Prima Perkasa,Jakarta Barat,https://id.jobstreet.com/id/job/92298284?type=standard&ref=search-standalone&origin=cardTitle#sol=637558bf0d771a500550253cf43192f1228be73c,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,finance,jabodetabek
6,finance staff fresh graduate,2026-05-25 20:16:00,Accounting Staff,PT INDOLIFE PENSIONTAMA,Jakarta Raya,https://id.jobstreet.com/id/job/92000473?type=standard&ref=search-standalone&origin=cardTitle#sol=28caed3667f8a68cc1337a6292b9c12dbe0f5fbd,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,30,software,jabodetabek
7,finance staff fresh graduate,2026-05-25 20:16:04,Accounting (Payment Analyst),"PT SMART,Tbk",Jakarta Raya,https://id.jobstreet.com/id/job/92302173?type=standard&ref=search-standalone&origin=cardTitle#sol=c26d1111b586ee447ac09fb0b0d547b29efd4c40,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek
8,finance staff fresh graduate,2026-05-25 20:16:08,FINANCE & ACCOUNTING STAFF (FRESH GRADUATE),PT Evergreen Shipping Agency Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/91754777?type=standard&ref=search-standalone&origin=cardTitle#sol=64a392d81666bf1b3c4f6f4a53477c87732f53ac,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek
9,finance staff fresh graduate,2026-05-25 20:16:11,Admin Finance - Accounting,PT. Bundo Kanduang Berbusana,Jakarta Utara,https://id.jobstreet.com/id/job/92165439?type=standard&ref=search-standalone&origin=cardTitle#sol=b48ed205e147b8d5695108276393249e8d08f928,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,3,software,jabodetabek
10,finance staff fresh graduate,2026-05-25 20:16:14,Account Receivable Staff,PT AFM Aviasi Indonesia,Tangerang,https://id.jobstreet.com/id/job/92180318?type=standard&ref=search-standalone&origin=cardTitle#sol=3630064245239ac6b58a2d3b02adf6a35b466902,,,,,,unknown,0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,finance,jabodetabek
11,finance staff fresh graduate,2026-05-25 20:16:17,FINANCE ASSOCIATE,PT Prima Karya Berjaya,Jakarta Barat,https://id.jobstreet.com/id/job/92052448?type=standard&ref=search-standalone&origin=cardTitle#sol=42238dfd6e57f3e1c253ee1b99fbfe89b8a07363,Treasury subClassification: Perbankan Finansial & Investasi Korporat Perbankan Finansial & Investasi Korporat classification: Perbankan & Layanan | Investasi Korporat Perbankan Finansial & Investasi Korporat classification: Perbankan & Layanan Finansial (Perbankan & Layanan Finansial),,,,,unknown,0,0,1,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,finance,jabodetabek
12,finance staff fresh graduate,2026-05-25 20:16:20,Finance Analyst Staff,PT Kalbe Farma Tbk,Jakarta Timur,https://id.jobstreet.com/id/job/92244034?type=standard&ref=search-standalone&origin=cardTitle#sol=d24982feb5dcd9a0168b67a143ad8e8dcde0e64b,,,,,,unknown,0,0,1,0,1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,finance,jabodetabek
13,finance staff fresh graduate,2026-05-25 20:16:24,Staff Accounting,PT ARTHA KAMIL YAMAGATA,Cengkareng,https://id.jobstreet.com/id/job/91842476?type=standard&ref=search-standalone&origin=cardTitle#sol=c407232734bc89232c23c6d3ce1c574524581b1e,"analisis selisih stok, pahami laporan & perputaran barang, identifikasi masalah & usulkan solusi, kelola persediaan Catat | analisis selisih stok, pahami laporan & perputaran barang, identifikasi masalah & usulkan solusi, kelola persediaan subClassification:",,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,software,lainnya
14,finance staff fresh graduate,2026-05-25 20:16:27,Accounting Staff,PT BINARA GUNA MEDIKTAMA (RS. PONDOK INDAH GROUP),Jakarta Selatan,https://id.jobstreet.com/id/job/92076837?type=standard&ref=search-standalone&origin=cardTitle#sol=6d1433802440fdef1e807d61d9631d5245cf9604,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,finance,jabodetabek
15,finance staff fresh graduate,2026-05-25 20:16:30,"Fast Track Program (Sales, Finance & Distribution) – Fresh Graduate",WINGS Group,Jakarta Raya,https://id.jobstreet.com/id/job/92155028?type=standard&ref=search-standalone&origin=cardTitle#sol=0e3db7c64a89024cf542a9169cb7964d808cec10,,,,,,unknown,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,business,jabodetabek
16,finance staff fresh graduate,2026-05-25 20:16:33,Finance & Accounting,PT SINOPACIFIC PERALATAN INDONUSA,Jakarta Utara,https://id.jobstreet.com/id/job/91881542?type=standard&ref=search-standalone&origin=cardTitle#sol=68fd40d4cf38b14515f0a00ceb8355636cec1203,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,software,jabodetabek
17,finance staff fresh graduate,2026-05-25 20:16:36,FINANCE ACCOUNTING & TAX STAFF,PT Kuopacific Nusantara,Kelapa Gading,https://id.jobstreet.com/id/job/92286576?type=standard&ref=search-standalone&origin=cardTitle#sol=8954ca27135f780a4bdd9c905807772b714f7cf1,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,finance,lainnya
18,finance staff fresh graduate,2026-05-25 20:16:39,Finance Staff,PT Perindustrian Bapak Djenggot (Orang Tua Group),Jakarta Barat,https://id.jobstreet.com/id/job/92144630?type=standard&ref=search-standalone&origin=cardTitle#sol=cf6a0eb7c8cd472a874e81cf15d522e48cade61a,,,,,,unknown,0,0,1,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek
19,finance staff fresh graduate,2026-05-25 20:16:43,Finance Admin Staff,PT Total Movements International,Jakarta Selatan,https://id.jobstreet.com/id/job/91948498?type=standard&ref=search-standalone&origin=cardTitle#sol=4782bee381adddca9d01b5621128c1ad8fca6d8c,Rp 5.130.000 – Rp 6.500.000 per month,5130000.0,6500000.0,5815000.0,3.0,4 sampai < 6 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,finance,jabodetabek
20,finance staff fresh graduate,2026-05-25 20:16:47,ACCOUNTING STAFF,PT Piping System Indonesia,Jakarta Utara,https://id.jobstreet.com/id/job/92204672?type=standard&ref=search-standalone&origin=cardTitle#sol=991c18b12dac590e6a710525de1326f28f7a9a74,,,,,,unknown,0,1,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,software,jabodetabek
21,finance staff fresh graduate,2026-05-25 20:16:51,FINANCE STAFF,PT. Indoneka Lancar Jaya,Jakarta Raya,https://id.jobstreet.com/id/job/91827679?type=standard&ref=search-standalone&origin=cardTitle#sol=23f5a2199e4844c2fd8814775c0c4cafeae1a9cb,Rp 4.500.000 – Rp 5.300.000 per month,4500000.0,5300000.0,4900000.0,3.0,4 sampai < 6 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,software,jabodetabek
22,finance staff fresh graduate,2026-05-25 20:16:54,Finance Staff,Yayasan BKSP Bakti Mulya 400,Cileungsi,https://id.jobstreet.com/id/job/92228042?type=standard&ref=search-standalone&origin=cardTitle#sol=ca432294cbacf937bf442f8224afc3f2de7455e0,Rp 6.000.000 – Rp 6.500.000 per month,6000000.0,6500000.0,6250000.0,4.0,6 sampai < 8 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,software,lainnya
23,finance staff fresh graduate,2026-05-25 20:16:57,STAFF FINANCE,PT Jin Bang Da Technology,Surabaya,https://id.jobstreet.com/id/job/91908652?type=standard&ref=search-standalone&origin=cardTitle#sol=a3bc6aa7002a94ac4efde1a37e1e3645205c1649,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,finance,jawa timur
24,finance staff fresh graduate,2026-05-25 20:17:01,ACCOUNTING STAFF,PT Antarmitra Sembada,Jakarta Barat,https://id.jobstreet.com/id/job/92281711?type=standard&ref=search-standalone&origin=cardTitle#sol=9cbfb17a6e546093a03624cca9941bf55c4ea04d,,,,,,unknown,0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,business,jabodetabek
25,finance staff fresh graduate,2026-05-25 20:17:04,Finance and Accounting Staff,PT Masplast Poly Film,Gedebage,https://id.jobstreet.com/id/job/91886041?type=standard&ref=search-standalone&origin=cardTitle#sol=45ea4db61d381dc03bd2b95dc87594d95d042e94,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,finance,lainnya
26,finance staff fresh graduate,2026-05-25 20:17:07,Admin Accounting,PT Roda Rollen Indonesia,Jakarta Pusat,https://id.jobstreet.com/id/job/92223259?type=standard&ref=search-standalone&origin=cardTitle#sol=4b40a4603325cbd1d4057fb0088cd438e2c3fcf1,Rp 5.730.000 – Rp 6.000.000 per month,5730000.0,6000000.0,5865000.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek
27,finance staff fresh graduate,2026-05-25 20:17:10,Budgeting Control,PT. BNI MULTIFINANCE,Jakarta Selatan,https://id.jobstreet.com/id/job/91752903?type=standard&ref=search-standalone&origin=cardTitle#sol=9d2092773b45b6f7001c3cf6adfed0e3c419cb5a,"perusahaan secara efektif dan efisien serta berperan penting dalam perencanaan, pengawasan, dan pelaporan anggaran. Mengelola anggaran | perusahaan secara efektif dan efisien serta berperan penting dalam perencanaan, pengawasan, dan pelaporan anggaran. subClassification: Akuntansi",,,,,unknown,0,0,1,0,1,3.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,software,jabodetabek
28,finance staff fresh graduate,2026-05-25 20:17:13,Staff Finance,PT Daikin Manufacturing Indonesia,Cikarang Selatan,https://id.jobstreet.com/id/job/91964998?type=standard&ref=search-standalone&origin=cardTitle#sol=b4b000214bd377bfd0969a7447294ae4ae55363b,,,,,,unknown,0,1,0,1,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,finance,lainnya
29,finance staff fresh graduate,2026-05-25 20:17:17,Accounting & Finance Junior Staff (Back Up Maternity Leave 6 Months),PT JFE Steel Galvanizing Indonesia,Kabupaten Bekasi,https://id.jobstreet.com/id/job/91905589?type=standard&ref=search-standalone&origin=cardTitle#sol=8ca472a2b36f49a29fbbd0bf549a7e494f455ac1,Rp 6.000.000 – Rp 8.000.000 per month,6000000.0,8000000.0,7000000.0,4.0,6 sampai < 8 juta,1,1,1,0,0,0.0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,finance,jabodetabek
30,finance staff fresh graduate,2026-05-25 20:17:20,STAFF FINANCE,PT Tractor Makmur Abadi,Jakarta Utara,https://id.jobstreet.com/id/job/92195730?type=standard&ref=search-standalone&origin=cardTitle#sol=ee0b004b35291b51318c9ac00463e7b2fd892d0f,,,,,,unknown,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek
31,finance staff fresh graduate,2026-05-25 20:17:32,Finance Mandarin Speaker,PT Halocoko Ice Cream Indonesia,Jakarta Raya,https://id.jobstreet.com/id/job/91897565?type=standard&ref=search-standalone&origin=cardTitle#sol=24fdc8f8a0cf4f04e58fc9881d90719f4d9197a4,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,finance,jabodetabek
32,finance staff fresh graduate,2026-05-25 20:17:35,ADMIN FINANCE,PT Nafeeza Radhya Bogatama,Bogor,https://id.jobstreet.com/id/job/92026447?type=standard&ref=search-standalone&origin=cardTitle#sol=fcb248fb27cd8f5cf8085f66421c1aacc25460c3,,,,,,unknown,0,1,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek
33,finance staff fresh graduate,2026-05-25 20:17:39,FINANCE STAFF,PT Satyaraya Keramindoindah,Balaraja,https://id.jobstreet.com/id/job/92140852?type=standard&ref=search-standalone&origin=cardTitle#sol=8b1e75689c51131c84f05cee63ef99bfa81fa0e2,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,finance,lainnya
