source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
1,admin staff fresh graduate,2026-05-25 21:06:04,Administration Intern,PT Dipo Star Finance,Jakarta Pusat,https://id.jobstreet.com/id/job/92313533?type=standard&ref=search-standalone&origin=cardTitle#sol=78ddb0665afde3fbe5bf951aac9958b6a7a215bc,Rp 2.500.000 – Rp 3.000.000 per month,2500000.0,3000000.0,2750000.0,2.0,2 sampai < 4 juta,1,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,finance,jabodetabek
2,admin staff fresh graduate,2026-05-25 21:06:08,Administrative Staff,PT Korea Visa Center Jakarta,Jakarta Selatan,https://id.jobstreet.com/id/job/92312996?type=standard&ref=search-standalone&origin=cardTitle#sol=74825d02d7dfdf8b4952a5d3fcfb689692b68b40,,,,,,unknown,0,0,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,administration,jabodetabek
3,admin staff fresh graduate,2026-05-25 21:06:13,Sales Administration Staff (Bandung),PT. LEONG HUP JAYAINDO,Bandung,https://id.jobstreet.com/id/job/92219982?type=standard&ref=search-standalone&origin=cardTitle#sol=85f8b3b3fb61928522c5d22190a362ef73638d71,,,,,,unknown,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,business,jawa barat
4,admin staff fresh graduate,2026-05-25 21:06:18,Data Entry (Internship),Yayasan Adikara Niat,Jakarta Barat,https://id.jobstreet.com/id/job/92306221?type=standard&ref=search-standalone&origin=cardTitle#sol=aef002b9ee892e08602a66a69bd7ef11de00caeb,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,administration,jabodetabek
5,admin staff fresh graduate,2026-05-25 21:06:22,Xtra Product Administration Staff,PT Sinar Mitra Sepadan Finance,Jakarta Selatan,https://id.jobstreet.com/id/job/92055375?type=standard&ref=search-standalone&origin=cardTitle#sol=afae1f5e36b4616bb4a1654fa4688b2b0c589283,,,,,,unknown,0,1,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,business,jabodetabek
6,admin staff fresh graduate,2026-05-25 21:06:26,Kasir (Unit Handling Equipment - HE),PT Jaya Trade Indonesia,Jakarta Raya,https://id.jobstreet.com/id/job/92177813?type=standard&ref=search-standalone&origin=cardTitle#sol=f93e4f1fbf78c587185462e47a7756df3ceeabe8,,,,,,unknown,0,1,0,0,1,3.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,finance,jabodetabek
7,admin staff fresh graduate,2026-05-25 21:06:31,Admin Executive,PT Procarre International Indonesia,Jakarta Barat,https://id.jobstreet.com/id/job/92164316?type=standard&ref=search-standalone&origin=cardTitle#sol=a3312d9e74c672525bd4b3c20ea180ddc1f26d4f,Rp 5.300.000 – Rp 5.600.000 per month,5300000.0,5600000.0,5450000.0,3.0,4 sampai < 6 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,finance,jabodetabek
8,admin staff fresh graduate,2026-05-25 21:06:35,Staff Administrasi,CV. Chaakralogi (Chaakra Consulting),Surabaya,https://id.jobstreet.com/id/job/92002024?type=standard&ref=search-standalone&origin=cardTitle#sol=f24ded554dc25f18f922b52dfb6a44396e565e9c,Rp 2.400.000 – Rp 3.000.000 per month,2400000.0,3000000.0,2700000.0,2.0,2 sampai < 4 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,administration,jawa timur
9,admin staff fresh graduate,2026-05-25 21:06:39,Admin HR,PT. SUPRA TUSAMAN ABADI,Karawaci,https://id.jobstreet.com/id/job/92318272?type=standard&ref=search-standalone&origin=cardTitle#sol=8cfbdfd418139f0575173d8aab9e768fefd68144,Rp 4.000.000 – Rp 5.000.000 per month,4000000.0,5000000.0,4500000.0,3.0,4 sampai < 6 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,administration,lainnya
10,admin staff fresh graduate,2026-05-25 21:06:44,Document Compliance Admin,PT Propan Raya Industrial Coating Chemicals,Kabupaten Tangerang,https://id.jobstreet.com/id/job/92281939?type=standard&ref=search-standalone&origin=cardTitle#sol=31a54ccf88581a1ddc02db8fe012dd3353e560fd,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,finance,jabodetabek
