source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
1,marketing staff fresh graduate,2026-05-25 22:03:05,Consumer Marketing 2 Staff,PT Bridgestone Tire Indonesia,Karawang,https://id.jobstreet.com/id/job/92302909?type=standard&ref=search-standalone&origin=cardTitle#sol=1d07314341c8862de64c9762d9675daa20c21695,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,business,lainnya
2,marketing staff fresh graduate,2026-05-25 22:03:11,Marketing Coordinator (Junior),PT Nusantara Sakti Group (JAKARTA),Jakarta Raya,https://id.jobstreet.com/id/job/92063798?type=standard&ref=search-standalone&origin=cardTitle#sol=e75140a79fd92b2a43c558edfbd1e0fef556e940,Rp 5.000.000 – Rp 6.650.000 per month,5000000.0,6650000.0,5825000.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,business,jabodetabek
3,marketing staff fresh graduate,2026-05-25 22:03:16,Business Development (Fresh Graduate),PT PMA Bluemedia Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92233730?type=standard&ref=search-standalone&origin=cardTitle#sol=4cb719e57fa8b46f52a908bc11de57e9edfba4c4,Rp 7.000.000 – Rp 7.500.000 per month,7000000.0,7500000.0,7250000.0,4.0,6 sampai < 8 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,business,jabodetabek
4,marketing staff fresh graduate,2026-05-25 22:03:20,Consumer Marketing 1 Staff,PT Bridgestone Tire Indonesia,Karawang,https://id.jobstreet.com/id/job/92302832?type=standard&ref=search-standalone&origin=cardTitle#sol=bac01b2aa9497bf0f0bafe21ac2b19ac49e5f320,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,software,lainnya
5,marketing staff fresh graduate,2026-05-25 22:03:23,Sales Development Program- Sales Admin,PT. Mega Bintang Mas Indonesia,Medan,https://id.jobstreet.com/id/job/92085733?type=standard&ref=search-standalone&origin=cardTitle#sol=fd04fb9c176e061c14a67e4a5cdeed61a83ffd50,Rp 4.500.000 – Rp 6.500.000 per month,4500000.0,6500000.0,5500000.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,business,sumatera
6,marketing staff fresh graduate,2026-05-25 22:03:27,Marketing/Sales (two position),PT DANBI GLOBAL INDONESIA,Jakarta Raya,https://id.jobstreet.com/id/job/92306237?type=standard&ref=search-standalone&origin=cardTitle#sol=0ed54abfaa9d84d20f0d6e058ff8faf211c40cf7,Rp 4.000.000 – Rp 5.729.876 per month,4000000.0,5729876.0,4864938.0,3.0,4 sampai < 6 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,business,jabodetabek
7,marketing staff fresh graduate,2026-05-25 22:03:31,Marketing Associates,PT.INFINITY GRIYA ANUGERAH,Jakarta Barat,https://id.jobstreet.com/id/job/91892080?type=standard&ref=search-standalone&origin=cardTitle#sol=6c69477eb6c549bb453d23232e2f544998e17086,Rp 15.000.000 – Rp 20.000.000 per month,15000000.0,20000000.0,17500000.0,6.0,>= 10 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,business,jabodetabek
8,marketing staff fresh graduate,2026-05-25 22:03:34,Technical Engineering Staff,PT Kanematsu KGK Indonesia,Jakarta Raya,https://id.jobstreet.com/id/job/92258919?type=standard&ref=search-standalone&origin=cardTitle#sol=2b531ca27e1249df45674bbb1fbaee2d3b91b0eb,Rp 6.000.000 – Rp 7.000.000 per month,6000000.0,7000000.0,6500000.0,4.0,6 sampai < 8 juta,1,0,1,0,0,0.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,business,jabodetabek
9,marketing staff fresh graduate,2026-05-25 22:03:38,Social Media Specialist,PT Movi Ventura Prima,Jakarta Selatan,https://id.jobstreet.com/id/job/92311373?type=standard&ref=search-standalone&origin=cardTitle#sol=c445fc1bdb97a1f4d2bb0e8c5739427b7dbb5a79,Rp 5.000.000 – Rp 6.000.000 per month,5000000.0,6000000.0,5500000.0,3.0,4 sampai < 6 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,business,jabodetabek
10,marketing staff fresh graduate,2026-05-25 22:03:41,Sales & Marketing Staff - Trading (Open for Fresh Graduate) - (B-130616),RGF HR Agent Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92141408?type=standard&ref=search-standalone&origin=cardTitle#sol=85d8ff4868dc5a6835adc21f6be0e4884bf0f0b1,Rp 5.800.000 – Rp 8.500.000 per month,5800000.0,8500000.0,7150000.0,4.0,6 sampai < 8 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,business,jabodetabek
