source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
1,internship s1,2026-05-25 22:59:05,Collection Leaders Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,https://id.jobstreet.com/id/job/92195555?type=standard&ref=search-standalone&origin=cardTitle#sol=ba0202c8160faec638af25e539261ebfffb937fb,,,,,,unknown,0,0,1,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,finance,jabodetabek
2,internship s1,2026-05-25 22:59:10,Marketing Coordinator (Junior),PT Nusantara Sakti Group (JAKARTA),Jakarta Raya,https://id.jobstreet.com/id/job/92063798?type=standard&ref=search-standalone&origin=cardTitle#sol=839ff8cd07c76b387e5bf0a2c853baf2537f1a00,Rp 5.000.000 – Rp 6.650.000 per month,5000000.0,6650000.0,5825000.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,business,jabodetabek
3,internship s1,2026-05-25 22:59:15,OPERATOR BLOWN PRINTING COLOR PLASTICS,PT Swanson Plastics Indonesia,Mojokerto,https://id.jobstreet.com/id/job/92315702?type=standard&ref=search-standalone&origin=cardTitle#sol=5bbd8d42e57a362200370d81aa2c2948c33344ff,Rp 5.176.101 – Rp 5.180.000 per month,5176101.0,5180000.0,5178050.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,other,lainnya
4,internship s1,2026-05-25 22:59:19,Management trainee,Aksaratra Minimalis,Kabupaten Jepara,https://id.jobstreet.com/id/job/92096862?type=standard&ref=search-standalone&origin=cardTitle#sol=672b7cf75a46fd2d2a3a55f7b11c428e417b955a,Rp 4.000.000 – Rp 5.000.000 per month,4000000.0,5000000.0,4500000.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,business,lainnya
5,internship s1,2026-05-25 22:59:23,Danamon Banking Officer Trainee (Jabodetabek),"PT Bank Danamon Indonesia, Tbk",Jakarta Raya,https://id.jobstreet.com/id/job/92228111?type=standard&ref=search-standalone&origin=cardTitle#sol=78a9cccf70d9b765b3a7211d788619d846ecbc7d,,,,,,unknown,0,0,1,0,1,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,business,jabodetabek
6,internship s1,2026-05-25 22:59:28,Kepala Cabang MT (SOH) area Bangka Belitung,PT Tunas Ridean,Pangkal Pinang,https://id.jobstreet.com/id/job/92299951?type=standard&ref=search-standalone&origin=cardTitle#sol=82274e44b35b223ea3bf4c3c177da7f3a1bc2452,,,,,,unknown,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,2,business,lainnya
7,internship s1,2026-05-25 22:59:32,Admin HR,PT. SUPRA TUSAMAN ABADI,Karawaci,https://id.jobstreet.com/id/job/92318272?type=standard&ref=search-standalone&origin=cardTitle#sol=fa4d5ae5d35a40981f71a5674899d582e2e176be,Rp 4.000.000 – Rp 5.000.000 per month,4000000.0,5000000.0,4500000.0,3.0,4 sampai < 6 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,administration,lainnya
8,internship s1,2026-05-25 22:59:37,Business Analyst Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,https://id.jobstreet.com/id/job/92286722?type=standard&ref=search-standalone&origin=cardTitle#sol=4830d339b1c7a0a4886eeaa83eb9f464d630e23c,,,,,,unknown,0,0,1,0,1,3.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,data,jabodetabek
9,internship s1,2026-05-25 22:59:41,Sales Development Program- Sales Admin,PT. Mega Bintang Mas Indonesia,Medan,https://id.jobstreet.com/id/job/92085733?type=standard&ref=search-standalone&origin=cardTitle#sol=c042137b08e3d4761ee4dc6894b3daacfaf3f6bd,Rp 4.500.000 – Rp 6.500.000 per month,4500000.0,6500000.0,5500000.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,business,sumatera
10,internship s1,2026-05-25 22:59:46,Assistant Teacher,Yayasan Bina Tunas Cemerlang,Bogor,https://id.jobstreet.com/id/job/92314790?type=standard&ref=search-standalone&origin=cardTitle#sol=29d4cf3a70e6f9ea2a80ee8eea4945e67762fecd,,,,,,unknown,0,1,1,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,other,jabodetabek
