source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
1,magang berbayar,2026-06-04 00:19:48,Internship at PT ABM Investama,PT ABM Investama,Jakarta Selatan,https://id.jobstreet.com/id/job/92334404?type=standard&ref=search-standalone&origin=cardTitle#sol=0902bf15937ea6fe35573b6b31d11041403d5197,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,data,jabodetabek
2,magang berbayar,2026-06-04 00:21:19,Staff Billing & Collection Retail,PT Circlecom Nusantara Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92093726?type=standard&ref=search-standalone&origin=cardTitle#sol=bbd4f9eb4cd84a15a7b8c453c4dd56ee049dbe9b,,1500000,1500000,1500000,1,1 sampai < 2 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek
3,magang berbayar,2026-06-04 00:25:23,Host Live,Najmina Beautycare,Kota Blora,https://id.jobstreet.com/id/job/92479062?type=standard&ref=search-standalone&origin=cardTitle#sol=fc805123f80d85995c02d46622351d49905d0ab7,Rp 1.800.000 – Rp 2.100.000 per month,1800000,2100000,1950000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,business,lainnya
4,magang berbayar,2026-06-04 00:30:00,Professional Bartender & Mixology,Flairmix Indonesia,Denpasar,https://id.jobstreet.com/id/job/91944927?type=standard&ref=search-standalone&origin=cardTitle#sol=e9c8b795d768e61b2510a34e4445cb803d8d443c,Rp 1.200.000 – Rp 1.800.000 per hour,1200000,1800000,1500000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,other,lainnya
5,magang berbayar,2026-06-04 00:31:56,Finance & Accounting Intern,Pengiklan Anonim,Jakarta Barat,https://id.jobstreet.com/id/job/92488207?type=standard&ref=search-standalone&origin=cardTitle#sol=d89d3ef9edb0b90c4ad01eafd3a50ebe2bc6fad8,Rp1.500.000 – Rp2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,0,0,1,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,finance,jabodetabek
6,magang berbayar,2026-06-04 00:32:02,General Affairs Intern,PT Mutiara Asia Makmur,Jakarta Raya,https://id.jobstreet.com/id/job/92488532?type=standard&ref=search-standalone&origin=cardTitle#sol=ea9ec499f986ab82dc78bd96ee4c1a8776c0af6d,Rp 1.500.000 – Rp 1.900.000 per month,1500000,1900000,1700000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,administration,jabodetabek
7,magang berbayar,2026-06-04 00:33:47,Social Media (magang/ freelance),PT DAHAYU KENCANA PARAHYANGAN,Bandung Barat,https://id.jobstreet.com/id/job/92464442?type=standard&ref=search-standalone&origin=cardTitle#sol=08af61d147b6bbd247d6c462c3c6b43d1287a4af,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,other,jawa barat
8,magang berbayar,2026-06-04 00:34:28,INTERNSHIP ADMIN SALES (PAID),PT. Riaputra Metalindo,Sidoarjo,https://id.jobstreet.com/id/job/92421803?type=standard&ref=search-standalone&origin=cardTitle#sol=e8977b93386c3a5188f62e5f687e117b70d3a05f,Rp 500.000 per month,500000,500000,500000,0,0 sampai < 1 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,business,jawa timur
9,magang berbayar,2026-06-04 00:34:38,Content Creator Intern,PT. Citra Nusa Insanmandiri (CNI Indonesia),Jakarta Barat,https://id.jobstreet.com/id/job/92455492?type=standard&ref=search-standalone&origin=cardTitle#sol=9703bac1d16b6cd3e3710f1eddc3648a42311b10,Rp 1.000.000 – Rp 1.500.000 per month,1000000,1500000,1250000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,business,jabodetabek
10,magang berbayar,2026-06-04 00:40:08,Content Specialist Intern,PT Medindo Solusi Kesehatan,Jakarta Selatan,https://id.jobstreet.com/id/job/92314898?type=standard&ref=search-standalone&origin=cardTitle#sol=57a04e91e9948bba900f5bcda2f7613730129fa2,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,business,jabodetabek
11,magang berbayar,2026-06-04 00:42:35,End to End Commercial Intern,PT Putra Mulia Telecommunication,Jakarta Selatan,https://id.jobstreet.com/id/job/92321399?type=standard&ref=search-standalone&origin=cardTitle#sol=c98c6745aaaeae9665957d1f0bbc5c0d997a3802,Rp 1.000.000 – Rp 1.500.000 per month,1000000,1500000,1250000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,software,jabodetabek
12,magang berbayar,2026-06-04 00:44:10,Magang Admin Marketing,PT. ZHIKU PRIMA LESTARI,Jakarta Timur,https://id.jobstreet.com/id/job/92385654?type=standard&ref=search-standalone&origin=cardTitle#sol=fddfa4998d46552970c82f3f9f9ea109d0a0d844,Rp 500.000 – Rp 750.000 per month,500000,750000,625000,0,0 sampai < 1 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,business,jabodetabek
13,magang berbayar,2026-06-04 00:45:19,Business Development Internship,PT Gama Abyakta Sejahtera,Kabupaten Bekasi,https://id.jobstreet.com/id/job/92309615?type=standard&ref=search-standalone&origin=cardTitle#sol=9e00a33fc188a92b281e318046a5e241eba157a3,Rp 1.000.000 – Rp 1.500.000 per month,1000000,1500000,1250000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,business,jabodetabek
14,magang berbayar,2026-06-04 00:45:25,Staff Toko Pagi - Staff Toko Malam - Staff Toko Part Time,Tomodachi Petshop,Bandung,https://id.jobstreet.com/id/job/89051851?type=standard&ref=search-standalone&origin=cardTitle#sol=8b3fc7942bb5797a11d0a4aa7f34274db6797fe8,,650000,1300000,975000,0,0 sampai < 1 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,other,jawa barat
15,magang berbayar,2026-06-04 00:45:30,Magang Admin E-commerce,PT. Tritunggal Makmur Indonesia (FUJISHOPid),Jakarta Barat,https://id.jobstreet.com/id/job/92339355?type=standard&ref=search-standalone&origin=cardTitle#sol=7d8f0e9aa064c86b044ad720773a02212b800d05,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,administration,jabodetabek
16,magang berbayar,2026-06-04 00:46:15,CONTENT CREATOR INTERNSHIP,Penyetan Cok Waru,Sidoarjo,https://id.jobstreet.com/id/job/92253863?type=standard&ref=search-standalone&origin=cardTitle#sol=dd1c3aedae7b254efa5b4ccc50d4205d9d2e169b,Rp 1.000.000 – Rp 1.200.000 per month,1000000,1200000,1100000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,other,jawa timur
17,magang berbayar,2026-06-04 00:46:54,Guru Pengajar,Aeli School Surabaya,Surabaya,https://id.jobstreet.com/id/job/92271199?type=standard&ref=search-standalone&origin=cardTitle#sol=2e0905bc2c674cc49de93bcc4446051b67630c6c,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,other,jawa timur
18,magang berbayar,2026-06-04 00:46:59,Barista,Brewin Keliling,DI Yogyakarta,https://id.jobstreet.com/id/job/92297688?type=standard&ref=search-standalone&origin=cardTitle#sol=8419d956e0420dae38690cd205d36446d24b06a2,Rp 800.000 – Rp 1.000.000 per month,800000,1000000,900000,0,0 sampai < 1 juta,1,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,administration,jawa tengah diy
19,magang berbayar,2026-06-04 00:47:27,HR Staff Part Time,Kebab Dara & Cokoteh,Pekanbaru Kota,https://id.jobstreet.com/id/job/92280094?type=standard&ref=search-standalone&origin=cardTitle#sol=5845edd9efc754a13e7a3e769efedd5097c68fc1,Rp 1.000.000 – Rp 1.100.000 per month,1000000,1100000,1050000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,administration,sumatera
20,magang berbayar,2026-06-04 00:47:39,Admin Intern,PT Sembilan Wali Nusantara,Poncokusumo,https://id.jobstreet.com/id/job/92267664?type=standard&ref=search-standalone&origin=cardTitle#sol=11194d7e8fec396fd0d102c7d087306e0b20ecc5,Rp 800.000 – Rp 1.000.000 per month,800000,1000000,900000,0,0 sampai < 1 juta,1,0,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,business,lainnya
21,magang berbayar,2026-06-04 00:47:48,Staff Toko (Part Time & Full Time),Tomodachi Petshop,Bandung,https://id.jobstreet.com/id/job/90051525?type=standard&ref=search-standalone&origin=cardTitle#sol=61393290bfd5a6c6e8a30347a6d553bc54c8f797,,1800000,1950000,1875000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,other,jawa barat
22,magang berbayar,2026-06-04 00:48:33,TEAM RECRUITMENT (MAGANG),Pengiklan Anonim,Jakarta Selatan,https://id.jobstreet.com/id/job/92243990?type=standard&ref=search-standalone&origin=cardTitle#sol=69c820e90b458ea8d6411b00adfa5d0474c9e25f,Rp 800.000 – Rp 1.000.000 per month,800000,1000000,900000,0,0 sampai < 1 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,other,jabodetabek
23,magang berbayar,2026-06-04 00:49:15,Functional Staff Intern - IT,PT Importa Jaya Abadi,DI Yogyakarta,https://id.jobstreet.com/id/job/92294172?type=standard&ref=search-standalone&origin=cardTitle#sol=5dc9c732103985cdcff5ce27a224abdee7be91be,Rp 1.000.000 – Rp 1.300.000 per month,1000000,1300000,1150000,1,1 sampai < 2 juta,1,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,administration,jawa tengah diy
24,magang berbayar,2026-06-04 00:49:57,Admin Kantor Magang,PT. Makmur Inovasi Abadi,Tarumajaya,https://id.jobstreet.com/id/job/92232613?type=standard&ref=search-standalone&origin=cardTitle#sol=21d180caf4ebedcc86e534dd9c16eea9b29d0d0e,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,administration,lainnya
25,magang berbayar,2026-06-04 00:52:02,Software Quality Assurance - Magang Berbayar,PT Bimasakti Multi Sinergi,Sidoarjo,https://id.jobstreet.com/id/job/91991815?type=standard&ref=search-standalone&origin=cardTitle#sol=0fa4082db8439c1321eadcf753546b2dfcda50a8,Rp 1.000.000 – Rp 1.000.005 per month,1000000,1000005,1000002,1,1 sampai < 2 juta,1,0,1,0,0,0.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,software,jawa timur
26,magang berbayar,2026-06-04 00:52:35,Sales Online,Klick Group,Depok,https://id.jobstreet.com/id/job/92049667?type=standard&ref=search-standalone&origin=cardTitle#sol=7285da0daad558b1ef8178265d42a503634b2722,Rp 1.850.000 – Rp 1.900.000 per month,1850000,1900000,1875000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,business,jabodetabek
27,magang berbayar,2026-06-04 00:53:07,Magang Host Live,PT. Tritunggal Makmur Indonesia (FUJISHOPid),Jakarta Raya,https://id.jobstreet.com/id/job/92229010?type=standard&ref=search-standalone&origin=cardTitle#sol=37c04ad38cdf13118a4298a3224abdf2e2a4c113,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,other,jabodetabek
28,magang berbayar,2026-06-04 00:55:45,Sales Marketing & Operation Intern,PT Garda Tani Indonesia,Surabaya,https://id.jobstreet.com/id/job/92126331?type=standard&ref=search-standalone&origin=cardTitle#sol=1b0b1ec8a4ebb71891ac71e1c936a4e6b1d73d56,Rp 780.000 – Rp 800.000 per month,780000,800000,790000,0,0 sampai < 1 juta,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,business,jawa timur
29,magang berbayar,2026-06-04 00:56:34,Admin Internship,PT Duta Cemerlang Motors,Semarang,https://id.jobstreet.com/id/job/92055752?type=standard&ref=search-standalone&origin=cardTitle#sol=3d5a8140fd79c36492e4701d31eba443392b5ab9,Rp 1.200.000 per month,1200000,1200000,1200000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,finance,jawa tengah diy
30,magang berbayar,2026-06-04 00:57:12,Magang Web Developer (Berbayar),PT Bimasakti Multi Sinergi,Waru,https://id.jobstreet.com/id/job/91905285?type=standard&ref=search-standalone&origin=cardTitle#sol=18bbab083b3dafc16ade51eb85bbad635b672705,Rp 1.000.000 – Rp 1.000.005 per month,1000000,1000005,1000002,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,data,lainnya
31,magang berbayar,2026-06-04 00:57:18,Freelance Affiliate RedSeller,PT Commeasure Solutions Indonesia,Palembang,https://id.jobstreet.com/id/job/92169097?type=standard&ref=search-standalone&origin=cardTitle#sol=ea1d0bd9d7d649e1c4ef58122b9187012d2465f6,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,business,sumatera
32,magang berbayar,2026-06-04 00:57:25,Freelance Hotel Marketing Partner,PT Commeasure Solutions Indonesia,Semarang,https://id.jobstreet.com/id/job/92168991?type=standard&ref=search-standalone&origin=cardTitle#sol=17063667a97d7e31299604f1a9108ac39ad0dc83,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,business,jawa tengah diy
33,magang berbayar,2026-06-04 00:58:40,Internship Content Creator,Holding Company,Bandung Barat,https://id.jobstreet.com/id/job/91965385?type=standard&ref=search-standalone&origin=cardTitle#sol=90bc8c18c4a91982f87b40626d78b2ca42a67909,Rp1.500.000 – Rp2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,other,jawa barat
34,magang berbayar,2026-06-04 00:58:45,Program Magang Pengembangan Karier,PT Teknologi Solusi Mulai dari Ringan,Bandung,https://id.jobstreet.com/id/job/92029063?type=standard&ref=search-standalone&origin=cardTitle#sol=3bf79b960bf707324146b82e1b039ad5eb13a67f,Rp 1.200.000 – Rp 1.500.000 per month,1200000,1500000,1350000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,business,jawa barat
35,magang berbayar,2026-06-04 00:59:34,Internship,Jogja Digital Academy,Kabupaten Bantul,https://id.jobstreet.com/id/job/92152180?type=standard&ref=search-standalone&origin=cardTitle#sol=79b2a5305e979d6e311382d57bbd4f79aa587d39,Rp 800.000 – Rp 1.000.000 per month,800000,1000000,900000,0,0 sampai < 1 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,business,lainnya
36,magang berbayar,2026-06-04 00:59:50,Legal Intern,Shipper,Jakarta Pusat,https://id.jobstreet.com/id/job/92200672?type=standard&ref=search-standalone&origin=cardTitle#sol=aff0089631417266d65eaa1a25c674834c5858b9,Rp 1.500.000 – Rp 2.200.000 per month,1500000,2200000,1850000,1,1 sampai < 2 juta,1,0,1,0,1,3.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,other,jabodetabek
37,magang berbayar,2026-06-04 01:00:06,Intership Digital Content Creator,PT. Tritunggal Makmur Indonesia (FUJISHOPid),Jakarta Pusat,https://id.jobstreet.com/id/job/92054167?type=standard&ref=search-standalone&origin=cardTitle#sol=d618183499888fd80345a786c7b9871f6c0ef73c,Rp 1.000.000 – Rp 1.500.000 per month,1000000,1500000,1250000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,other,jabodetabek
38,magang berbayar,2026-06-04 01:00:12,Customer Service,Klick Group,Depok,https://id.jobstreet.com/id/job/92049609?type=standard&ref=search-standalone&origin=cardTitle#sol=77fdfae5cde3068512ce70712b5f0f09d3731f34,Rp 1.850.000 – Rp 1.900.000 per month,1850000,1900000,1875000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,other,jabodetabek
39,magang berbayar,2026-06-04 01:00:35,Internship Social Media Specialist,PT Digibook Sarana Promosi Indonesia,Semarang,https://id.jobstreet.com/id/job/92011165?type=standard&ref=search-standalone&origin=cardTitle#sol=ba83ca82807e50aa0e2f25fef8abca63cf9fb7eb,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,other,jawa tengah diy
40,magang berbayar,2026-06-04 01:01:38,Kasir,PT Fajar Abadi Mahameru,Lowokwaru,https://id.jobstreet.com/id/job/91929921?type=standard&ref=search-standalone&origin=cardTitle#sol=491ac10920805b294cdabd2edf5e25ac18d40291,Rp 1.000.000 – Rp 1.200.000 per month,1000000,1200000,1100000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,other,lainnya
41,magang berbayar,2026-06-04 01:01:56,Admin Accounting (Paid Internship),PT. Tirtamas Coldstorindo Logistik,Surabaya,https://id.jobstreet.com/id/job/92174953?type=standard&ref=search-standalone&origin=cardTitle#sol=811e57a35597144abf07af22863f806efa5c82f1,Rp 1.750.000 – Rp 2.000.000 per month,1750000,2000000,1875000,1,1 sampai < 2 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,finance,jawa timur
42,magang berbayar,2026-06-04 01:04:26,Warehouse Admin Internship,PT. Cawandra,Jakarta Selatan,https://id.jobstreet.com/id/job/91962336?type=standard&ref=search-standalone&origin=cardTitle#sol=cc97919b902bf48867548fb38623c469bc8349b8,Rp 1.000.000 – Rp 1.200.000 per month,1000000,1200000,1100000,1,1 sampai < 2 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,administration,jabodetabek
