source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label
3,Management Trainee,PT Maximus Indo Asia,Tangerang,https://id.jobstreet.com/id/job/92091003?type=standard&ref=search-standalone&origin=cardTitle#sol=2f4b048506891ad33431953ee583cbbf29a9ac5c,4750000.0,3.0,0,1,0,1,0.0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,business,jabodetabek,4 sampai < 6 juta
10,Management trainee,Aksaratra Minimalis,Kabupaten Jepara,https://id.jobstreet.com/id/job/92096862?type=standard&ref=search-standalone&origin=cardTitle#sol=7fc23c196f9d78aecaa958324158bf67998ffc5a,4500000.0,3.0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,business,lainnya,4 sampai < 6 juta
11,Business Development (Fresh Graduate),PT PMA Bluemedia Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92233730?type=standard&ref=search-standalone&origin=cardTitle#sol=436f8261015ce55bb480e9cf9dadaa9c49ea0261,7250000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,business,jabodetabek,6 sampai < 8 juta
21,Sales Development Program- Sales Admin,PT. Mega Bintang Mas Indonesia,Medan,https://id.jobstreet.com/id/job/92085733?type=standard&ref=search-standalone&origin=cardTitle#sol=fa74cd0d22260a4709821d1d16d57260083b6109,5500000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,business,sumatera,4 sampai < 6 juta
27,Management Trainee (Mandarin/English Speaker),PT Haidilao Indonesia Restaurants,Jakarta Utara,https://id.jobstreet.com/id/job/91865151?type=standard&ref=search-standalone&origin=cardTitle#sol=6bb3b0f402bcfdd6455d6190ca70ed56ba366600,10000000.0,6.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,business,jabodetabek,>= 10 juta
30,Human Resources Officer / intern - RETAIL,PT BERSERI LEWAT AROMA,Tangerang,https://id.jobstreet.com/id/job/92051421?type=standard&ref=search-standalone&origin=cardTitle#sol=bcacc33c4a7d6afe151c73c452bf179168f6710f,5850000.0,3.0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,business,jabodetabek,4 sampai < 6 juta
31,SOP Training & Learning Supervisor (F&B),PT. Levi Kuliner Management,Jakarta Pusat,https://id.jobstreet.com/id/job/92307717?type=standard&ref=search-standalone&origin=cardTitle#sol=2dcb289fd916dffdec4c5d7de8f1d4231e2bd5d2,6500000.0,4.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,finance,jabodetabek,6 sampai < 8 juta
34,Academic Manager,"Perusahaan di Sanur yang bergerak di villa management, consulting, dan kursus bahasa",Bali,https://id.jobstreet.com/id/job/91972826?type=standard&ref=search-standalone&origin=cardTitle#sol=24bf38c6c27251bd5257a4793ad20dca7b52a1f8,7000000.0,4.0,0,1,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,3,other,lainnya,6 sampai < 8 juta
37,Trainer FnB,PT. Virtus Visio Vortexa (Holding),Jakarta Utara,https://id.jobstreet.com/id/job/92200101?type=standard&ref=search-standalone&origin=cardTitle#sol=a6b604443647e9308acff98a09051fc72876b690,7750000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,other,jabodetabek,6 sampai < 8 juta
40,MANAGEMENT TRAINEE UNTUK PABRIK/KEBUN,PT Surya Cipta Sempurna,Bandung,https://id.jobstreet.com/id/job/92283762?type=standard&ref=search-standalone&origin=cardTitle#sol=c99bb725cb2ff65bfcda812e1419c161df9d01a6,4250000.0,3.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,business,jawa barat,4 sampai < 6 juta
43,Retail Operations Trainee（Work at Offline Retail Store）,PT SANFU INTERNASIONAL COMPANI,Jakarta Raya,https://id.jobstreet.com/id/job/92231915?type=standard&ref=search-standalone&origin=cardTitle#sol=ec8619949778c21e62c1817fdc0b3d994d02d470,7000000.0,4.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,business,jabodetabek,6 sampai < 8 juta
