source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label
3,Junior Technical Support,PT Fusion Dinamika,Jakarta Barat,https://id.jobstreet.com/id/job/92273952?type=standard&ref=search-standalone&origin=cardTitle#sol=52cd95d214d7f825899a76a6f760870de239cae3,6000000.0,4.0,0,1,0,0,0.0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,engineering,jabodetabek,6 sampai < 8 juta
7,Fullstack developer,PT Kodenusa Tekno Buana,Jakarta Barat,https://id.jobstreet.com/id/job/92141841?type=standard&ref=search-standalone&origin=cardTitle#sol=ae474a20e4ceea3982a92e1531ec265fc88fee4c,8350000.0,5.0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,software,jabodetabek,8 sampai < 10 juta
8,PROGRAMMER WEB,Pengiklan Anonim,Karawang,https://id.jobstreet.com/id/job/92092188?type=standard&ref=search-standalone&origin=cardTitle#sol=26437db6c3e5de7534a1090d49f1be9a657d1b0b,6500000.0,4.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,data,lainnya,6 sampai < 8 juta
10,IT Administrator,Pengiklan Anonim,Jakarta Raya,https://id.jobstreet.com/id/job/92297890?type=standard&ref=search-standalone&origin=cardTitle#sol=1c43655499ee6ba0977136e204ed2945ddd6ee4d,5250000.0,3.0,0,1,0,0,0.0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,data,jabodetabek,4 sampai < 6 juta
12,Software Developer,PT SENTRAL TEHNOLOGI MANAGEMEN,Jakarta Timur,https://id.jobstreet.com/id/job/92316658?type=standard&ref=search-standalone&origin=cardTitle#sol=99955689c8d09864b005795e73af3870aa246c0b,6250000.0,4.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,data,jabodetabek,6 sampai < 8 juta
13,IT Developer Staff,PT NBC Indonesia,Karawang,https://id.jobstreet.com/id/job/92152046?type=standard&ref=search-standalone&origin=cardTitle#sol=0d1d92161211a62bb4c7d59bebc666f4e500cc24,6193426.0,4.0,0,1,0,0,0.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,software,lainnya,6 sampai < 8 juta
15,Full Stack Developer,Solutech Indonesia Maju,Cempaka Putih,https://id.jobstreet.com/id/job/91909166?type=standard&ref=search-standalone&origin=cardTitle#sol=ac0deae07abe6cf99d5aceb1e77c355ce3690ca7,8750000.0,5.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,data,lainnya,8 sampai < 10 juta
17,Full Stack Developer,Pengiklan Anonim,Bali,https://id.jobstreet.com/id/job/92236025?type=standard&ref=search-standalone&origin=cardTitle#sol=3deaea0fc820c991404e81d672d2596bbbc73342,17500000.0,6.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,software,lainnya,>= 10 juta
19,Full Stack Development (IT&Engineering),PT BINTANG FAJAR PERSADA,Surabaya,https://id.jobstreet.com/id/job/92253248?type=standard&ref=search-standalone&origin=cardTitle#sol=380018e30ee0f0c6ccb45fb1e09bf77291da0cc7,7500000.0,4.0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,3,data,jawa timur,6 sampai < 8 juta
21,Front End Engineer,PT Falah Inovasi Teknologi,Jakarta Selatan,https://id.jobstreet.com/id/job/92129984?type=standard&ref=search-standalone&origin=cardTitle#sol=6886f4aff61dc4be0d3f9874b6002b26ae0371b0,9075000.0,5.0,0,1,1,0,0.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,software,jabodetabek,8 sampai < 10 juta
22,JUNIOR ENGINEER,PT Pratamadaya Cahya Manunggal,Bekasi,https://id.jobstreet.com/id/job/92226965?type=standard&ref=search-standalone&origin=cardTitle#sol=dac796987367e8ffd17b3e497e2af04f9223825e,6000000.0,4.0,0,1,1,1,3.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,engineering,jabodetabek,6 sampai < 8 juta
