source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label
1,Data Analyst,PT Nusantara Sakti Group (JAKARTA),Jakarta Barat,https://id.jobstreet.com/id/job/91783675?type=standard&ref=search-standalone&origin=cardTitle#sol=a1ae85abed16de6a26b38faa7b341f9dd6c93d82,8500000.0,5.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,data,jabodetabek,8 sampai < 10 juta
6,Business Development (Fresh Graduate),PT PMA Bluemedia Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92233730?type=standard&ref=search-standalone&origin=cardTitle#sol=c7c33ef3d3203e9eac75a1b01f44d172fe1c08ee,7250000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,business,jabodetabek,6 sampai < 8 juta
7,DATA ANALYST,PT Karya Anugerah Jaya,Sidoarjo,https://id.jobstreet.com/id/job/91910613?type=standard&ref=search-standalone&origin=cardTitle#sol=9e774331f4fd2cb3aa1acb0fd3dd07d989904893,5197500.0,3.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,2,data,jawa timur,4 sampai < 6 juta
16,Data & Business Support,PT Karya Sejahtera Motor,Jakarta Pusat,https://id.jobstreet.com/id/job/92308199?type=standard&ref=search-standalone&origin=cardTitle#sol=c05de61cef99964e64555943bfac60e93232bd24,5500000.0,3.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,software,jabodetabek,4 sampai < 6 juta
28,Data Analyst,Brilliant Think Center,Ciputat Timur,https://id.jobstreet.com/id/job/92203280?type=standard&ref=search-standalone&origin=cardTitle#sol=aee6a753805bb6a920a1a50aa9b6b7881c113e05,7750000.0,4.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,data,lainnya,6 sampai < 8 juta
32,Business Analyst,PT Provalindo Nusa,Jakarta Selatan,https://id.jobstreet.com/id/job/92004117?type=standard&ref=search-standalone&origin=cardTitle#sol=2ffa15a672c8b35d95684ae87fe2e998047d3bb7,6250000.0,4.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,business,jabodetabek,6 sampai < 8 juta
33,Data Analyst,PT Microvac Indonesia,Jakarta Timur,https://id.jobstreet.com/id/job/92261319?type=standard&ref=search-standalone&origin=cardTitle#sol=1d52594ff3c3f5037506885453f907f33c248a1a,8750000.0,5.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,data,jabodetabek,8 sampai < 10 juta
36,"Data Engineer (Analyst, ETL, DBA)",PT Insura Media Solusi (Jakarta),Jakarta Raya,https://id.jobstreet.com/id/job/92308452?type=standard&ref=search-standalone&origin=cardTitle#sol=ee42049fca9fa1e7a5a12b77321b91be21e34c51,10000000.0,6.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,data,jabodetabek,>= 10 juta
40,Data Analyst,PT Bersaudara Inti Corpora,Jakarta Barat,https://id.jobstreet.com/id/job/92028378?type=standard&ref=search-standalone&origin=cardTitle#sol=d9ca1141a1fd10ab118b4cfc11d4af0837a6221e,11500000.0,6.0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,data,jabodetabek,>= 10 juta
41,Industrial Software Developer & Program Analyst,PT. Omega Group - Jakarta,Jakarta Pusat,https://id.jobstreet.com/id/job/92036471?type=standard&ref=search-standalone&origin=cardTitle#sol=be03a09857d27eaa654261775682d7b5b6f6ee45,8500000.0,5.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,data,jabodetabek,8 sampai < 10 juta
43,Mitra Partnership Coordinator FIFGROUP Jakarta,FIFGROUP,Jakarta Pusat,https://id.jobstreet.com/id/job/92013413?type=standard&ref=search-standalone&origin=cardTitle#sol=a6f3bc8f3897e910ec0b7524dddef1dcf4f6276f,6000000.0,4.0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,business,jabodetabek,6 sampai < 8 juta
50,Junior Analyst,PT ACE INDEX IDN,Jakarta Selatan,https://id.jobstreet.com/id/job/92009646?type=standard&ref=search-standalone&origin=cardTitle#sol=10c591e34b80bf001b563c1958719b08faaf52f4,11250000.0,6.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,other,jabodetabek,>= 10 juta
51,Data Entry,PT Daya Karsa Abadi,Jakarta Raya,https://id.jobstreet.com/id/job/91992489?type=standard&ref=search-standalone&origin=cardTitle#sol=fd93df2bdaad0be6e59e547bce1450a4b2ca45a5,5364938.0,3.0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,finance,jabodetabek,4 sampai < 6 juta
55,Fresh Graduate Management Training Program (Onsite),Deliveree (PT Angkut Teknologi Indonesia),Jakarta Selatan,https://id.jobstreet.com/id/job/92004567?type=standard&ref=search-standalone&origin=cardTitle#sol=5a1d19ba8d0309ed7ebdaf3bbc07799b492a0310,6000000.0,4.0,0,1,1,1,3.0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,business,jabodetabek,6 sampai < 8 juta
58,IT Product Associate,PT Netcom Scinergy Newsantara,Bekasi,https://id.jobstreet.com/id/job/91993714?type=standard&ref=search-standalone&origin=cardTitle#sol=eba79b92fce0c0ae6a5caf93309f12817586912c,12500000.0,6.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,software,jabodetabek,>= 10 juta
61,"Interns (Data Analyst Intern, Digital Media Intern, IT Intern)",PT Himalaya Wellness Indonesia,Kelapa Gading,https://id.jobstreet.com/id/job/92103621?type=standard&ref=search-standalone&origin=cardTitle#sol=5c34bd04593e8ba48d0cc60721cda3dc3df51300,2575000.0,2.0,0,0,0,0,0.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,data,lainnya,2 sampai < 4 juta
62,Business Management Trainee (Internship) - Bandung & Jakarta Placement,PT Kitar Technology Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92055932?type=standard&ref=search-standalone&origin=cardTitle#sol=6426ebe5f2d06bdb9a6d555393e05052099e4c90,3750000.0,2.0,0,1,0,1,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,business,jabodetabek,2 sampai < 4 juta
68,Tele Account Management (Fresh Graduate are welcome to apply),PT Adecco Personnel Indonesia,Yogyakarta,https://id.jobstreet.com/id/job/92196600?type=standard&ref=search-standalone&origin=cardTitle#sol=11e050ede908e7d58a2ade745dc7c604d486aa06,2900000.0,2.0,1,1,0,1,2.75,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,business,jawa tengah diy,2 sampai < 4 juta
71,Admin Distribusi (Data Analis),PT Sentralsari Primasentosa,Gedangan,https://id.jobstreet.com/id/job/91937056?type=standard&ref=search-standalone&origin=cardTitle#sol=4dcf24b3f59723af8eeac1fb180e089089ef75ee,5191541.0,3.0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,administration,lainnya,4 sampai < 6 juta
72,Junior Quality Assurance,PT. Sinergi Innovate Pratama,Jakarta Selatan,https://id.jobstreet.com/id/job/92039826?type=standard&ref=search-standalone&origin=cardTitle#sol=fa10f4afd32ead1a174863fcf3168b08cd25ba74,5750000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,data,jabodetabek,4 sampai < 6 juta
93,Product Engineer,Catalyst Psychology & HR Management Services,Bekasi,https://id.jobstreet.com/id/job/92132347?type=standard&ref=search-standalone&origin=cardTitle#sol=f7609b202f28655869e4d7eed5b5279bd5292276,6300000.0,4.0,0,1,0,1,3.3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,software,jabodetabek,6 sampai < 8 juta
96,Analyst PIC,PT Fohoway International Indonesia,Jakarta Pusat,https://id.jobstreet.com/id/job/92320834?type=standard&ref=search-standalone&origin=cardTitle#sol=42bbba165e39878070e05ebd918ae7351b56670e,2750000.0,2.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,business,jabodetabek,2 sampai < 4 juta
