source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label
2,Staff Finance,PT . GPI Logistics,Jakarta Pusat,https://id.jobstreet.com/id/job/91887586?type=standard&ref=search-standalone&origin=cardTitle#sol=9067cba968359e41d509b84530e56865f55ae87b,5850000.0,3.0,0,1,1,1,3.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,finance,jabodetabek,4 sampai < 6 juta
3,Finance & Accounting Staff,PT Santosa Agrindo (Japfa Beef Division),Serang,https://id.jobstreet.com/id/job/92064876?type=standard&ref=search-standalone&origin=cardTitle#sol=ba8fbe434c9488c134411b20d4d4c7229627615f,6075000.0,4.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,data,lainnya,6 sampai < 8 juta
4,Administration Intern,PT Dipo Star Finance,Jakarta Pusat,https://id.jobstreet.com/id/job/92313533?type=standard&ref=search-standalone&origin=cardTitle#sol=e8a24dcb05225e5246d9403de678b4521179a157,2750000.0,2.0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,finance,jabodetabek,2 sampai < 4 juta
19,Finance Admin Staff,PT Total Movements International,Jakarta Selatan,https://id.jobstreet.com/id/job/91948498?type=standard&ref=search-standalone&origin=cardTitle#sol=4782bee381adddca9d01b5621128c1ad8fca6d8c,5815000.0,3.0,0,1,0,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,finance,jabodetabek,4 sampai < 6 juta
21,FINANCE STAFF,PT. Indoneka Lancar Jaya,Jakarta Raya,https://id.jobstreet.com/id/job/91827679?type=standard&ref=search-standalone&origin=cardTitle#sol=23f5a2199e4844c2fd8814775c0c4cafeae1a9cb,4900000.0,3.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,software,jabodetabek,4 sampai < 6 juta
22,Finance Staff,Yayasan BKSP Bakti Mulya 400,Cileungsi,https://id.jobstreet.com/id/job/92228042?type=standard&ref=search-standalone&origin=cardTitle#sol=ca432294cbacf937bf442f8224afc3f2de7455e0,6250000.0,4.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,software,lainnya,6 sampai < 8 juta
26,Admin Accounting,PT Roda Rollen Indonesia,Jakarta Pusat,https://id.jobstreet.com/id/job/92223259?type=standard&ref=search-standalone&origin=cardTitle#sol=4b40a4603325cbd1d4057fb0088cd438e2c3fcf1,5865000.0,3.0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek,4 sampai < 6 juta
29,Accounting & Finance Junior Staff (Back Up Maternity Leave 6 Months),PT JFE Steel Galvanizing Indonesia,Kabupaten Bekasi,https://id.jobstreet.com/id/job/91905589?type=standard&ref=search-standalone&origin=cardTitle#sol=8ca472a2b36f49a29fbbd0bf549a7e494f455ac1,7000000.0,4.0,1,1,0,0,0.0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,finance,jabodetabek,6 sampai < 8 juta
34,Accounting Financial Reporting Staff OR Compliance APU PPT Committee Staff,FUJI FINANCE INDONESIA TBK,Jakarta Selatan,https://id.jobstreet.com/id/job/91997932?type=standard&ref=search-standalone&origin=cardTitle#sol=d91b18912ab3dd431a19a173fced2a9a85532aa9,8166666.0,5.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,business,jabodetabek,8 sampai < 10 juta
36,FINANCE STAFF,HAIAN KONSTRUKSI INDONESIA,Jakarta Utara,https://id.jobstreet.com/id/job/92035040?type=standard&ref=search-standalone&origin=cardTitle#sol=1ed90a845e84e726b0c1d35c87be3307b482a5f8,11000000.0,6.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,finance,jabodetabek,>= 10 juta
39,Accounting Staff,PT Agro Plankan Lestari,Jakarta Barat,https://id.jobstreet.com/id/job/91878291?type=standard&ref=search-standalone&origin=cardTitle#sol=8332ce700ad2269cf3942646fbb6fc81f4343217,6750000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,2,finance,jabodetabek,6 sampai < 8 juta
40,Finance Accounting Officer,PT Asuransi Total Bersama,Jakarta Pusat,https://id.jobstreet.com/id/job/91778451?type=standard&ref=search-standalone&origin=cardTitle#sol=6dc9378db9234d535b4dc1c6e6c0dfd429117e3f,6150000.0,4.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,finance,jabodetabek,6 sampai < 8 juta
