source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label
1,Administration Intern,PT Dipo Star Finance,Jakarta Pusat,https://id.jobstreet.com/id/job/92313533?type=standard&ref=search-standalone&origin=cardTitle#sol=78ddb0665afde3fbe5bf951aac9958b6a7a215bc,2750000.0,2.0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,finance,jabodetabek,2 sampai < 4 juta
7,Admin Executive,PT Procarre International Indonesia,Jakarta Barat,https://id.jobstreet.com/id/job/92164316?type=standard&ref=search-standalone&origin=cardTitle#sol=a3312d9e74c672525bd4b3c20ea180ddc1f26d4f,5450000.0,3.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,finance,jabodetabek,4 sampai < 6 juta
8,Staff Administrasi,CV. Chaakralogi (Chaakra Consulting),Surabaya,https://id.jobstreet.com/id/job/92002024?type=standard&ref=search-standalone&origin=cardTitle#sol=f24ded554dc25f18f922b52dfb6a44396e565e9c,2700000.0,2.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,administration,jawa timur,2 sampai < 4 juta
9,Admin HR,PT. SUPRA TUSAMAN ABADI,Karawaci,https://id.jobstreet.com/id/job/92318272?type=standard&ref=search-standalone&origin=cardTitle#sol=8cfbdfd418139f0575173d8aab9e768fefd68144,4500000.0,3.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,administration,lainnya,4 sampai < 6 juta
13,Admin Accounting,PT Roda Rollen Indonesia,Jakarta Pusat,https://id.jobstreet.com/id/job/92223259?type=standard&ref=search-standalone&origin=cardTitle#sol=0f4136aa608276dccba7ff0af3d44e8232eb3e8a,5865000.0,3.0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek,4 sampai < 6 juta
15,Admin Sales,PT Bina Steel Pipe,Jakarta Pusat,https://id.jobstreet.com/id/job/91755914?type=standard&ref=search-standalone&origin=cardTitle#sol=fcce62dbad3f1bbae4d718ad99117e4a394946e0,6150000.0,4.0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,35,software,jabodetabek,6 sampai < 8 juta
17,Internship for Administration Staff (Jabodetabek),PT Inamas Sumber Makmur,Jakarta Utara,https://id.jobstreet.com/id/job/92039682?type=standard&ref=search-standalone&origin=cardTitle#sol=85f0ca46f055e5a93a872f6c9c9855d08ee8d4d5,2500000.0,2.0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,administration,jabodetabek,2 sampai < 4 juta
20,ADMIN PROJECT,PT DyKa Konsultama,Jakarta Barat,https://id.jobstreet.com/id/job/92056035?type=standard&ref=search-standalone&origin=cardTitle#sol=55d2c03d326b776065a6c79b70905616bc1165b7,5350000.0,3.0,0,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,administration,jabodetabek,4 sampai < 6 juta
22,HR Admin / Support - Republik Seafood PIK 2,PT TRI BOGA INVESTAMA,Jakarta Utara,https://id.jobstreet.com/id/job/91945935?type=standard&ref=search-standalone&origin=cardTitle#sol=aa1c60159ab2eb9bdeebd729e65994cbacae027e,5100000.0,3.0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,administration,jabodetabek,4 sampai < 6 juta
23,marketplace admin,Pengiklan Anonim,Jakarta Barat,https://id.jobstreet.com/id/job/91856602?type=standard&ref=search-standalone&origin=cardTitle#sol=5d4835d75defdbf492ad02cd94bcff8cdb401fb9,3450000.0,2.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,business,jabodetabek,2 sampai < 4 juta
32,Admin PJTKI,House of Panda,Kendal,https://id.jobstreet.com/id/job/91745885?type=standard&ref=search-standalone&origin=cardTitle#sol=f84ed28e49f973efd467ee91256bf88500d79089,3000000.0,2.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,administration,lainnya,2 sampai < 4 juta
34,CUSTOMER SERVICE IMPORT,PT Tri Perkasa Express,Sidoarjo,https://id.jobstreet.com/id/job/91482852?type=standard&ref=search-standalone&origin=cardTitle#sol=84aa22b09f599b14e76911913bbe97f354c64473,4750000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,administration,jawa timur,4 sampai < 6 juta
35,Admin Helper,PT ZHONGTIAN NIULI TECHNOLOGY EQUIPMENT,Tangerang,https://id.jobstreet.com/id/job/91997637?type=standard&ref=search-standalone&origin=cardTitle#sol=a3cef9b2d6580d31b8b866a0ff61c48a5d5d92fd,3250000.0,2.0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,administration,jabodetabek,2 sampai < 4 juta
39,Admin Sales,PT Pratama Graha Semesta,Jakarta Utara,https://id.jobstreet.com/id/job/91964575?type=standard&ref=search-standalone&origin=cardTitle#sol=21d0b3814bef100b4387c907ac8f038c4d2e1f4c,5800000.0,3.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,business,jabodetabek,4 sampai < 6 juta
