source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label
2,Marketing Coordinator (Junior),PT Nusantara Sakti Group (JAKARTA),Jakarta Raya,https://id.jobstreet.com/id/job/92063798?type=standard&ref=search-standalone&origin=cardTitle#sol=e75140a79fd92b2a43c558edfbd1e0fef556e940,5825000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,business,jabodetabek,4 sampai < 6 juta
3,Business Development (Fresh Graduate),PT PMA Bluemedia Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92233730?type=standard&ref=search-standalone&origin=cardTitle#sol=4cb719e57fa8b46f52a908bc11de57e9edfba4c4,7250000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,business,jabodetabek,6 sampai < 8 juta
5,Sales Development Program- Sales Admin,PT. Mega Bintang Mas Indonesia,Medan,https://id.jobstreet.com/id/job/92085733?type=standard&ref=search-standalone&origin=cardTitle#sol=fd04fb9c176e061c14a67e4a5cdeed61a83ffd50,5500000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,business,sumatera,4 sampai < 6 juta
6,Marketing/Sales (two position),PT DANBI GLOBAL INDONESIA,Jakarta Raya,https://id.jobstreet.com/id/job/92306237?type=standard&ref=search-standalone&origin=cardTitle#sol=0ed54abfaa9d84d20f0d6e058ff8faf211c40cf7,4864938.0,3.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,business,jabodetabek,4 sampai < 6 juta
7,Marketing Associates,PT.INFINITY GRIYA ANUGERAH,Jakarta Barat,https://id.jobstreet.com/id/job/91892080?type=standard&ref=search-standalone&origin=cardTitle#sol=6c69477eb6c549bb453d23232e2f544998e17086,17500000.0,6.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,business,jabodetabek,>= 10 juta
8,Technical Engineering Staff,PT Kanematsu KGK Indonesia,Jakarta Raya,https://id.jobstreet.com/id/job/92258919?type=standard&ref=search-standalone&origin=cardTitle#sol=2b531ca27e1249df45674bbb1fbaee2d3b91b0eb,6500000.0,4.0,0,1,0,0,0.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,business,jabodetabek,6 sampai < 8 juta
9,Social Media Specialist,PT Movi Ventura Prima,Jakarta Selatan,https://id.jobstreet.com/id/job/92311373?type=standard&ref=search-standalone&origin=cardTitle#sol=c445fc1bdb97a1f4d2bb0e8c5739427b7dbb5a79,5500000.0,3.0,0,1,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,business,jabodetabek,4 sampai < 6 juta
10,Sales & Marketing Staff - Trading (Open for Fresh Graduate) - (B-130616),RGF HR Agent Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92141408?type=standard&ref=search-standalone&origin=cardTitle#sol=85d8ff4868dc5a6835adc21f6be0e4884bf0f0b1,7150000.0,4.0,0,1,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,business,jabodetabek,6 sampai < 8 juta
11,Social Media Specialist,PT. Lila Sehat Teknologi Medis,Jakarta Utara,https://id.jobstreet.com/id/job/92219548?type=standard&ref=search-standalone&origin=cardTitle#sol=8cd7e96460afc3a674118da089a7b1db7648ccf4,6750000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,business,jabodetabek,6 sampai < 8 juta
14,Account Manager (Marketing) – Fokus Client & Target-Oriented,PT. Duta Teknologi Nusantara,Tangerang,https://id.jobstreet.com/id/job/91840201?type=standard&ref=search-standalone&origin=cardTitle#sol=97261a3294ed0b439e175a8f2f47fb7f75355196,6250000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,business,jabodetabek,6 sampai < 8 juta
15,Sales Staff (Japanese Speaker),PT Maeda International Indonesia,Jakarta Pusat,https://id.jobstreet.com/id/job/92227141?type=standard&ref=search-standalone&origin=cardTitle#sol=6d9e9bfe5c37a607cd37281104f6826991fd8914,7100000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,business,jabodetabek,6 sampai < 8 juta
16,Marketing Officer (Pekanbaru),PT Dipo Star Finance,Pekanbaru,https://id.jobstreet.com/id/job/92269173?type=standard&ref=search-standalone&origin=cardTitle#sol=ed4e2c567781851c7290214d2b3cc09578bb988a,4000000.0,3.0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,business,sumatera,4 sampai < 6 juta
17,Business Development ( Chemical Background ),PT SHORT HILLS INDONESIA,Jakarta Utara,https://id.jobstreet.com/id/job/92275517?type=standard&ref=search-standalone&origin=cardTitle#sol=d1be5af2aa991ea034bfd41e253504fee1d9e2a7,10000000.0,6.0,0,1,1,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,business,jabodetabek,>= 10 juta
22,SALES DEVELOPMENT PROGRAM,AGRO BOGA UTAMA GROUP,Jakarta Selatan,https://id.jobstreet.com/id/job/92320810?type=standard&ref=search-standalone&origin=cardTitle#sol=29e8070bd0c57a03dc3a50acd076f9c29dec6357,5600000.0,3.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,business,jabodetabek,4 sampai < 6 juta
24,Sales Support Internship,PT. CND INTERNATIONAL TRADE INDONESIA,Jakarta Selatan,https://id.jobstreet.com/id/job/92223978?type=standard&ref=search-standalone&origin=cardTitle#sol=accf2bc4ea1c4dfade18ee14510d7a20d5caacb1,3250000.0,2.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,business,jabodetabek,2 sampai < 4 juta
26,Marketing,Athena Royal Kosmetika,Bogor,https://id.jobstreet.com/id/job/92302426?type=standard&ref=search-standalone&origin=cardTitle#sol=f62cf639dcb0b1dc72b7836230339bc0f99c00c5,6750000.0,4.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,business,jabodetabek,6 sampai < 8 juta
28,Marketing Merchant,PT Bimasakti Multi Sinergi,Waru,https://id.jobstreet.com/id/job/92166536?type=standard&ref=search-standalone&origin=cardTitle#sol=eadc01e7f537581555c28796da4dfb3bf589ab16,4750000.0,3.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,business,lainnya,4 sampai < 6 juta
35,Sales and Billing Supervisor,PT Putraduta Buanasentosa,Jakarta Selatan,https://id.jobstreet.com/id/job/92309387?type=standard&ref=search-standalone&origin=cardTitle#sol=5fd60b614586d20a0f4dfde73f99af1e4f980806,7000000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,business,jabodetabek,6 sampai < 8 juta
40,Business Management Trainee (Internship) - Bandung & Jakarta Placement,PT Kitar Technology Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92055932?type=standard&ref=search-standalone&origin=cardTitle#sol=cad102af2e71328e667f237c53d6eb56669298c9,3750000.0,2.0,0,1,0,1,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,business,jabodetabek,2 sampai < 4 juta
41,Tele Account Management (Fresh Graduate are welcome to apply),PT Adecco Personnel Indonesia,Yogyakarta,https://id.jobstreet.com/id/job/92196600?type=standard&ref=search-standalone&origin=cardTitle#sol=0e20b5f08b2a24f673c76bb32964032add14086b,2900000.0,2.0,1,1,0,1,2.75,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,business,jawa tengah diy,2 sampai < 4 juta
42,Fresh Graduate Management Training Program (Onsite),Deliveree (PT Angkut Teknologi Indonesia),Jakarta Selatan,https://id.jobstreet.com/id/job/92004567?type=standard&ref=search-standalone&origin=cardTitle#sol=1b7d3dced3f72a70325e63135ec849bad6984bb1,6000000.0,4.0,0,1,1,1,3.0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,business,jabodetabek,6 sampai < 8 juta
