source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label
2,Marketing Coordinator (Junior),PT Nusantara Sakti Group (JAKARTA),Jakarta Raya,https://id.jobstreet.com/id/job/92063798?type=standard&ref=search-standalone&origin=cardTitle#sol=839ff8cd07c76b387e5bf0a2c853baf2537f1a00,5825000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,business,jabodetabek,4 sampai < 6 juta
3,OPERATOR BLOWN PRINTING COLOR PLASTICS,PT Swanson Plastics Indonesia,Mojokerto,https://id.jobstreet.com/id/job/92315702?type=standard&ref=search-standalone&origin=cardTitle#sol=5bbd8d42e57a362200370d81aa2c2948c33344ff,5178050.0,3.0,1,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,other,lainnya,4 sampai < 6 juta
4,Management trainee,Aksaratra Minimalis,Kabupaten Jepara,https://id.jobstreet.com/id/job/92096862?type=standard&ref=search-standalone&origin=cardTitle#sol=672b7cf75a46fd2d2a3a55f7b11c428e417b955a,4500000.0,3.0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,business,lainnya,4 sampai < 6 juta
7,Admin HR,PT. SUPRA TUSAMAN ABADI,Karawaci,https://id.jobstreet.com/id/job/92318272?type=standard&ref=search-standalone&origin=cardTitle#sol=fa4d5ae5d35a40981f71a5674899d582e2e176be,4500000.0,3.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,administration,lainnya,4 sampai < 6 juta
9,Sales Development Program- Sales Admin,PT. Mega Bintang Mas Indonesia,Medan,https://id.jobstreet.com/id/job/92085733?type=standard&ref=search-standalone&origin=cardTitle#sol=c042137b08e3d4761ee4dc6894b3daacfaf3f6bd,5500000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,business,sumatera,4 sampai < 6 juta
12,CUSTOMER SERVICE IMPORT,PT Tri Perkasa Express,Sidoarjo,https://id.jobstreet.com/id/job/91482852?type=standard&ref=search-standalone&origin=cardTitle#sol=d9b3d4a42bb10009273720d2da9160b27a7a6b1c,4750000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,administration,jawa timur,4 sampai < 6 juta
21,Admin Affiliate dan KOL,PT Derma Enom Farma,Tangerang,https://id.jobstreet.com/id/job/92140836?type=standard&ref=search-standalone&origin=cardTitle#sol=53569e3fe028318ef0d07c63dc2aad4745990323,4475000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,business,jabodetabek,4 sampai < 6 juta
24,"Customer Service, Account Officer, Kepala Bagian Kredit, Driver, Audit Intern",PT BPR Dana Mitra Indonesia,Jakarta Timur,https://id.jobstreet.com/id/job/92055334?type=standard&ref=search-standalone&origin=cardTitle#sol=78d42635098a202d7e185ec75f4434707abb116e,6800000.0,4.0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,finance,jabodetabek,6 sampai < 8 juta
26,Data Entry,PT Daya Karsa Abadi,Jakarta Raya,https://id.jobstreet.com/id/job/91992489?type=standard&ref=search-standalone&origin=cardTitle#sol=89f4aa3020f24c872d7bf594485e2ef9b9b02482,5364938.0,3.0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,finance,jabodetabek,4 sampai < 6 juta
28,MANAGEMENT TRAINEE UNTUK PABRIK/KEBUN,PT Surya Cipta Sempurna,Bandung,https://id.jobstreet.com/id/job/92283762?type=standard&ref=search-standalone&origin=cardTitle#sol=9a31543a2fc8a7aac7e52ed837932819c4c99956,4250000.0,3.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,business,jawa barat,4 sampai < 6 juta
