source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label
1,Internship at PT ABM Investama,PT ABM Investama,Jakarta Selatan,https://id.jobstreet.com/id/job/92334404?type=standard&ref=search-standalone&origin=cardTitle#sol=0902bf15937ea6fe35573b6b31d11041403d5197,1750000,1,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,data,jabodetabek,1 sampai < 2 juta
2,Staff Billing & Collection Retail,PT Circlecom Nusantara Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92093726?type=standard&ref=search-standalone&origin=cardTitle#sol=bbd4f9eb4cd84a15a7b8c453c4dd56ee049dbe9b,1500000,1,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,finance,jabodetabek,1 sampai < 2 juta
3,Host Live,Najmina Beautycare,Kota Blora,https://id.jobstreet.com/id/job/92479062?type=standard&ref=search-standalone&origin=cardTitle#sol=fc805123f80d85995c02d46622351d49905d0ab7,1950000,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,business,lainnya,1 sampai < 2 juta
4,Professional Bartender & Mixology,Flairmix Indonesia,Denpasar,https://id.jobstreet.com/id/job/91944927?type=standard&ref=search-standalone&origin=cardTitle#sol=e9c8b795d768e61b2510a34e4445cb803d8d443c,1500000,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,other,lainnya,1 sampai < 2 juta
5,Finance & Accounting Intern,Pengiklan Anonim,Jakarta Barat,https://id.jobstreet.com/id/job/92488207?type=standard&ref=search-standalone&origin=cardTitle#sol=d89d3ef9edb0b90c4ad01eafd3a50ebe2bc6fad8,1750000,1,0,0,0,1,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,finance,jabodetabek,1 sampai < 2 juta
6,General Affairs Intern,PT Mutiara Asia Makmur,Jakarta Raya,https://id.jobstreet.com/id/job/92488532?type=standard&ref=search-standalone&origin=cardTitle#sol=ea9ec499f986ab82dc78bd96ee4c1a8776c0af6d,1700000,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,administration,jabodetabek,1 sampai < 2 juta
7,Social Media (magang/ freelance),PT DAHAYU KENCANA PARAHYANGAN,Bandung Barat,https://id.jobstreet.com/id/job/92464442?type=standard&ref=search-standalone&origin=cardTitle#sol=08af61d147b6bbd247d6c462c3c6b43d1287a4af,1750000,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,other,jawa barat,1 sampai < 2 juta
8,INTERNSHIP ADMIN SALES (PAID),PT. Riaputra Metalindo,Sidoarjo,https://id.jobstreet.com/id/job/92421803?type=standard&ref=search-standalone&origin=cardTitle#sol=e8977b93386c3a5188f62e5f687e117b70d3a05f,500000,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,business,jawa timur,0 sampai < 1 juta
9,Content Creator Intern,PT. Citra Nusa Insanmandiri (CNI Indonesia),Jakarta Barat,https://id.jobstreet.com/id/job/92455492?type=standard&ref=search-standalone&origin=cardTitle#sol=9703bac1d16b6cd3e3710f1eddc3648a42311b10,1250000,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,business,jabodetabek,1 sampai < 2 juta
10,Content Specialist Intern,PT Medindo Solusi Kesehatan,Jakarta Selatan,https://id.jobstreet.com/id/job/92314898?type=standard&ref=search-standalone&origin=cardTitle#sol=57a04e91e9948bba900f5bcda2f7613730129fa2,1750000,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,business,jabodetabek,1 sampai < 2 juta
11,End to End Commercial Intern,PT Putra Mulia Telecommunication,Jakarta Selatan,https://id.jobstreet.com/id/job/92321399?type=standard&ref=search-standalone&origin=cardTitle#sol=c98c6745aaaeae9665957d1f0bbc5c0d997a3802,1250000,1,0,0,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,software,jabodetabek,1 sampai < 2 juta
12,Magang Admin Marketing,PT. ZHIKU PRIMA LESTARI,Jakarta Timur,https://id.jobstreet.com/id/job/92385654?type=standard&ref=search-standalone&origin=cardTitle#sol=fddfa4998d46552970c82f3f9f9ea109d0a0d844,625000,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,business,jabodetabek,0 sampai < 1 juta
