source_keyword,job_title,company,location,salary_text,job_description,job_url,scraped_at
management trainee fresh graduate,Management Trainee,PT Pasifik Agro Sentosa,Jakarta Selatan,,"Listed more than five days ago Management Trainee di PT Pasifik Agro Sentosa Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya BPJS Kesehatan BPJS Ketenagakerjaan Asuransi BPJS Kesehatan BPJS Ketenagakerjaan Asuransi - - subClassification: Manajemen – Toko Manajemen – Toko classification: Ritel & Produk Konsumen (Ritel & Produk Konsumen) 5 hari yang lalu 5 hari yang lalu Qualification : · Bachelor of TecManagement/Business Management/ Statistics/Technique · Fresh graduate are welcome · Able to Speak English is an added value · Strong Interest in Business, Operations, and Leadership · Good Interpersonal and Communication Skills · Fast Learner, Proactive, Analytic, Energetic, Persistent, and High Achieve · Excellent with Microsoft Office and General Computer Skills · Willing to be placed in SCBD Jakarta and all business units",https://id.jobstreet.com/id/job/92206825?type=standard&ref=search-standalone&origin=cardTitle#sol=0afef540ece723463b4e3bbe5e710c9b8fe9b82f,2026-05-25 14:59:45
management trainee fresh graduate,MANAGEMENT TRAINEE,PT Surabaya Mekabox,Driyorejo,,"Listed more than twenty one days ago MANAGEMENT TRAINEE di PT Surabaya Mekabox Ini adalah lowongan kerja Full time Driyorejo , Jawa Timur Management Trainee (Production, PPIC, Accounting / Engineering) Management Trainee (Production, PPIC, Accounting / Engineering) subClassification: Manajemen Manajemen classification: Manufaktur, Transportasi & Logistik (Manufaktur, Transportasi & Logistik) 21 hari yang lalu 21 hari yang lalu BE PART OF OUR GROWING TEAM We are a leading paper manufacturer in Surabaya , looking for young excellent candidates to be part of our team with the position : MANAGEMENT TRAINEE (MT) Qualifications : Minimum S1 from any reputable university Fresh graduate or maximum 1 year experience (Minimum GPA 3.50) Major : Electrical Engineering, Chemical Engineering, Industrial Engineering, Accounting Strong self-motivation, Strive for excellent and team player Fast learner & proactive with basic leadership capability Excellent in interpersonal skills & organization oriented Preferably English speaking or passive Mandarin The potential candidates will be trained and promote to higher professional level. Opportunity given for career path and interesting remuneration package for suitable candidates",https://id.jobstreet.com/id/job/91880879?type=standard&ref=search-standalone&origin=cardTitle#sol=ba5ed6899a13d94e07cb8f18f2c46d8ce5d856b9,2026-05-25 14:59:50
management trainee fresh graduate,Management Trainee,PT Maximus Indo Asia,Tangerang,Rp 4.500.000 – Rp 5.000.000 per month,"Listed more than eleven days ago Management Trainee di PT Maximus Indo Asia Ini adalah lowongan kerja Full time Tangerang , Banten Rp 4.500.000 – Rp 5.000.000 per month Program Pelatihan Intensif untu k mencetak pemimpin baru atau manajer dalam 1-2 tahun Program Pelatihan Intensif untu k mencetak pemimpin baru atau manajer dalam 1-2 tahun subClassification: Manajemen – Departemen/Asisten Manajemen – Departemen/Asisten classification: Ritel & Produk Konsumen (Ritel & Produk Konsumen) 11 hari yang lalu 11 hari yang lalu Maximus Management Trainee (MT) Program is a 36-months traineeship designed to develop high-potential young professionals into future leaders in the heavy equipment industry. Trainees will undergo comprehensive training and rotations across key departments such as Operations, Sales, After-Sales Service, Supply Chain, and Administration to gain in-depth knowledge of business processes, products, and management practices. Upon successful completion of the program, trainees will be placed in strategic positions aligned with their skills, interests, and organizational needs. By the end of the program, you are expected to be a Business Executive ready with a strong leadership impact to contribute ideas for improvement! Responsibilities : Participate in a structured training and job rotation program across various departments (Sales, Service, Parts, Operations, Procurement, Finance, etc.). Gain hands-on experience in heavy equipment operations, maintenance, supply chain, and customer service. Assist in project coordination, data analysis, reporting, and process improvement initiatives. Support senior managers in developing strategies to improve efficiency, productivity, and profitability. Learn and apply company policies, safety standards, and compliance procedures. Conduct market analysis, product studies, and performance monitoring as assigned during rotations. Participate in mentoring sessions, performance evaluations, and leadership development activities. Prepare periodic progress reports and presentations to management. Demonstrate commitment to learning and contribute innovative ideas for business improvement. Qualifications : Bachelor’s degree (S1) in Engineering (Mechanical, Industrial, Electrical, or related field), Business Administration, Management, Accounting, or other relevant disciplines. Fresh graduates or those with 1–2 years of working experience are welcome to apply. GPA ≥ 3.00 (scale 4.00) or equivalent. Strong interest in the heavy equipment, mining, or construction industry. Good understanding of basic business and engineering principles. Excellent analytical, problem-solving, and decision-making skills. Strong communication and interpersonal abilities. Proficient in Microsoft Office (Excel, Word, PowerPoint) and basic data analysis tools. Good command of English, both spoken and written. Willing to be assigned to various locations, including remote sites. Highly motivated, eager to learn, and adaptable to new challenges. Leadership potential with a proactive and result-oriented mindset. Strong integrity, discipline, and teamwork spirit. Resilient under pressure and capable of working in a fast-paced environment.",https://id.jobstreet.com/id/job/92091003?type=standard&ref=search-standalone&origin=cardTitle#sol=2f4b048506891ad33431953ee583cbbf29a9ac5c,2026-05-25 14:59:54
management trainee fresh graduate,Management Trainee (MT),PT. Bumimulia Indah Lestari,Cikarang,,"Listed more than five days ago Management Trainee (MT) di PT. Bumimulia Indah Lestari Ini adalah lowongan kerja Full time Cikarang Tunjangan BPJS Tunjangan Makanan Tunjangan Jabatan Tunjangan BPJS Tunjangan Makanan Tunjangan Jabatan Undergo structured On The Job Training across key functions of plastic manufacturing operations. Undergo structured On The Job Training across key functions of plastic manufacturing operations. subClassification: Analisis & Pelaporan Analisis & Pelaporan classification: Manufaktur, Transportasi & Logistik (Manufaktur, Transportasi & Logistik) 5 hari yang lalu 5 hari yang lalu Requirements: Bachelor Degree majoring in Electrical Engineering, Mechanical Engineering and Industrial Engineering Fresh graduates are welcome to apply or associates with 1 - 2 years of working experience in Manufacture High attention to detail, planning and excellent analytical skills Self motivated, leadership and independent Agile and open with challenges as learning opportunities Willing to be located Cikarang, Merak & Gresik Plant",https://id.jobstreet.com/id/job/92217897?type=standard&ref=search-standalone&origin=cardTitle#sol=1f40f92405d3c12dfb5c89c5c3d31fd92b1452af,2026-05-25 14:59:58
management trainee fresh graduate,Senior Talent Management Analyst,PT Bridgestone Tire Indonesia,Karawang,,"Listed more than three days ago Senior Talent Management Analyst di PT Bridgestone Tire Indonesia Ini adalah lowongan kerja Full time Karawang , Jawa Barat Self Insurance + BPJS Annual Bonus Miscellaneous Allowance Self Insurance + BPJS Annual Bonus Miscellaneous Allowance Handles recruitment, talent development, training and performance management to support succession, organization growth and a high-performance culture Handles recruitment, talent development, training and performance management to support succession, organization growth and a high-performance culture subClassification: Pengembangan Organisasi Pengembangan Organisasi classification: Sumber Daya Manusia & Perekrutan (Sumber Daya Manusia & Perekrutan) 3 jam yang lalu 3 jam yang lalu Job Description: Manage recruitment for senior and critical positions, ensuring a smooth and timely hiring process. Support talent pipeline programs such as internships, graduate trainees, and HiPo development. Conduct training needs analysis and coordinate leadership, reskilling, and upskilling programs. Manage training implementation, digital learning activation, and training evaluation. Support performance management cycles and help leaders drive a performance-based culture. Maintain talent profiles, 9-box mapping, and succession dashboards. Assist in follow-up actions from talent reviews and succession planning. Support job grading, promotion, and organization review processes. Provide HR insights and propose people solutions to organizational challenges. Job Requirement: Bachelor’s degree in Psychology, HR, Business, Industrial Engineering, or related fields. Minimum 5 years of experience in HR, especially in Talent Management or Project roles. Solid understanding of recruitment, learning, performance, and organizational development. Data-driven, proficient in Excel and PowerPoint; familiar with HR systems (SAP / SuccessFactors is a plus). Fluent in English (spoken and written). Fast learner, proactive, and agile with strong communication and collaboration skills. Willing to be placed in Head Office (Karawang)",https://id.jobstreet.com/id/job/92307019?type=standard&ref=search-standalone&origin=cardTitle#sol=31093db74748a72eaa5fb5370e08ea6b2bb17789,2026-05-25 15:00:03
management trainee fresh graduate,Collection Leaders Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,,"Listed more than six days ago Collection Leaders Trainee Program di PT Adira Dinamika Multi Finance Tbk Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Competitive Benefit Career Development Networking Competitive Benefit Career Development Networking Program pendidikan pengembangan karir untuk mempersiapkan talenta sebagai Area Receivable Head dan Recovery Officer. Program pendidikan pengembangan karir untuk mempersiapkan talenta sebagai Area Receivable Head dan Recovery Officer. subClassification: Kredit Kredit classification: Perbankan & Layanan Finansial (Perbankan & Layanan Finansial) 6 hari yang lalu 6 hari yang lalu Job Description: Menyusun rencana kerja, membagi tugas, serta mengkoordinasikan pelaksanaan collection dan recovery di cabang Membantu A/R Officer dan Remedial Officer dalam menjalankan tugasnya agar mencapai produktivitas yang diharapkan Memonitor dan memastikan implementasi policy collection dan recovery berjalan dengan benar termasuk kelengkapan administrasi yang dibutuhkan Bertanggung jawab terhadap proses penerimaan barang tarikan baik kondisi maupun kelengkapan dan keabsahan dokumen penarikan Requirement: Pendidikan minimal S1 dari semua jurusan dengan IPK minimal 3.00 Terbuka untuk fresh graduate Terbuka untuk kandidat berpengalaman dengan maksimal pengalaman kerja 1 tahun Bersedia ditempatkan di seluruh Cabang Adira Finance di Indonesia Bersedia untuk bekerja dalam ikatan kerja",https://id.jobstreet.com/id/job/92195555?type=standard&ref=search-standalone&origin=cardTitle#sol=07c205d5baad82b0fb4b59991ee2f66d0a007e07,2026-05-25 15:00:07
management trainee fresh graduate,Professional Development Program - Business & Strategy,PT BCA Finance,Jakarta Selatan,,"Listed more than ten days ago Professional Development Program - Business & Strategy di PT BCA Finance Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Benefits and Perks Health Insurance Career Growth Benefits and Perks Health Insurance Career Growth Suatu program management trainee yang spesifik dan intensif bagi yang berminat berkarir di seluruh divisi (terkhusus Collection) di BCA... Suatu program management trainee yang spesifik dan intensif bagi yang berminat berkarir di seluruh divisi (terkhusus Collection) di BCA... subClassification: Pengembangan Bisnis Baru Pengembangan Bisnis Baru classification: Penjualan (Penjualan) 10 hari yang lalu 10 hari yang lalu Professional Development Program (PDP) Business & Strategy adalah suatu program management trainee yang akan mempelajari seluruh unit dan proses bisnis di BCA Finance (terarah untuk Marketing & Support Function). Dalam program ini, Anda harus siap menjalani ikatan dinas selama 30 bulan dan penempatan di cabang BCA Finance seluruh Indonesia. Kualifikasi: Pendidikan min. S1 dari semua jurusan dengan IPK minimal 3.00 Fresh graduate atau memiliki pengalaman kerja kurang dari 2 tahun Aktif kegiatan organisasi/komunitas Kreatif dan memiliki wawasan teknologi Bersedia ditempatkan di seluruh cabang BCA Finance di Indonesia BCA Finance tunduk pada ketentuan UU Nomor 27 Tahun 2022 tentang Perlindungan Data Pribadi berikut aturan turunan serta perubahan-perubahannya dari waktu ke waktu. Saya menyetujui data-data saya digunakan, diverifikasi, dikelola, dan ditatausahakan untuk tujuan perekrutan di PT BCA Finance.",https://id.jobstreet.com/id/job/92126377?type=standard&ref=search-standalone&origin=cardTitle#sol=7359a79a1682ae59de37f39b3a7b6d7d3b2544c6,2026-05-25 15:00:11
management trainee fresh graduate,Management Trainee - Hospitality (Hotel Industry),PT Delonix Group Indonesia,Jakarta Barat,,"Listed more than twenty seven days ago Management Trainee - Hospitality (Hotel Industry) di PT Delonix Group Indonesia Ini adalah lowongan kerja Full time Jakarta Barat , Jakarta Raya Career improvement and opportunity to grow Competitive Salary Positive, people-first work environment Career improvement and opportunity to grow Competitive Salary Positive, people-first work environment Kickstart your leadership journey in hospitality with real business exposure Kickstart your leadership journey in hospitality with real business exposure subClassification: Manajemen Manajemen classification: Hospitaliti & Pariwisata (Hospitaliti & Pariwisata) 27 hari yang lalu • Segera ditutup 27 hari yang lalu • Segera ditutup Company: Delonix Group Industry: Hospitality / Hotel Management Placement: Jakarta About Delonix Group Delonix Group is a growing hospitality management company with an expanding portfolio of hotel properties. We are committed to delivering quality hospitality experiences while continuously investing in people development and leadership growth. Our culture emphasizes learning, mentorship, and performance-based progression. We believe leadership potential can be developed early through the right exposure, guidance, and commitment. Job Description Delonix Group is opening opportunities for fresh graduates to join our Management Trainee Program , a structured development program designed to prepare future leaders in the hospitality industry. This program provides broad exposure across hotel operations and business functions, allowing trainees to understand the hospitality business holistically. Trainees will be actively involved in real operational activities, projects, and management processes under the guidance of experienced leaders. We are looking for individuals who are ambitious, proactive, and highly motivated to accelerate their professional growth. Key Responsibilities Participate in structured management and leadership development programs Gain exposure to various hotel and hospitality business functions Support daily operations and business initiatives Assist in projects, reporting, and performance analysis Learn service excellence, team coordination, and business fundamentals Demonstrate initiative, ownership, and leadership potential in assigned tasks Requirements Fresh graduate with a Bachelor’s Degree (S1) (Final year students must provide SKL / Graduation Letter) Graduates from reputable universities will be an advantage Fluent in English (spoken and written) is required Mandarin proficiency will be a strong advantage Positive, energetic, and professional personality Strong interest in the hospitality and hotel industry Curious, proactive, and open to learning various aspects of the business Willing to take responsibility and adapt in a dynamic environment Demonstrates strong work ethic and leadership potential Career Growth & Opportunity This Management Trainee Program is designed as a leadership pipeline . Career progression at Delonix Group is driven by performance, capability, and attitude . High-performing trainees will have the opportunity to progress into higher responsibilities and leadership roles within our hotel business, including: Supervisor → Manager → General Manager We highly value individuals who consistently demonstrate commitment, resilience, and a strong drive to grow. Ensure your CV highlights internships, academic projects, organizational involvement, or leadership experiences that demonstrate your potential and growth mindset.",https://id.jobstreet.com/id/job/91777573?type=standard&ref=search-standalone&origin=cardTitle#sol=c9ea200835b75f631aa802311c9b77b13a516b2b,2026-05-25 15:00:20
management trainee fresh graduate,Management Trainee,PT Prima Hidup Lestari,Jakarta Selatan,,"Listed more than twenty days ago Management Trainee di PT Prima Hidup Lestari Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Dynamics Environment Synergy & Passionate Team Honest, Profesional, Openess, Careness, Enthusiasm Dynamics Environment Synergy & Passionate Team Honest, Profesional, Openess, Careness, Enthusiasm Program percepatan karier untuk mempersiapkan kandidat menjadi pemimpin masa depan perusahaan melalui rotasi lintas divisi, pelatihan intensif Program percepatan karier untuk mempersiapkan kandidat menjadi pemimpin masa depan perusahaan melalui rotasi lintas divisi, pelatihan intensif subClassification: Manajemen – Toko Manajemen – Toko classification: Ritel & Produk Konsumen (Ritel & Produk Konsumen) 20 hari yang lalu 20 hari yang lalu Deskripsi Pekerjaan : Mengikuti program pelatihan dan pengembangan selama 6 bulan Melakukan rotasi kerja di berbagai departemen (operasional, marketing, PPIC, demand planner, product planner dll.) Mempelajari proses bisnis, standar operasional, dan budaya kerja perusahaan. Membantu analisis data, penyusunan laporan, dan rekomendasi perbaikan. Terlibat dalam proyek khusus atau improvement yang ditugaskan manajemen. Menjalankan tugas operasional harian sesuai kebutuhan divisi penempatan. Berkoordinasi dengan tim lintas fungsi untuk memastikan target tercapai. Menyampaikan ide inovasi untuk peningkatan efisiensi dan kualitas kerja. Mempresentasikan hasil pembelajaran dan proyek kepada manajemen. Kualifikasi : Pendidikan minimal S1 Jurusan Teknik Industri/Marketing IPK minimal 3.00 Fresh graduate dipersilakan melamar, pengalaman organisasi/magang menjadi nilai tambah Memiliki kemampuan komunikasi dan interpersonal yang baik Memiliki kemampuan analisa dan problem solving yang kuat Adaptif, cepat belajar, dan mampu bekerja dalam tekanan Memiliki jiwa kepemimpinan dan inisiatif tinggi Bersedia ditempatkan di seluruh area operasional perusahaan Mampu mengoperasikan Microsoft Office (terutama Excel & PowerPoint) Memiliki kemampuan Bahasa Inggris menjadi nilai tambah",https://id.jobstreet.com/id/job/91904778?type=standard&ref=search-standalone&origin=cardTitle#sol=d3224a2cc1b24c1db43a5a5c4a1888aa1da2d9ae,2026-05-25 15:00:23
management trainee fresh graduate,Management trainee,Aksaratra Minimalis,Kabupaten Jepara,Rp 4.000.000 – Rp 5.000.000 per month,"Listed more than eleven days ago Management trainee di Aksaratra Minimalis Ini adalah lowongan kerja Full time Kabupaten Jepara , Jawa Tengah Rp 4.000.000 – Rp 5.000.000 per month Apakah anda beersedia kerja lembur? Apa kelebihan dan kekurangan anda? Apakah anda memiliki pengalaman Organisasi Apakah anda beersedia kerja lembur? Apa kelebihan dan kekurangan anda? Apakah anda memiliki pengalaman Organisasi Ada bonus diluar gaji apabila memenuhi target perusahaan & ada tempat tinggal gratis Ada bonus diluar gaji apabila memenuhi target perusahaan & ada tempat tinggal gratis subClassification: Manajemen – Toko Manajemen – Toko classification: Ritel & Produk Konsumen (Ritel & Produk Konsumen) 11 hari yang lalu 11 hari yang lalu Pendidikan minimal D3/S1 dari semua jurusan (Diutamakan jurusan Manajemen Bisnis & Ekonomi), Desain Interior & Arsitektur. Fresh graduate dipersilakan melamar. Usia kisaran 18–30 tahun. Memiliki minat pada industri furniture dan interior. Bersedia mengikuti program training dan penempatan di berbagai divisi. Mampu bekerja individu maupun tim. Memiliki kemampuan komunikasi yang baik. Teliti, disiplin, dan bertanggung jawab. Memiliki kemampuan problem solving dan leadership dasar. Mampu bekerja dengan target dan deadline. Bersedia ditempatkan di area operasional atau gudang furniture. Menguasai Microsoft Office terutama Excel. Mampu mengendarai mobil roda 4 dengan baik dan aman. 1. Memahami Proses Bisnis Furniture Mempelajari alur produksi furniture dari bahan baku hingga produk jadi. Memahami standar kualitas produk furniture. Mempelajari sistem distribusi dan pemasaran furniture. 2. Training dan Rotasi Divisi Mengikuti program pelatihan di berbagai departemen seperti: Produksi Warehouse Purchasing Quality Control Marketing & Sales Project Interior Membantu operasional di setiap divisi selama masa training. 3. Monitoring Produksi Membantu mengawasi proses produksi furniture. Memastikan proses kerja berjalan sesuai SOP. Membantu menjaga target produksi dan kualitas produk. 4. Quality Control Memastikan kualitas bahan baku dan hasil produksi sesuai standar perusahaan. Membantu melakukan pengecekan produk sebelum pengiriman. 5. Administrasi & Reporting Membuat laporan kegiatan harian dan mingguan. Menginput data operasional dan produksi. Membantu analisa data untuk peningkatan efisiensi kerja. 6. Koordinasi Antar Divisi Berkoordinasi dengan tim produksi, warehouse, marketing, dan purchasing. Membantu penyelesaian kendala operasional di lapangan. 7. Pengembangan & Evaluasi Memberikan ide perbaikan sistem kerja dan operasional. Mengikuti evaluasi berkala selama program Management Trainee berlangsung. Nilai Tambah (Preferred Skills) Memahami dasar material furniture dan interior. Mampu menggunakan AutoCAD atau SketchUp menjadi nilai plus. Memiliki pengalaman organisasi atau kepemimpinan. Memiliki kemampuan negosiasi dan komunikasi lapangan yang baik. Memahami area jalan dan mampu berkendara jarak jauh menjadi nilai tambah",https://id.jobstreet.com/id/job/92096862?type=standard&ref=search-standalone&origin=cardTitle#sol=7fc23c196f9d78aecaa958324158bf67998ffc5a,2026-05-25 15:00:28
