source_keyword,job_title,company,location,salary_text,job_description,job_url,scraped_at
data analyst fresh graduate,Data Analyst,PT Nusantara Sakti Group (JAKARTA),Jakarta Barat,Rp 7.000.000 – Rp 10.000.000 per month,"Listed more than twenty seven days ago Data Analyst di PT Nusantara Sakti Group (JAKARTA) Ini adalah lowongan kerja Full time Jakarta Barat , Jakarta Raya Rp 7.000.000 – Rp 10.000.000 per month Benefit: - Jenjang karir - BPJS Kesehatan - THR - Laptop (sesuai dengan kebijakan perusahaan)o - Dekat Transum Benefit: - Jenjang karir - BPJS Kesehatan - THR - Laptop (sesuai dengan kebijakan perusahaan)o - Dekat Transum subClassification: Matematika, Statistik & Teknik Informasi Matematika, Statistik & Teknik Informasi classification: Sains & Teknologi (Sains & Teknologi) 27 hari yang lalu • Segera ditutup 27 hari yang lalu • Segera ditutup Kualifikasi: Pendidikan minimal S1 jurusan Accounting, Matematika, Aktuaria, Statistika, Sistem Informasi Pengalaman minimal 1–3 tahun sebagai Data Analyst / Business Intelligance Analyst ( fresh graduate dipersilakan melamar jika memiliki background pengalaman internship sebagai Data Analyst / Business Intelligance Analyst ) Diutamakan pernah menjadi Analyst yang handle divisi Finance / Accounting Menguasai Excel minimal intermediate , kemampuan SQL / Power BI / Tableu menjadi nilai tambah Memiliki kemampuan analisis dan problem solving yang baik Mampu menganalisa data dalam jumlah besar dan membuat forecasting Inisiatif, Komunikatif dan Detail-oriented Memiliki ketertarikan dan pemahaman tentang dunia bisnis Memahami Business Process Management menjadi nilai tambah Penempatan Jakarta Barat Deskripsi Pekerjaan: Mengumpulkan, mengolah, dan menganalisis data dari berbagai sumber untuk mendukung kebutuhan bisnis Mengidentifikasi tren, pola, dan insight dari data untuk membantu pengambilan keputusan Mampu mengolah, menganalisa, mengintepretasi, dan memvisualisasi data sesuai bisnis/divisi yang menjadi tanggung jawab Memberikan rekomendasi strategis berdasarkan hasil analisis Menerjemahkan konsep improvement bisnis menjadi kebutuhan sistem ( system requirement ) Berkoordinasi dengan tim IT untuk memastikan pemahaman kebutuhan sistem sesuai dengan konsep bisnis Melakukan analisa ulang apabila hasil penerapan belum sesuai ekspektasi, sehingga terbentuk pola continuous development / continuous improvement agar sistem dan proses terus berkembang secara berkelanjutan. Berkolaborasi dengan tim bisnis untuk memahami kebutuhan data dan KPI Mempersiapkan laporan bulanan, triwulan, dan tahunan",https://id.jobstreet.com/id/job/91783675?type=standard&ref=search-standalone&origin=cardTitle#sol=a1ae85abed16de6a26b38faa7b341f9dd6c93d82,2026-05-25 19:38:02
data analyst fresh graduate,Business Analyst Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,,"Listed more than three days ago Business Analyst Trainee Program di PT Adira Dinamika Multi Finance Tbk Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Career Path Medical Allowance Performance Bonus Career Path Medical Allowance Performance Bonus Program Management Trainee yang merupakan program pendidikan pengembangan karir untuk persiapan sebagai Business Analyst Adira Finance. Program Management Trainee yang merupakan program pendidikan pengembangan karir untuk persiapan sebagai Business Analyst Adira Finance. subClassification: Analis Bisnis/Sistem Analis Bisnis/Sistem classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 3 hari yang lalu 3 hari yang lalu Job Description: Mengumpulkan, mengolah, dan menganalisis data dari berbagai sumber internal maupun eksternal, termasuk data kompetitor, segmentasi pasar, serta preferensi pelanggan. Menyusun dan mengembangkan dashboard serta laporan analisis untuk memantau dan mengevaluasi kinerja bisnis secara berkala. Mengidentifikasi tren pasar, pola data, serta peluang bisnis yang relevan sebagai dasar pengambilan keputusan strategis. Memberikan dukungan analisis data kepada tim manajemen dan unit kerja terkait dalam penerapan pengambilan keputusan berbasis data ( data-driven decision making ). Berkolaborasi secara aktif dengan berbagai departemen (Marketing, Finance, Operations, dan departemen lainnya) untuk memastikan keselarasan analisis dengan kebutuhan bisnis. Membantu perumusan dan pengembangan strategi bisnis berdasarkan hasil analisis data yang komprehensif. Menyajikan dan mempresentasikan hasil analisis data kepada stakeholder secara jelas, sistematis, dan mudah dipahami. Kualifikasi: Pendidikan minimal S1 dari jurusan Statistik, Matematika, Bisnis Manajemen, Data Science, Sistem Informasi, Teknik Industri, Business Analytics, Business Information Technology atau jurusan sejenis lainnya IPK minimal 3.00 Fresh graduate atau memiliki pengalaman kerja maksimal 1 tahun Memiliki kemampuan untuk mengumpulkan, mengolah, dan menganalisa data yang didapatkan dari berbagai sumber Memiliki pemahaman tools pengolahan data seperti SQL, Excel, Python atau tools lainnya Memiliki pemahaman tools untuk visualisasi dashboard seperti Power BI, Tableu, Looker, atau tools sejenis lainnya Memahami konsep dasar statistik dan dapat mengidentifikasi pola, tren, serta peluang bisnis Memiliki kemampuan interpersonal yang baik dan dapat bekerja dalam tim Bersedia untuk bekerja dalam ikatan kerja",https://id.jobstreet.com/id/job/92286722?type=standard&ref=search-standalone&origin=cardTitle#sol=917f3d0f1b439a8fdf6550c39c737b1395fcc5a5,2026-05-25 19:38:06
data analyst fresh graduate,Collection Leaders Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,,"Listed more than six days ago Collection Leaders Trainee Program di PT Adira Dinamika Multi Finance Tbk Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Competitive Benefit Career Development Networking Competitive Benefit Career Development Networking Program pendidikan pengembangan karir untuk mempersiapkan talenta sebagai Area Receivable Head dan Recovery Officer. Program pendidikan pengembangan karir untuk mempersiapkan talenta sebagai Area Receivable Head dan Recovery Officer. subClassification: Kredit Kredit classification: Perbankan & Layanan Finansial (Perbankan & Layanan Finansial) 6 hari yang lalu 6 hari yang lalu Job Description: Menyusun rencana kerja, membagi tugas, serta mengkoordinasikan pelaksanaan collection dan recovery di cabang Membantu A/R Officer dan Remedial Officer dalam menjalankan tugasnya agar mencapai produktivitas yang diharapkan Memonitor dan memastikan implementasi policy collection dan recovery berjalan dengan benar termasuk kelengkapan administrasi yang dibutuhkan Bertanggung jawab terhadap proses penerimaan barang tarikan baik kondisi maupun kelengkapan dan keabsahan dokumen penarikan Requirement: Pendidikan minimal S1 dari semua jurusan dengan IPK minimal 3.00 Terbuka untuk fresh graduate Terbuka untuk kandidat berpengalaman dengan maksimal pengalaman kerja 1 tahun Bersedia ditempatkan di seluruh Cabang Adira Finance di Indonesia Bersedia untuk bekerja dalam ikatan kerja",https://id.jobstreet.com/id/job/92195555?type=standard&ref=search-standalone&origin=cardTitle#sol=abe21586727ef82028b0376557db068fc013a1bc,2026-05-25 19:38:10
data analyst fresh graduate,Data Analyst Staff,Orang Tua Group,Jakarta Raya,,"Listed more than twelve days ago Data Analyst Staff di Orang Tua Group Ini adalah lowongan kerja Full time Jakarta Raya S1 Statistik, Matematika, Teknik, Informatika, Komputer, Akuntansi.... S1 Statistik, Matematika, Teknik, Informatika, Komputer, Akuntansi.... subClassification: Pengembangan & Administrasi Database Pengembangan & Administrasi Database classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 12 hari yang lalu 12 hari yang lalu Kualifikasi: S1 Statistik, Matematika, Teknik, Informatika, Komputer, Akuntansi IPK min 3.00 Terbuka untuk fresh graduate (berpengalaman lebih disukai) Menguasai Microsoft Office, SQL, Phyton Penempatan: Head Office, Jakarta Barat Deskripsi Pekerjaan: Menafsirkan data, menganalisa hasil dengan teknik statistik dan memberi laporan Menganalisa, mengidentifikasi, menafsirkan tren/pola dalam kumpulan data Memperoleh & memelihara database/data sistem Bersedia melakukan perjalanan dinas",https://id.jobstreet.com/id/job/92094201?type=standard&ref=search-standalone&origin=cardTitle#sol=a01b9570053d4b32072dd3ed10710ca7b1ebe7f7,2026-05-25 19:38:14
data analyst fresh graduate,Data Analyst,CITANUSA GROUP,Kelapa Gading,,"Listed more than four days ago Data Analyst di CITANUSA GROUP Ini adalah lowongan kerja Full time Kelapa Gading , Jakarta Raya Bonus KPI Jenjang Karier Training Berkala Bonus KPI Jenjang Karier Training Berkala S1 Statistik, Ilmu Komputer. Skill software SQL, Excel, Python/R, Power BI, atau Tableau. Membuat laporan dan dashboard KPI perusahaan. S1 Statistik, Ilmu Komputer. Skill software SQL, Excel, Python/R, Power BI, atau Tableau. Membuat laporan dan dashboard KPI perusahaan. subClassification: Analis Bisnis/Sistem Analis Bisnis/Sistem classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 4 jam yang lalu 4 jam yang lalu Requirement: S1 Statistik, Ilmu Komputer, atau terkait Pengalaman minimal 2 tahun di data analytics atau business intelligence Mampu bekerja lintas divisi dan memahami strategi bisnis Mahir menggunakan Excel, Phyton, SQL dan mampu membuat Dashboard / Visualisasi Data yg mudah untuk di mengerti Terbiasa melakukan analisis data, forecasting, dan statistik dasar Memiliki keterampilan komunikasi dan problem-solving yang baik Mampu berkomunikasi dengan baik Proaktif dalam melakukan koordinasi serta tindak lanjut pekerjaan dengan departemen terkait Job Description: Mengolah dan menganalisis data untuk mendukung keputusan strategis. Membuat laporan dan dashboard KPI perusahaan. Mengidentifikasi tren bisnis dan rekomendasi perbaikan.",https://id.jobstreet.com/id/job/92317074?type=standard&ref=search-standalone&origin=cardTitle#sol=93d96cb677c8e49b077d25066e5296b65af6ee7b,2026-05-25 19:38:18
data analyst fresh graduate,Business Development (Fresh Graduate),PT PMA Bluemedia Indonesia,Jakarta Selatan,Rp 7.000.000 – Rp 7.500.000 per month,"Listed more than five days ago Business Development (Fresh Graduate) di PT PMA Bluemedia Indonesia Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Rp 7.000.000 – Rp 7.500.000 per month Business Development will take full ownership of client acquisition and business growth initiatives. Business Development will take full ownership of client acquisition and business growth initiatives. subClassification: Pengembangan Bisnis Baru Pengembangan Bisnis Baru classification: Penjualan (Penjualan) 5 hari yang lalu 5 hari yang lalu We're looking for a driven and ambitious Business Development Executive to grow our client base in Indonesia by selling paid advertising and media buying services to SMBs, agencies, and enterprise brands. Responsibilities: Identify and acquire new clients through cold outreach, referrals, networking, and industry events Engage decision-makers (brand owners, founders, marketing managers) to understand their advertising goals and budgets Present and pitch our advertising solutions tailored to client needs Own the full BD cycle — from lead generation and pitching to negotiation, closure, and client handover Maintain accurate pipeline data and provide market insights to management Coordinate with internal teams to ensure smooth client onboarding Requirements: Natural hunter — proactive, persistent, and energized by closing deals Strong presentation, communication, and negotiation skills Fluent in English and Bahasa Indonesia; Mandarin is a plus Self-motivated and comfortable working independently with targets Existing network within advertisers, agencies, or e-commerce sellers is a strong advantage Fresh graduates with ambition and a strong drive to succeed in sales are welcome",https://id.jobstreet.com/id/job/92233730?type=standard&ref=search-standalone&origin=cardTitle#sol=c7c33ef3d3203e9eac75a1b01f44d172fe1c08ee,2026-05-25 19:38:21
data analyst fresh graduate,DATA ANALYST,PT Karya Anugerah Jaya,Sidoarjo,Rp 5.195.000 – Rp 5.200.000 per month,"Listed more than twenty days ago DATA ANALYST di PT Karya Anugerah Jaya Ini adalah lowongan kerja Kontrak/Temporer Sidoarjo , Jawa Timur Rp 5.195.000 – Rp 5.200.000 per month KUALIFIKASI :Lulusan S1 MIPA / Statistika / Matematika / EkonomiBerpengalaman minimal 2 tahun sebagai Data Analyst (Fresh graduate dipersilahkan... KUALIFIKASI :Lulusan S1 MIPA / Statistika / Matematika / EkonomiBerpengalaman minimal 2 tahun sebagai Data Analyst (Fresh graduate dipersilahkan... subClassification: Matematika, Statistik & Teknik Informasi Matematika, Statistik & Teknik Informasi classification: Sains & Teknologi (Sains & Teknologi) 20 hari yang lalu 20 hari yang lalu KUALIFIKASI : Lulusan S1 MIPA / Statistika / Matematika / Ekonomi Berpengalaman minimal 2 tahun sebagai Data Analyst (Fresh graduate dipersilahkan melamar) Mampu melakukan pengolahan data Menguasai program Microsoft Office dan Familiar dengan Accurate Memiliki kemampuan komunikasi dan interpersonal yang baik Jujur, teliti , berinisiatif, proaktif dan bertanggung jawab Familiar dengan accurate program DESKRIPSI PEKERJAAN : Melakukan analisa dan interpretasi data penjualan Memenuhi setiap target pekerjaan yang diberikan Menghitung insentive team marketing setiap bulannya Menghitung gaji karyawan Membuat, mempersiapkan, dan memperbarui kontrak kerja karyawan Membuat Laporan Bulanan Bertanggung jawab untuk memantau hasil evaluasi dan perpanjangan kontrak karyawan. NOTE : PENEMPATAN SIDOARJO, JAWA TIMUR",https://id.jobstreet.com/id/job/91910613?type=standard&ref=search-standalone&origin=cardTitle#sol=9e774331f4fd2cb3aa1acb0fd3dd07d989904893,2026-05-25 19:38:24
data analyst fresh graduate,Data Analyst,Pengiklan Anonim,Jakarta Selatan,,"Listed more than five days ago Data Analyst di Pengiklan Anonim Ini adalah lowongan kerja Kontrak/Temporer Jakarta Selatan , Jakarta Raya Working Culture Working Environment Dynamic role Working Culture Working Environment Dynamic role Make real impact, solve tough problems, and grow your career alongside people who care about excellence and results. Make real impact, solve tough problems, and grow your career alongside people who care about excellence and results. subClassification: Matematika, Statistik & Teknik Informasi Matematika, Statistik & Teknik Informasi classification: Sains & Teknologi (Sains & Teknologi) 5 hari yang lalu 5 hari yang lalu Bertanggung jawab untuk mengumpulkan, mengolah, menganalisis, dan menginterpretasikan data guna mendukung pengambilan keputusan bisnis. Posisi ini akan bekerja sama dengan berbagai tim untuk menghasilkan insight yang akurat, relevan, dan mudah dipahami. Kualifikasi Pendidikan minimal S1 di bidang Statistika, Matematika, Ilmu Komputer, Sistem Informasi, atau bidang terkait Pengalaman minimal 1–2 tahun sebagai Data Analyst (fresh graduate dipersilakan melamar jika memiliki portofolio) Menguasai SQL dan Microsoft Excel Pengalaman menggunakan tools visualisasi data (Tableau, Power BI, Looker, atau sejenisnya) Memahami konsep statistik dan analisis data Memiliki kemampuan analisis dan problem-solving yang baik Mampu mengomunikasikan hasil analisis secara jelas",https://id.jobstreet.com/id/job/92210221?type=standard&ref=search-standalone&origin=cardTitle#sol=c10da4f8cc7569b00a9a7dc791fee40635cfb38e,2026-05-25 19:38:27
data analyst fresh graduate,MAP Active Intern,PT MAP AKTIF ADIPERKASA,Jakarta Raya,,"Listed more than seven days ago MAP Active Intern di PT MAP AKTIF ADIPERKASA Ini adalah lowongan kerja Kontrak/Temporer Jakarta Raya Intern positions at MAP Active Intern positions at MAP Active subClassification: Lainnya Lainnya classification: Ritel & Produk Konsumen (Ritel & Produk Konsumen) 7 hari yang lalu 7 hari yang lalu General Information regarding Internship at MAP Active: 3-6 months internship period, depends on team's needs Will be mainly working from office at Sahid Sudirman Center Monthly stipend Currently open for: Talent Acquisition Intern Background: Psychology, Human Resource, Management Graphic Design (Product Design) Intern Background: Product design, proficiency in design as Adobe Illustrator & Photoshop. Have an interest in footwear are better Brand Marketing Intern Background: All major. Have an interest in lifestyle, aware with current market trends. IT Intern Background: IT major. Advanced in Excel. Merchandising Intern Background: All major. Proficiency in Excel.",https://id.jobstreet.com/id/job/92162697?type=standard&ref=search-standalone&origin=cardTitle#sol=9bb1eb03846ba00b165eab6d644916e4beccdd28,2026-05-25 19:38:31
data analyst fresh graduate,Data Entry (Internship),Yayasan Adikara Niat,Jakarta Barat,,"Listed more than eight days ago Data Entry (Internship) di Yayasan Adikara Niat Ini adalah lowongan kerja Kontrak/Temporer Jakarta Barat , Jakarta Raya Personal Growth Professional Development Dynamic and Supportive Work Environment Personal Growth Professional Development Dynamic and Supportive Work Environment #FutureMatters is our belief in contribute to brighten the future of youth. #FutureMatters is our belief in contribute to brighten the future of youth. subClassification: Entri Data & Pengolahan Kata Entri Data & Pengolahan Kata classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 8 jam yang lalu 8 jam yang lalu Job Description : Focus in Data Entry of Inventory Assets (rooms, utilities, etc) Make a project (e.g. event, portofolio, etc.) based on field-of-interest Requirements : Candidate must possess at least a Diploma or Bachelor's Degree or a final year student majoring any field Advanced in organizing data/files or any administrative skills Good communication skills (interpersonal and intrapersonal) Good in time management Eager to learn Able to fulltime WFO",https://id.jobstreet.com/id/job/92306221?type=standard&ref=search-standalone&origin=cardTitle#sol=70939caaee26e4653e7593ef8610a5f6530f8a78,2026-05-25 19:38:35
data analyst fresh graduate,Data Analyst Staff,PT Asuransi Umum Bumiputera Muda 1967,Jakarta Raya,,"Listed more than twenty six days ago Data Analyst Staff di PT Asuransi Umum Bumiputera Muda 1967 Ini adalah lowongan kerja Full time Jakarta Raya Kesempatan berkarier Pengembangan kompetensi profesional Lingkungan kerja stabil dan profesional Kesempatan berkarier Pengembangan kompetensi profesional Lingkungan kerja stabil dan profesional Kami mencari kandidat teliti, analitis dan mau belajar berbagai hal berkaitan dengan asuransi untuk analisa data, administrasi dan keuangan. Kami mencari kandidat teliti, analitis dan mau belajar berbagai hal berkaitan dengan asuransi untuk analisa data, administrasi dan keuangan. subClassification: Penjaminan Emisi Penjaminan Emisi classification: Asuransi & Dana Pensiun (Asuransi & Dana Pensiun) 26 hari yang lalu • Segera ditutup 26 hari yang lalu • Segera ditutup Deskripsi Pekerjaan: Melakukan analisa data & membuat laporan terkait analisa tersebut Membuat surat menyurat terkait bidang tugasnya Mengarsipkan data-data laporan dan dokumen Merapihkan administrasi dokumen baik soft maupun hardfile Melakukan pengecekan rutin terkait akurasi dan ketepatan entry data dan hasil dari laporan Menjaga kerahasiaan dokumen-dokumen perusahaan Membuat catatan kekurangan / kelengkapan dan dokumen ke cabang Melakukan pekerjaan terkait bidang keuangan (rekonsiliasi bank, monitoring outstanding) untuk staf keuangan Melakukan penempatan portofolio investasi untuk staf keuangan / investasi Melakukan filing Dan lain-lain terkait bidang data analis & administrasi Kualifikasi: Minimal pendidikan S1 semua jurusan Prodi asuransi manajemen lebih diutamakan untuk posisi junior underwriting dan pemasaran Prodi akuntansi/manajemen lebih diutamakan untuk posisi keuangan / investasi Memiliki brevet A&B / pernah mengikuti pelatihan terkait investasi pasar modal (lebih diutamakan untuk posisi staf keuangan) Menguasai bahasa inggris secara aktif akan menjadi nilai tambah Fresh graduate dipersilahkan melamar IPK > 2,75 Mengusai microsoft office dengan baik (terutama excel) Mempunyai pengalaman pada bidang asuransi akan menjadi nilai tambah Siap ditempatkan di Jakarta",https://id.jobstreet.com/id/job/91806673?type=standard&ref=search-standalone&origin=cardTitle#sol=16519d13143d01d213600a95c5c7f6375de2d458,2026-05-25 19:38:38
