source_keyword,job_title,company,location,salary_text,job_description,job_url,scraped_at
magang berbayar,Desk Collection Officer - Fresh Graduate Welcome,PT Mitra Koleksi Mandiri,Bekasi,Rp 3.250.000 per month,"Listed more than twenty one days ago Desk Collection Officer - Fresh Graduate Welcome di PT Mitra Koleksi Mandiri Ini adalah lowongan kerja Full time Bekasi , Jawa Barat Rp 3.250.000 per month Insentif penagihan menarik, penghasilan bisa naik signifikan tiap bulan. Bonus kehadiran untuk karyawan disiplin, menambah stabilitas penghasilan. Jenjang karir jelas hingga level senior dan leader bagi karyawan berprestasi. Insentif penagihan menarik, penghasilan bisa naik signifikan tiap bulan. Bonus kehadiran untuk karyawan disiplin, menambah stabilitas penghasilan. Jenjang karir jelas hingga level senior dan leader bagi karyawan berprestasi. Menangani penagihan via telepon, negosiasi pembayaran, dan follow up janji bayar untuk mencapai target koleksi. Menangani penagihan via telepon, negosiasi pembayaran, dan follow up janji bayar untuk mencapai target koleksi. subClassification: Kredit Kredit classification: Perbankan & Layanan Finansial (Perbankan & Layanan Finansial) 21 hari yang lalu 21 hari yang lalu Desk Collection Officer Penempatan: Bekasi, Pekayon Jaya Deskripsi Pekerjaan Sebagai Desk Collection Officer, Anda bertanggung jawab melakukan penagihan melalui telepon kepada customer yang memiliki tunggakan, menjaga komunikasi yang profesional, serta memastikan target penagihan (KPI) tercapai sesuai standar perusahaan. Tanggung Jawab Melakukan outbound & inbound call untuk mengingatkan dan menagih pembayaran yang jatuh tempo/tertunggak. Memantau assigned accounts (outstanding, due date, histori pembayaran) dan melakukan follow up PTP (promise to pay). Negosiasi skema pembayaran/tenor cicilan sesuai ketentuan perusahaan. Mencatat hasil komunikasi secara rapi dan akurat di sistem (PTP, penolakan, alasan keterlambatan, dll). Menangani dispute/selisih data tagihan dengan koordinasi tim terkait. Menjalankan strategi penagihan sesuai arahan Team Leader dan SOP/etika komunikasi. Menyusun laporan aktivitas dan progres penagihan (harian/mingguan/bulanan). Berkontribusi pada KPI individu dan tim (call volume, contact rate, PTP rate, collection amount). Kualifikasi Memiliki kemampuan menggunakan Microsoft Excel (minimal: input data, filter, sort). Bersedia ditempatkan di Bekasi, Pekayon Jaya . Komunikatif, persuasif, dan mampu bernegosiasi. Terbiasa bekerja dengan target/KPI dan siap follow up rutin. Teliti dalam pencatatan dan disiplin menjalankan SOP. Bersedia bergabung secepatnya Benefit Gaji pokok Uang kehadiran Insentif berdasarkan pencapaian target",https://id.jobstreet.com/id/job/92092607?type=standard&ref=search-standalone&origin=cardTitle#sol=fff8e5cf173cf3cbb3a37187c2494ae0f27b7b80,2026-06-03 17:43:08
magang berbayar,"Kepala Bagian Operasional, Account Officer, Kepala Bagian Kredit, Audit Intern",PT BPR Dana Mitra Indonesia,Jakarta Timur,Rp 5.600.000 – Rp 8.400.000 per month,"Listed more than twenty two days ago Kepala Bagian Operasional, Account Officer, Kepala Bagian Kredit, Audit Intern di PT BPR Dana Mitra Indonesia Ini adalah lowongan kerja Full time Jakarta Timur , Jakarta Raya Rp 5.600.000 – Rp 8.400.000 per month gaji pokok, tunjangan makan, tunjangan transport, tunjangan jabatan, bpjs, insentif, asuransi kesehatan gaji pokok, tunjangan makan, tunjangan transport, tunjangan jabatan, bpjs, insentif, asuransi kesehatan subClassification: Audit – Internal Audit – Internal classification: Akuntansi (Akuntansi) 22 hari yang lalu 22 hari yang lalu Kualifikasi BI Cheking wajib lancar Berpengalaman dibidangnya minimal 1 tahun Pendidikan minimal S1. Memiliki kemampuan komunikasi yang baik. Jujur, disiplin, dan bertanggung jawab. Mampu bekerja secara individu maupun tim. Memiliki etika dan sikap kerja yang baik. Sehat jasmani dan rohani. Mampu mengoperasikan komputer minimal Microsoft Office. Berpenampilan rapi dan sopan. Memiliki kemampuan problem solving dan inisiatif kerja. Bersedia mengikuti peraturan perusahaan. Memiliki motivasi kerja tinggi dan mampu bekerja di bawah tekanan. Diutamakan memiliki pengalaman kerja sesuai bidang terkait. Memiliki loyalitas dan integritas terhadap perusahaan. Bersedia ditempatkan sesuai kebutuhan perusahaan. Tidak pernah terlibat tindak pidana atau pelanggaran berat.",https://id.jobstreet.com/id/job/92055334?type=standard&ref=search-standalone&origin=cardTitle#sol=3825c1a54696414fa6b567810c6e4cb3bccdbf87,2026-06-03 17:43:13
magang berbayar,Staff Administratif,STAR CHICKEN,Tenggilis Mejoyo,Rp 3.000.000 – Rp 4.500.000 per month,"Listed more than twenty one days ago Staff Administratif di STAR CHICKEN Ini adalah lowongan kerja Full time Tenggilis Mejoyo , Jawa Timur Rp 3.000.000 – Rp 4.500.000 per month Terbuka untuk fresh graduate, tersedia lembur dan insentif Terbuka untuk fresh graduate, tersedia lembur dan insentif subClassification: Manajemen Perkantoran Manajemen Perkantoran classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 21 hari yang lalu 21 hari yang lalu Tanggung Jawab Utama Membuat invoice, surat jalan, tanda terima, kuitansi, dan dokumen sejenis yang diperlukan untuk pengiriman barang Melakukan checking terhadap barang masuk dan keluar, serta setiap invoice yang masuk dan keluar Melakukan berbagai kegiatan customer services (membalas pesan masuk, pencatatan po customer, dsb) Melakukan pencatatan, summary, serta pembuatan laporan harian, termasuk keuangan harian Bekerja sama dengan accounting terkait penagihan dan pelunasan piutang customer KUALIFIKASI Lulusan SMA/Sederajat. Terbuka untuk fresh graduate Bersedia jam kerja mulai 06.30 - selesai (tersedia lemburan) Tidak keberatan bekerja di area basah (untuk beberapa pekerjaan harus masuk area produksi yang basah) Memiliki kemampuan multi tasking",https://id.jobstreet.com/id/job/92071014?type=standard&ref=search-standalone&origin=cardTitle#sol=d7892695ff9205744de846ba34ceec82711c90d1,2026-06-03 17:43:43
magang berbayar,Internship for Administration Staff (Jabodetabek),PT Inamas Sumber Makmur,Jakarta Utara,Rp 2.000.000 – Rp 3.000.000 per month,"Listed more than twenty two days ago Internship for Administration Staff (Jabodetabek) di PT Inamas Sumber Makmur Ini adalah lowongan kerja Full time Jakarta Utara , Jakarta Raya Rp 2.000.000 – Rp 3.000.000 per month Microsoft Excel Communication Administration Microsoft Excel Communication Administration Pekerjaan ini akan bertugas membantu kegiatan administratif di perusahaan di beberapa bidang / divisi. Pekerjaan ini akan bertugas membantu kegiatan administratif di perusahaan di beberapa bidang / divisi. subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 22 hari yang lalu 22 hari yang lalu Tasks & responsibilities : Mengelola dan memelihara dokumen perusahaan (fisik maupun digital). Membuat laporan administrasi rutin. Membantu proses input data ke sistem internal perusahaan. Melakukan komunikasi dasar dengan pihak internal dan eksternal. Menyusun dan mengarsipkan dokumen dengan rapi agar mudah diakses. Membantu tugas administratif lainnya sesuai instruksi atasan.",https://id.jobstreet.com/id/job/92039682?type=standard&ref=search-standalone&origin=cardTitle#sol=5460e4f043a15a474d8c0b1c76a6424504967628,2026-06-03 17:43:52
magang berbayar,INTERNSHIP/MAGANG,PT Sukses Mekar Abadi,Surabaya,Rp 3.000.000 per month,"Listed more than five days ago INTERNSHIP/MAGANG di PT Sukses Mekar Abadi Ini adalah lowongan kerja Kontrak/Temporer Surabaya , Jawa Timur Rp 3.000.000 per month Lingkungan kerja yang mendukung kesempatan kerja ilmu pengetahuan Lingkungan kerja yang mendukung kesempatan kerja ilmu pengetahuan INTERNSHIP/MAGANG INTERNSHIP/MAGANG subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 5 hari yang lalu 5 hari yang lalu OPEN RECRUITMENT internship/MAGANG Kualifikasi: Mahasiswa tahap akhir, fresh graduate D3/S1 semua jurusan; Mahir menggunakan Microsoft Office, terutama excel; Memiliki kemampuan administrasi yang baik dan perhatian terhadap detail; Mampu menyusun laporan yang jelas dan mudah dipahami; Memiliki keterampilan komunikasi yang baik untuk berkoordinasi dengan tim; Proaktif, memiliki inisiatif tinggi, kemampuan belajar dengan cepat dan mampu bekerja secara mandiri maupun dalam tim; Bersedia mengikuti ketentuan dan pengaturan kerja yang berlaku di Perusahaan; Bersedia menjalani program magang selama 6 bulan atau sesuai kebutuhan dan kesepakatan. Fasilitas & Manfaat: Uang saku perbulan; Sertifikat / Surat Magang Pengalaman bekerja langsung di Perusahaan Distributor.",https://id.jobstreet.com/id/job/92403933?type=standard&ref=search-standalone&origin=cardTitle#sol=d07d82ba782daf653f5be6069aeca45eaac34e58,2026-06-03 17:43:56
magang berbayar,Tele Account Management (Fresh Graduate are welcome to apply),PT Adecco Personnel Indonesia,Yogyakarta,Rp 2.900.000 per month,"Listed more than fifteen days ago Tele Account Management (Fresh Graduate are welcome to apply) di PT Adecco Personnel Indonesia Ini adalah lowongan kerja Kontrak/Temporer Yogyakarta , DI Yogyakarta Rp 2.900.000 per month Sedang mencari kandidat untuk posisi Tele Account yang terbuka bagi fresh graduate. Sedang mencari kandidat untuk posisi Tele Account yang terbuka bagi fresh graduate. subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 15 hari yang lalu 15 hari yang lalu Deskripsi Pekerjaan: Mendorong pertumbuhan bisnis Merchant di platform online dengan fokus pada peningkatan metrik utama seperti investasi dan ukuran keranjang belanja. Memastikan Merchant secara aktif menjaga profil mereka di aplikasi, berpartisipasi dalam kampanye platform online yang relevan, serta memanfaatkan peluang investasi lainnya untuk memaksimalkan pendapatan. Membangun hubungan yang kuat dengan Merchant untuk memahami kebutuhan mereka dan memberikan dukungan terkait pengaturan produk, pertanyaan, keluhan, dan permintaan. Menjelaskan fitur produk yang relevan secara efektif berdasarkan kebutuhan dan permasalahan Merchant. Mencapai atau melampaui target penjualan serta menjaga catatan panggilan dan hasilnya dengan teliti. Menjalankan peran dengan antusiasme dan sikap positif. Persyaratan & Keterampilan: Fresh graduate dipersilakan untuk melamar. Pendidikan: D3/S1 semua jurusan dengan IPK minimum 2,75. Pengalaman: Minimal 6–12 bulan di bidang telesales / sales / key account management (lebih disukai). Pengalaman di industri FMCG menjadi nilai tambah. Kinerja: Mampu secara konsisten mencapai target penjualan harian, mingguan, dan bulanan.",https://id.jobstreet.com/id/job/92196600?type=standard&ref=search-standalone&origin=cardTitle#sol=9f85267d08dd89b315040831e0aec98b5089f363,2026-06-03 17:44:00
magang berbayar,Warehouse Internship,PT Nabel Sakha Gemilang,Bekasi,Rp 2.000.000 – Rp 3.000.000 per month,"Listed more than fourteen days ago Warehouse Internship di PT Nabel Sakha Gemilang Ini adalah lowongan kerja Kontrak/Temporer Bekasi , Jawa Barat Rp 2.000.000 – Rp 3.000.000 per month Gaji yang sesuai Lingkungan yang nyaman Learning Process Gaji yang sesuai Lingkungan yang nyaman Learning Process Berkoordinasi dengan Tim untuk membuat item pembelian material dan memastikan material sesuai dengan kebutuhan Berkoordinasi dengan Tim untuk membuat item pembelian material dan memastikan material sesuai dengan kebutuhan subClassification: Pergudangan, Penyimpanan & Distribusi Pergudangan, Penyimpanan & Distribusi classification: Manufaktur, Transportasi & Logistik (Manufaktur, Transportasi & Logistik) 14 hari yang lalu 14 hari yang lalu PT Dimensi Quantum Wahyudi merupakan salah satu bagian dari Nabel Sakha Grup. Dimana fokus kami yaitu menyediakan produk Vacuum Handling System yang memiliki kualitas terbaik kepada pelaku Industri di seluruh Indonesia. Deskripsi Pekerjaan : Berkoordinasi dengan Tim untuk membuat item pembelian material dan memastikan material sesuai dengan kebutuhan Membantu penerimaan barang (Good Receipt) : hal ini akan mempercepat pengecekan material yang dibutuhkan Tim Technical membantu pengelolaan stock dan sample produk Membantu tim warehouse untuk melakukan stock opname bulanan dan tahunan Mmebantu tim Warehouse dalam administrasi Kualifikasi : Mahasiswa semester akhir/freshgraduate are welcome Memiliki pengalaman di bidang warehouse atau berasal dari jurusan yang sama merupakan nilai tambah Dapat memakai microsoft excel Dapat berkomunikasi dengan baik Memiliki semangat tinggi dan teliti dalam bekerja Bersedia ditempatkan di Bekasi,Jawa Barat",https://id.jobstreet.com/id/job/92228304?type=standard&ref=search-standalone&origin=cardTitle#sol=d3856eca08bf07e0cbb08761fe6871c4337afad6,2026-06-03 17:44:10
magang berbayar,Staff Accounting,PT Indo Bahagia Sejahtera,Jakarta Utara,Rp 5.500.000 – Rp 6.800.000 per month,"Listed more than twenty seven days ago Staff Accounting di PT Indo Bahagia Sejahtera Akan segera berakhir Ini adalah lowongan kerja Full time Jakarta Utara , Jakarta Raya Rp 5.500.000 – Rp 6.800.000 per month - Pengalaman minimal 2 tahun di bidang akuntansi atau pembukuan lebih disukai, namun lulusan baru (fresh graduate) dapat dipertimbangkan - Pengalaman minimal 2 tahun di bidang akuntansi atau pembukuan lebih disukai, namun lulusan baru (fresh graduate) dapat dipertimbangkan subClassification: Akuntansi & Pelaporan Finansial Akuntansi & Pelaporan Finansial classification: Akuntansi (Akuntansi) 27 hari yang lalu 27 hari yang lalu Mengerjakan pembukuan dan akuntansi dasar (jurnal, pemberian nomor perkiraan, input data transaksi). Membuat dan menyimpan lembar kerja akuntansi. Mengerjakan tugas administrasi termasuk filing dokumen, menerima dan memproses surat-surat yang berhubungan dengan divisi akuntansi, keuangan, kebijakan serta prosedur. Membantu persiapan untuk menerbitkan laporan rutin, antara lain, laporan laba rugi, neraca, laporan produksi dan lain-lain yang diperlukan oleh manajemen. Hal-hal lain yang meliputi fungsi, tugas dan tangung jawab di bidang akuntansi (pencatatan, pengawasan dan pengendalian), di bawah arahan supervisor. Mengawasi dan memastikan pencatatan transaksi akuntansi dilakukan dengan benar sesuai standar akuntansi. Wajib menguasai Accurate Accounting Software dengan baik. Menyiapkan dokumen perpajakan dan administrasi terkait Rekonsiliasi bank dan laporan keuangan Berkoordinasi dengan auditor eksternal dan internal - Perhatian terhadap detail dan akurasi - Mampu berkomunikasi dan interpersonal yang baik - Mampu membuat surat menyurat yang sederhana - Mampu bekerja dengan baik dalam tim dan beradaptasi dengan lingkungan kerja yang serba cepat",https://id.jobstreet.com/id/job/91953526?type=standard&ref=search-standalone&origin=cardTitle#sol=c180d301c7fd771c12ec68e62643c3e3f7c61949,2026-06-03 17:44:37
magang berbayar,Internship at PT ABM Investama,PT ABM Investama,Jakarta Selatan,Rp 1.500.000 – Rp 2.000.000 per month,"Listed more than eight days ago Internship at PT ABM Investama di PT ABM Investama Ini adalah lowongan kerja Kontrak/Temporer Jakarta Selatan , Jakarta Raya Rp 1.500.000 – Rp 2.000.000 per month Competitiveness in its total compensation and benefits. Career Path and Development Program Open career opportunities across company groups Competitiveness in its total compensation and benefits. Career Path and Development Program Open career opportunities across company groups Fresh Graduate Position - Do Administrative things Fresh Graduate Position - Do Administrative things subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 8 hari yang lalu 8 hari yang lalu Open Position : Data Scientist Legal Brand Management - Content Creator Job Descriptions : Jobdesc For Data Scientist : membantu proses penggalian temuan ( insight ) data yang bernilai bagi bisnis. Selain itu, peran ini bertugas mendukung pengembangan visualisasi data dan aplikasi interaktif sebagai luaran akhir dari analisis preskriptif ( prescriptive analytics ) serta implementasi solusi berbasis kecerdasan buatan ( artificial intelligence ). Jobdesc for Legal : mengelola sistem dokumentasi hukum perusahaan dengan berkoordinasi bersama PIC terkait dalam pengumpulan data legal, serta melakukan pencatatan dan pembaruan data secara berkala sebagai sumber repository dan template perjanjian. Selain itu, peran ini bertugas membantu pengembangan sistem penyimpanan data hukum, menyusun panduan penggunaan template perjanjian, serta membuat dashboard pemantauan untuk dokumentasi proses dan analisis sengketa hukum ( legal dispute ). Jobdesc for Brand Management : Membantu proses perencanaan konten dan komunikasi brand, Melakukan riset konten, tren komunikasi, dan referensi visual/konseptual, Mendukung eksekusi materi komunikasi visual dengan internal maupun pihak terkait, Membantu penyusunan draft konten, materi presentasi, dan komunikasi pendukung Qualification : Final-year undergraduate student or Bachelor’s degree graduate Law (for Legal), Engineering, Statistic, Computer, mathematic (For Data Scientist), Visual Communication Design (DKV) or Multimedia (for Brand Management), Proficient in Excel, PowerPoint, SharePoint, Outlook, Power BI Responsible, systematic, agile, adaptive, with strong communication skills WFO, from 8 am to 5 pm Willing to be placed in HO, Cilandak - Jakarta Salary 2 Million rupiah / month (based on attendance records ) Internship duration: 3 to 6 months",https://id.jobstreet.com/id/job/92334404?type=standard&ref=search-standalone&origin=cardTitle#sol=c8656d29254527d521417c8ee4469fe199bcdb0e,2026-06-03 17:45:01
magang berbayar,Field Collection (Pekanbaru),PT Dipo Star Finance,Pekanbaru,Rp 3.700.000 – Rp 4.000.000 per month,"Listed more than five days ago Field Collection (Pekanbaru) di PT Dipo Star Finance Ini adalah lowongan kerja Full time Pekanbaru , Riau Rp 3.700.000 – Rp 4.000.000 per month collector, kolektor collector, kolektor subClassification: Kredit Kredit classification: Perbankan & Layanan Finansial (Perbankan & Layanan Finansial) 5 hari yang lalu 5 hari yang lalu Deskripsi Pekerjaan: Melakukan kunjungan untuk menindaklanjuti penagihan debitur bermasalah Melakukan penanganan terhadap debitur bermasalah Kualifikasi: Pendidikan minimum D3 segala jurusan. Fresh Graduate dipersilahkan untuk melamar Mampu melakukan negosiasi dan bekerja secara individual ataupun tim Bersedia melakukan perjalanan dinas Mampu mengemudikan kendaraan roda 2 & roda 4 Memiliki SIM A & SIM C (Wajib) Berorientasi pada target yang ditetapkan Bersedia ditempatkan di Pekanbaru / Batam",https://id.jobstreet.com/id/job/92413253?type=standard&ref=search-standalone&origin=cardTitle#sol=3eaa832de13e6ab055abc4a73ff72f958a3f0e0d,2026-06-03 17:45:11
