source_keyword,job_title,company,location,salary_text,job_description,job_url,scraped_at
fresh graduate s1,Management Trainee,PT Pasifik Agro Sentosa,Jakarta Selatan,,"Listed more than five days ago Management Trainee di PT Pasifik Agro Sentosa Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya BPJS Kesehatan BPJS Ketenagakerjaan Asuransi BPJS Kesehatan BPJS Ketenagakerjaan Asuransi - - subClassification: Manajemen – Toko Manajemen – Toko classification: Ritel & Produk Konsumen (Ritel & Produk Konsumen) 5 hari yang lalu 5 hari yang lalu Qualification : · Bachelor of TecManagement/Business Management/ Statistics/Technique · Fresh graduate are welcome · Able to Speak English is an added value · Strong Interest in Business, Operations, and Leadership · Good Interpersonal and Communication Skills · Fast Learner, Proactive, Analytic, Energetic, Persistent, and High Achieve · Excellent with Microsoft Office and General Computer Skills · Willing to be placed in SCBD Jakarta and all business units",https://id.jobstreet.com/id/job/92206825?type=standard&ref=search-standalone&origin=cardTitle#sol=c4f6be694e43d5ca277c3a56b2a9eb622a32f747,2026-05-25 13:50:47
fresh graduate s1,Collection Leaders Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,,"Listed more than six days ago Collection Leaders Trainee Program di PT Adira Dinamika Multi Finance Tbk Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Competitive Benefit Career Development Networking Competitive Benefit Career Development Networking Program pendidikan pengembangan karir untuk mempersiapkan talenta sebagai Area Receivable Head dan Recovery Officer. Program pendidikan pengembangan karir untuk mempersiapkan talenta sebagai Area Receivable Head dan Recovery Officer. subClassification: Kredit Kredit classification: Perbankan & Layanan Finansial (Perbankan & Layanan Finansial) 6 hari yang lalu 6 hari yang lalu Job Description: Menyusun rencana kerja, membagi tugas, serta mengkoordinasikan pelaksanaan collection dan recovery di cabang Membantu A/R Officer dan Remedial Officer dalam menjalankan tugasnya agar mencapai produktivitas yang diharapkan Memonitor dan memastikan implementasi policy collection dan recovery berjalan dengan benar termasuk kelengkapan administrasi yang dibutuhkan Bertanggung jawab terhadap proses penerimaan barang tarikan baik kondisi maupun kelengkapan dan keabsahan dokumen penarikan Requirement: Pendidikan minimal S1 dari semua jurusan dengan IPK minimal 3.00 Terbuka untuk fresh graduate Terbuka untuk kandidat berpengalaman dengan maksimal pengalaman kerja 1 tahun Bersedia ditempatkan di seluruh Cabang Adira Finance di Indonesia Bersedia untuk bekerja dalam ikatan kerja",https://id.jobstreet.com/id/job/92195555?type=standard&ref=search-standalone&origin=cardTitle#sol=825988682af051b85746c2770728156a92376c31,2026-05-25 13:50:51
fresh graduate s1,Kasir (Unit Handling Equipment - HE),PT Jaya Trade Indonesia,Jakarta Raya,,"Listed more than six days ago Kasir (Unit Handling Equipment - HE) di PT Jaya Trade Indonesia Ini adalah lowongan kerja Full time Jakarta Raya Medical Education Support Retirement Support Medical Education Support Retirement Support Bertanggungjawab atas kas harian operasional Bertanggungjawab atas kas harian operasional subClassification: Bendahara Bendahara classification: Akuntansi (Akuntansi) 6 hari yang lalu 6 hari yang lalu Persyaratan: Pendidikan D3 Akuntansi/Ekonomi - IPK minimal 3.00 Menguasai Microsoft Office (terutama Ms.Excel & Ms.Word) Tegas, tekun, teliti, tangguh dan jujur Mampu bekerja sama dalam tim dan berkomunikasi dengan baik Pengalaman minimal 1 tahun di bidang yang sama, fresh graduate diperkenankan melamar Gambaran Pekerjaan: Memproses administrasi kas kecil (petty cash) Memproses pembayaran Bertanggungjawab atas cash opname Mengelola kebutuhan harian operasional unit",https://id.jobstreet.com/id/job/92177813?type=standard&ref=search-standalone&origin=cardTitle#sol=c56fde074d7053c29cfd2c7818058dfe2e338eb4,2026-05-25 13:50:55
fresh graduate s1,Management Trainee,PT Daya Anugrah Mandiri,Jawa Barat,,"Listed more than one day ago Management Trainee di PT Daya Anugrah Mandiri Ini adalah lowongan kerja Full time Jawa Barat Management Trainee adalah program pengembangan terstruktur yang dipersiapkan untuk mencetak future leader di lingkungan cabang Daya Motor. Management Trainee adalah program pengembangan terstruktur yang dipersiapkan untuk mencetak future leader di lingkungan cabang Daya Motor. subClassification: Manajemen – Toko Manajemen – Toko classification: Ritel & Produk Konsumen (Ritel & Produk Konsumen) 1 jam yang lalu 1 jam yang lalu Job Description: Mengikuti program pelatihan terstruktur untuk mempersiapkan kandidat menjadi leader cabang Daya Motor Mempelajari dan terlibat langsung dalam operasional bisnis dealer, meliputi: Operasional bengkel (Workshop) Administrasi dan keuangan cabang (Administration) Penjualan dan pengelolaan cabang (Branch Head POS) Mendukung pelaksanaan aktivitas operasional harian cabang Melakukan analisis sederhana terkait proses bisnis dan operasional Berkolaborasi dengan tim untuk mencapai target dan standar perusahaan Mengembangkan kemampuan kepemimpinan, pengambilan keputusan, dan problem solving Bersedia menjalani penempatan dan rotasi sesuai kebutuhan perusahaan Job Requirements: Pendidikan S1 / S2 dari universitas ternama IPK minimal 3,20 Aktif berorganisasi selama masa perkuliahan Memiliki orientasi bisnis global dan pola pikir big picture Memiliki minat yang kuat di bidang bisnis, operasional, dan kepemimpinan Bersedia ditempatkan di seluruh wilayah Indonesia",https://id.jobstreet.com/id/job/92310808?type=standard&ref=search-standalone&origin=cardTitle#sol=6820f2821d3f4f1a9518cdbc82256e4e9782775d,2026-05-25 13:50:58
fresh graduate s1,Marketing Coordinator (Junior),PT Nusantara Sakti Group (JAKARTA),Jakarta Raya,Rp 5.000.000 – Rp 6.650.000 per month,"Listed more than twelve days ago Marketing Coordinator (Junior) di PT Nusantara Sakti Group (JAKARTA) Ini adalah lowongan kerja Full time Jakarta Raya Rp 5.000.000 – Rp 6.650.000 per month Perusahaan Stabil & Terkemuka Peluang Karir yang Jelas Bonus Akhir Tahun & Tunjangan Hari Raya Perusahaan Stabil & Terkemuka Peluang Karir yang Jelas Bonus Akhir Tahun & Tunjangan Hari Raya Bidang Multiguna R2, Marketing Multiguna R2, Mengelola dan mengawasi operasional Pos Multiguna R2, penempatan penempatan Seluruh Indonesia Bidang Multiguna R2, Marketing Multiguna R2, Mengelola dan mengawasi operasional Pos Multiguna R2, penempatan penempatan Seluruh Indonesia subClassification: Asisten/Koordinator Pemasaran Asisten/Koordinator Pemasaran classification: Pemasaran & Komunikasi (Pemasaran & Komunikasi) 12 hari yang lalu 12 hari yang lalu Kualifikasi: Pendidikan minimal D3/S1 semua jurusan. Terbuka untuk fresh graduate (pengalaman organisasi/kerja lapangan menjadi nilai plus). Pengalaman di bidang Multiguna R2 / Dana Tunai / Finance menjadi nilai tambah. Memiliki minat di bidang marketing dan pengembangan tim. Memiliki jiwa kepemimpinan dan komunikasi yang baik. Disiplin, bertanggung jawab, dan siap bekerja di lapangan. Memiliki SIM C . Bersedia ditempatkan di Seluruh Indonesia / minimal 1 Pulau Deskripsi Pekerjaan: Mengelola dan mengawasi tim marketing Pos . Merekrut, melatih, dan mengembangkan tim marketing Mengawasi aktivitas canvassing, referal, dan kemitraan Mengkoordinasikan dan mengawasi kinerja tim. Memastikan layanan berjalan sesuai SOP.",https://id.jobstreet.com/id/job/92063798?type=standard&ref=search-standalone&origin=cardTitle#sol=41365053164ef6183b91fefcbeab205571151718,2026-05-25 13:51:02
fresh graduate s1,Management Trainee,PT Prima Hidup Lestari,Jakarta Selatan,,"Listed more than twenty days ago Management Trainee di PT Prima Hidup Lestari Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Dynamics Environment Synergy & Passionate Team Honest, Profesional, Openess, Careness, Enthusiasm Dynamics Environment Synergy & Passionate Team Honest, Profesional, Openess, Careness, Enthusiasm Program percepatan karier untuk mempersiapkan kandidat menjadi pemimpin masa depan perusahaan melalui rotasi lintas divisi, pelatihan intensif Program percepatan karier untuk mempersiapkan kandidat menjadi pemimpin masa depan perusahaan melalui rotasi lintas divisi, pelatihan intensif subClassification: Manajemen – Toko Manajemen – Toko classification: Ritel & Produk Konsumen (Ritel & Produk Konsumen) 20 hari yang lalu 20 hari yang lalu Deskripsi Pekerjaan : Mengikuti program pelatihan dan pengembangan selama 6 bulan Melakukan rotasi kerja di berbagai departemen (operasional, marketing, PPIC, demand planner, product planner dll.) Mempelajari proses bisnis, standar operasional, dan budaya kerja perusahaan. Membantu analisis data, penyusunan laporan, dan rekomendasi perbaikan. Terlibat dalam proyek khusus atau improvement yang ditugaskan manajemen. Menjalankan tugas operasional harian sesuai kebutuhan divisi penempatan. Berkoordinasi dengan tim lintas fungsi untuk memastikan target tercapai. Menyampaikan ide inovasi untuk peningkatan efisiensi dan kualitas kerja. Mempresentasikan hasil pembelajaran dan proyek kepada manajemen. Kualifikasi : Pendidikan minimal S1 Jurusan Teknik Industri/Marketing IPK minimal 3.00 Fresh graduate dipersilakan melamar, pengalaman organisasi/magang menjadi nilai tambah Memiliki kemampuan komunikasi dan interpersonal yang baik Memiliki kemampuan analisa dan problem solving yang kuat Adaptif, cepat belajar, dan mampu bekerja dalam tekanan Memiliki jiwa kepemimpinan dan inisiatif tinggi Bersedia ditempatkan di seluruh area operasional perusahaan Mampu mengoperasikan Microsoft Office (terutama Excel & PowerPoint) Memiliki kemampuan Bahasa Inggris menjadi nilai tambah",https://id.jobstreet.com/id/job/91904778?type=standard&ref=search-standalone&origin=cardTitle#sol=56875f4f3f6c86d725b41aede934a9d2ed982c29,2026-05-25 13:51:06
fresh graduate s1,Management trainee,Aksaratra Minimalis,Kabupaten Jepara,Rp 4.000.000 – Rp 5.000.000 per month,"Listed more than eleven days ago Management trainee di Aksaratra Minimalis Ini adalah lowongan kerja Full time Kabupaten Jepara , Jawa Tengah Rp 4.000.000 – Rp 5.000.000 per month Apakah anda beersedia kerja lembur? Apa kelebihan dan kekurangan anda? Apakah anda memiliki pengalaman Organisasi Apakah anda beersedia kerja lembur? Apa kelebihan dan kekurangan anda? Apakah anda memiliki pengalaman Organisasi Ada bonus diluar gaji apabila memenuhi target perusahaan & ada tempat tinggal gratis Ada bonus diluar gaji apabila memenuhi target perusahaan & ada tempat tinggal gratis subClassification: Manajemen – Toko Manajemen – Toko classification: Ritel & Produk Konsumen (Ritel & Produk Konsumen) 11 hari yang lalu 11 hari yang lalu Pendidikan minimal D3/S1 dari semua jurusan (Diutamakan jurusan Manajemen Bisnis & Ekonomi), Desain Interior & Arsitektur. Fresh graduate dipersilakan melamar. Usia kisaran 18–30 tahun. Memiliki minat pada industri furniture dan interior. Bersedia mengikuti program training dan penempatan di berbagai divisi. Mampu bekerja individu maupun tim. Memiliki kemampuan komunikasi yang baik. Teliti, disiplin, dan bertanggung jawab. Memiliki kemampuan problem solving dan leadership dasar. Mampu bekerja dengan target dan deadline. Bersedia ditempatkan di area operasional atau gudang furniture. Menguasai Microsoft Office terutama Excel. Mampu mengendarai mobil roda 4 dengan baik dan aman. 1. Memahami Proses Bisnis Furniture Mempelajari alur produksi furniture dari bahan baku hingga produk jadi. Memahami standar kualitas produk furniture. Mempelajari sistem distribusi dan pemasaran furniture. 2. Training dan Rotasi Divisi Mengikuti program pelatihan di berbagai departemen seperti: Produksi Warehouse Purchasing Quality Control Marketing & Sales Project Interior Membantu operasional di setiap divisi selama masa training. 3. Monitoring Produksi Membantu mengawasi proses produksi furniture. Memastikan proses kerja berjalan sesuai SOP. Membantu menjaga target produksi dan kualitas produk. 4. Quality Control Memastikan kualitas bahan baku dan hasil produksi sesuai standar perusahaan. Membantu melakukan pengecekan produk sebelum pengiriman. 5. Administrasi & Reporting Membuat laporan kegiatan harian dan mingguan. Menginput data operasional dan produksi. Membantu analisa data untuk peningkatan efisiensi kerja. 6. Koordinasi Antar Divisi Berkoordinasi dengan tim produksi, warehouse, marketing, dan purchasing. Membantu penyelesaian kendala operasional di lapangan. 7. Pengembangan & Evaluasi Memberikan ide perbaikan sistem kerja dan operasional. Mengikuti evaluasi berkala selama program Management Trainee berlangsung. Nilai Tambah (Preferred Skills) Memahami dasar material furniture dan interior. Mampu menggunakan AutoCAD atau SketchUp menjadi nilai plus. Memiliki pengalaman organisasi atau kepemimpinan. Memiliki kemampuan negosiasi dan komunikasi lapangan yang baik. Memahami area jalan dan mampu berkendara jarak jauh menjadi nilai tambah",https://id.jobstreet.com/id/job/92096862?type=standard&ref=search-standalone&origin=cardTitle#sol=b28e476cc0b836be223ec7d4132f7642a9dccf09,2026-05-25 13:51:09
fresh graduate s1,Admin Staff,Coconi Baby Indonesia,Medan Amplas,,"Listed more than thirteen days ago Admin Staff di Coconi Baby Indonesia Ini adalah lowongan kerja Full time Medan Amplas , Sumatera Utara Gaji kompetitif. Gaji kompetitif. subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 13 hari yang lalu 13 hari yang lalu Staff bertanggung jawab atas pencatatan, pengelolaan, dan pelaporan data stok barang secara akurat dan tepat waktu, serta memastikan ketersediaan barang sesuai kebutuhan operasional perusahaan. Tanggung Jawab Utama Membuka dan memproses invoice harian sesuai transaksi yang masuk. Mengupdate surat jalan dan nomor resi pengiriman . Memastikan dokumen terkait tersimpan dengan rapi dan mudah ditelusuri. Memantau dan mengkonfirmasi kedatangan barang retur dari pelanggan. Melakukan stock opname secara berkala dan melaporkan hasilnya kepada atasan. Memantau orderan yang masih dalam status on order dan melakukan tindak lanjut jika diperlukan. Kualifikasi Pendidikan minimal S1 semua jurusan, diutamakan S1 Farmasi , Manajemen dan Akuntansi Pengalaman minimal 1 tahun di posisi serupa (TIDAK menerima fresh graduate ). Jika bisa Hokkien merupakan nilai Plus Mahir mengoperasikan Microsoft Excel atau Google Sheets. Teliti, jujur, dan mampu bekerja dengan data secara detail. Mampu bekerja secara mandiri maupun dalam tim. Mampu memanage waktu dengan baik.",https://id.jobstreet.com/id/job/92038375?type=standard&ref=search-standalone&origin=cardTitle#sol=9a5864122b23ab2249fb0d69c04687ecf0ac1c6a,2026-05-25 13:51:13
fresh graduate s1,MDP (Management Development Program),PT. Asuransi Sinar Mas,Jakarta Pusat,,"Listed more than five days ago MDP (Management Development Program) di PT. Asuransi Sinar Mas Ini adalah lowongan kerja Full time Jakarta Pusat , Jakarta Raya marketing marketing subClassification: Pengembangan Bisnis Baru Pengembangan Bisnis Baru classification: Penjualan (Penjualan) 5 hari yang lalu 5 hari yang lalu PT Asuransi Sinar Mas (ASM) yang berdiri pada tanggal 27 Mei 1985 merupakan salah satu perusahaan asuransi umum terbesar di Indonesia. Sepanjang perjalanannya, Asuransi Sinar Mas menunjukkan pertumbuhan yang berkesinambungan. Untuk melayani kebutuhan masyarakat akan asuransi, Asuransi Sinar Mas mempunyai jaringan pemasaran yang luas yang tersebar di seluruh indonesia. Dalam usaha menjaring talenta yang berkualitas, kami mengajak Anda untuk bertumbuh dan berkembang bersama Asuransi Sinar Mas. Kualifikasi: Pendidikan S1 semua jurusan, min IPK 3.00 Mampu berbahasa Inggris dengan baik, lebih diutamakan mampu berbahasa Mandarin Memiliki keinginan untuk terus belajar dan mengembangkan diri Memiliki integritas yang tinggi Mampu mengoperasikan Ms. Office Bersedia ditempatkan di Kantor Pusat (Jakarta) maupun Kantor Cabang diseluruh Indonesia HATI-HATI TERHADAP SEGALA BENTUK PENIPUAN YANG MENGATASNAMAKAN PT ASURANSI SINAR MAS. SELAMA PROSES SELEKSI BERLANGSUNG, PIHAK KAMI TIDAK MEMUNGUT UANG DALAM BENTUK APAPUN. ­ COME AND JOIN US BE A WINNER!",https://id.jobstreet.com/id/job/92223018?type=standard&ref=search-standalone&origin=cardTitle#sol=f323635e0b7710129ddde86e155e3afa68349b44,2026-05-25 13:51:17
fresh graduate s1,Sales and Billing Supervisor,PT Putraduta Buanasentosa,Jakarta Selatan,Rp 6.400.000 – Rp 7.600.000 per month,"Listed more than one day ago Sales and Billing Supervisor di PT Putraduta Buanasentosa Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Rp 6.400.000 – Rp 7.600.000 per month Open to Fresh Graduate. Bertanggung jawab atas administrasi penjualan, invoice, faktur pajak, penagihan, dan pelaporan data sales. Open to Fresh Graduate. Bertanggung jawab atas administrasi penjualan, invoice, faktur pajak, penagihan, dan pelaporan data sales. subClassification: Akuntansi & Pelaporan Finansial Akuntansi & Pelaporan Finansial classification: Akuntansi (Akuntansi) 1 jam yang lalu 1 jam yang lalu Overview Job Description Bertanggung jawab untuk pengecekan, pembuatan data penjualan dan penagihan, invoice, faktur pajak, serta administrasi lain yang berkaitan dengan proses tersebut secara cermat, sesuai prosedur dan target waktu yang ditetapkan, agar proses penagihan berjalan dengan tepat dan tidak ada yang terlewat. Open to Fresh Graduate Job Description Mengupload surat jalan dan tanda terima untuk laporan mutasi box Memilah surat jalan dan tanda terima per pelanggan dan per departemen Melakukan validasi antara data box gudang dengan kantor pusat Membuat invoice dan faktur pajak beserta lampirannya sesuai prosedur pelanggan Membuat kwitansi untuk penagihan reimbursement ke pelanggan Mengirim invoice ke pelanggan Menjurnal transaksi penjualan Mengarsip invoice ke dalam ordner outstanding per kode pelanggan Menjurnal amortisasi Unearned Income dan melakukan kontrol daftar unearned income Mengupdate laporan sales dan amortisasi Unearned Income Mengupdate laporan rekonsiliasi data gudang dengan tagihan pusat Memprint laporan tagihan BCA per KCU (KP dan Jabodetabek) Mengirim laporan tagihan BCA per KCU (KP dan Jabodetabek) Membuat laporan 10 pelanggan terbesar dan terkecil Menangani pertanyaan pelanggan yang berhubungan dengan invoice untuk diteruskan ke tim AR & Collection Membuat laporan kinerja unit Sales & Marketing Melaksanakan tugas khusus dari atasan",https://id.jobstreet.com/id/job/92309387?type=standard&ref=search-standalone&origin=cardTitle#sol=ee7aab9147be49d108088849c3b8ce36a8a20054,2026-05-25 13:51:20
