source_keyword,job_title,company,location,salary_text,job_description,job_url,scraped_at
junior programmer fresh graduate,Software Developer (Remote),Savant Degrees Pte Ltd,Jakarta Raya,,"Listed more than six days ago Software Developer (Remote) di Savant Degrees Pte Ltd Ini adalah lowongan kerja Full time Jakarta Raya ( Jarak jauh ) We're seeking a software developer with strong Java, HTML, CSS, and JavaScript skills. You will be working in an hybrid-remote working environment . We're seeking a software developer with strong Java, HTML, CSS, and JavaScript skills. You will be working in an hybrid-remote working environment . subClassification: Developer/Programmer Developer/Programmer classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 6 jam yang lalu 6 jam yang lalu Visit our website at www.savantdegrees.com to explore our exciting innovations. We're seeking a talented software developer to join our Asia team. This full-time position offers a remote working arrangement based in Indonesia. Skills & Experience Needed Minimum 3 years of current, hands-on experience in software development Bachelors or Masters degree in Computer Science, Information Systems, or equivalent Strong Java, HTML, CSS, JavaScript skills, with knowledge on Groovy, Apache Tomcat, Python, and JSON an added advantage Experience with AI-powered development tools is a plus, including integrating AI coding assistants (e.g., Codex), and performing AI-assisted code review to improve development workflows and code quality. Proficient verbal and written English communication skills due to project requirement. Resourceful and tenacious in solving problems. Experience with at least one modern programming language with an MVC framework Proactive and able to exercise initiative in ensuring our code quality meets high standards and aligns with best practices, including security. Responsibilities include: Database design and development Coding (e.g. experience in Java, HTML, CSS, JavaScript) Assessing IT security protocols are followed using tools for performance/load testing, and vulnerability scanning Assisting in implementing tools into existing project systems such as Kibana, Katalon, and Logrocket. Integrating AI-powered development tools is a plus, including integrating AI coding assistants (e.g., Codex), and performing AI-assisted code review to improve development workflows and code quality. Supporting engineering team to develop software solutions, from software task creation, to technical documentation, and QA testing Participate in User Acceptance Testing (UAT) and help our development team with code development for bugs identified (depending on the software, could be Groovy/Stripes for applications; or HTML5/Javascript for front-end) Mentor and guide other developers to improve coding standards, best practices, and overall code quality.",https://id.jobstreet.com/id/job/92306194?type=standard&ref=search-standalone&origin=cardTitle#sol=0318727a0ddc54dc7dd775b16046833d414ea27d,2026-05-25 17:41:36
junior programmer fresh graduate,Junior Technical Support,PT Fusion Dinamika,Jakarta Barat,Rp 5.500.000 – Rp 6.500.000 per month,"Listed more than three days ago Junior Technical Support di PT Fusion Dinamika Ini adalah lowongan kerja Full time Jakarta Barat , Jakarta Raya Rp 5.500.000 – Rp 6.500.000 per month Kompensasi Kompetitif: Gaji menarik dan tunjangan komprehensif. Pertumbuhan Karier: Kesempatan pelatihan dan pengembangan profesional. Lingkungan Inovatif: Budaya kerja kolaboratif mendukung inovasi dan kreativitas. Kompensasi Kompetitif: Gaji menarik dan tunjangan komprehensif. Pertumbuhan Karier: Kesempatan pelatihan dan pengembangan profesional. Lingkungan Inovatif: Budaya kerja kolaboratif mendukung inovasi dan kreativitas. Bergabunglah dengan tim dinamis kami di Jakarta, raih pertumbuhan karier yang luas dengan dukungan pelatihan dan mentoring. Bergabunglah dengan tim dinamis kami di Jakarta, raih pertumbuhan karier yang luas dengan dukungan pelatihan dan mentoring. subClassification: Meja Bantuan & Dukungan IT Meja Bantuan & Dukungan IT classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 3 hari yang lalu 3 hari yang lalu WE’RE HIRING: Junior Technical Support PT Fusion Dinamika – Jakarta Gaji Rp 5.500.000 – Rp 6.500.000 / bulan Tipe Kerja Purnawaktu, 5 hari kerja (Senin–Jumat) Jam Kerja 08.30 – 17.30 WIB Lokasi Jakarta (termasuk penempatan di lokasi klien) Benefit BPJS Kesehatan & Ketenagakerjaan, tunjangan, pelatihan & sertifikasi TENTANG POSISI INI PT Fusion Dinamika adalah perusahaan infrastruktur IT yang bergerak di bidang Linux, open-source solutions, data center, dan keamanan siber. Kami membuka posisi Junior Technical Support untuk kamu yang serius membangun karier di bidang IT support dan siap bekerja langsung dengan klien. Posisi ini bukan hanya desk support. Kamu akan menangani masalah teknis nyata, berkoordinasi lintas tim, dan dalam beberapa kasus ditempatkan langsung di lokasi klien sebagai Residence Engineer. TANGGUNG JAWAB • Memberikan dukungan teknis melalui telepon, email, dan live chat secara cepat dan profesional. • Menganalisis, mendiagnosis, dan menyelesaikan permasalahan teknis pengguna. • Mendokumentasikan setiap kasus dan solusinya untuk mempercepat penanganan masalah serupa di masa depan. • Berkoordinasi dengan tim Project Manager, Engineer, dan Support untuk kasus yang lebih kompleks. • Memberikan masukan untuk peningkatan produk dan layanan berdasarkan pola masalah yang ditemukan di lapangan. KUALIFIKASI YANG KAMI CARI Wajib: • Pendidikan S1 Teknologi Informasi, Sistem Informasi, Teknik Komputer, atau bidang terkait. • Familiar dengan Linux (minimal navigasi CLI dasar) dan sistem operasi umum. • Mengerti konsep dasar jaringan dan troubleshooting koneksi. • Pernah menggunakan atau memahami sistem ticketing (Jira, Freshdesk, atau sejenisnya). • Komunikatif: mampu menjelaskan masalah teknis kepada pengguna non-teknis dengan bahasa yang mudah dipahami. • Bersedia ditempatkan di lokasi klien (Residence Engineer) bila diperlukan. Nilai tambah (tidak wajib, tapi jadi pertimbangan): • Pengalaman minimal 1 tahun di posisi technical support atau customer support. • Pernah menangani environment Linux server. • Kemampuan bahasa Inggris aktif (lisan dan tulisan). PROSES SELEKSI Tahap 1 Review CV & portofolio Tahap 2 Tes teknis singkat (troubleshooting & pengetahuan dasar Linux/jaringan) Tahap 3 Interview dengan HRD & tim teknis CARA MELAMAR Kirim lamaran kamu dengan melampirkan: • CV terbaru. • Ceritakan 1–2 contoh masalah teknis yang pernah kamu selesaikan dan bagaimana cara kamu menanganinya. (Maksimal 200 kata, boleh dalam format poin.) • Sertifikat atau bukti pelatihan teknis yang relevan, jika ada. Kirim ke: hr•@fusion.id | Subject: [Nama] – Junior Technical Support PT Fusion Dinamika • Enterprise Linux & Cybersecurity • www.fusion.id",https://id.jobstreet.com/id/job/92273952?type=standard&ref=search-standalone&origin=cardTitle#sol=2787a766c8bfeba531f3680d3f35f7f59bc30138,2026-05-25 17:41:41
junior programmer fresh graduate,Fullstack developer,PT Kodenusa Tekno Buana,Jakarta Barat,Rp 6.700.000 – Rp 10.000.000 per month,"Listed more than ten days ago Fullstack developer di PT Kodenusa Tekno Buana Dibutuhkan segera Ini adalah lowongan kerja Full time Jakarta Barat , Jakarta Raya ( Hibrid ) Rp 6.700.000 – Rp 10.000.000 per month Work on Enterprise-Scale Fintech Modern, Premium Tech Stack Engineering-First Culture Work on Enterprise-Scale Fintech Modern, Premium Tech Stack Engineering-First Culture Kembangkan solusi digital inovatif dengan tim berbakat. Gaji kompetitif, pelatihan profesional&benefit lengkap, Ready to build the future of fintech? Kembangkan solusi digital inovatif dengan tim berbakat. Gaji kompetitif, pelatihan profesional&benefit lengkap, Ready to build the future of fintech? subClassification: Developer/Programmer Developer/Programmer classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 10 hari yang lalu 10 hari yang lalu Peluang Karir PT Kodenusa Tekno Buana sedang mencari seorang Fullstack Developer yang berpengalaman dan berbakat untuk bergabung dengan tim kami di Jakarta Barat. Dalam peran ini, Anda akan berperan penting dalam pengembangan dan penerapan solusi digital inovatif yang mendorong pertumbuhan bisnis kami di industri Teknologi Informasi & Komunikasi. Tanggung Jawab Utama Merancang, mengembangkan, dan memelihara aplikasi web dan seluler dengan teknologi fullstack modern Berkolaborasi dengan tim pengembangan lainnya untuk mengintegrasikan komponen berbeda menjadi solusi yang kohesif Mengidentifikasi dan mengatasi masalah teknis, serta mengoptimalkan kinerja aplikasi Memastikan kualitas kode dengan menjalankan uji coba dan proses Quality Assurance Memberikan masukan dan saran pengembangan untuk meningkatkan produk dan proses saat ini Keterampilan dan Kualifikasi yang Dibutuhkan Memiliki gelar di bidang Teknik Informatika, Sistem Informasi, atau disiplin ilmu terkait Minimal 2 tahun pengalaman sebagai Fullstack Developer atau peran serupa Mahir dalam penggunaan framework dan teknologi fullstack seperti React, Angular, Vue.js, Node.js, Laravel, atau setara Pengalaman membangun API & webhook menggunakan Node.js Pengalaman dalam pengembangan aplikasi web dan seluler, termasuk integrasi REST API & JSON dan microservices Pengalaman frontend (React / Next.js) untuk dashboard / admin panel Familiar dengan MongoDB & Git workflow Memahami flow payment end-to-end (create → callback → settlement) Keunggulan Bekerja di PT Kodenusa Tekno Buana Paket kompensasi yang kompetitif, termasuk gaji pokok, tunjangan, dan kesempatan bonus Lingkungan kerja yang dinamis dan kolaboratif dengan akses ke pelatihan dan pengembangan profesional Jam kerja Flexible Kesempatan untuk terlibat dalam proyek-proyek menarik dan menantang di industri teknologi terdepan Budaya perusahaan yang mendukung keberagaman, inklusi, dan kesempatan yang setara bagi semua karyawan Tentang PT Kodenusa Tekno Buana PT Kodenusa Tekno Buana adalah perusahaan teknologi terkemuka yang berfokus pada pengembangan solusi digital inovatif untuk bisnis dan konsumen. Didirikan pada tahun 2022, kami telah berkembang menjadi salah satu penyedia layanan IT terdepan di Indonesia, melayani klien dari berbagai sektor industri. Komitmen kami terhadap inovasi, keunggulan teknis, dan kepuasan pelanggan telah menjadikan kami pemimpin pasar yang dihormati. Jika Anda siap untuk bergabung dengan tim kami yang dinamis, lamar sekarang dan menjadi bagian dari perjalanan pertumbuhan PT Kodenusa Tekno Buana.",https://id.jobstreet.com/id/job/92141841?type=standard&ref=search-standalone&origin=cardTitle#sol=f052e60c537ca5777449491fd7bca4e5438f9d83,2026-05-25 17:41:46
junior programmer fresh graduate,System Analyst & Design,PT Nutech Integrasi,Jakarta Selatan,,"Listed more than two days ago System Analyst & Design di PT Nutech Integrasi Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Become a part of The largest BUMN in Indonesia Adding experience and insight in the world of IT Take an active role in transportation for public services Become a part of The largest BUMN in Indonesia Adding experience and insight in the world of IT Take an active role in transportation for public services Analyze client needs, Analyze the proposed solutions and timelines to ensure they can be executed with the available resources. Analyze client needs, Analyze the proposed solutions and timelines to ensure they can be executed with the available resources. subClassification: Analis Bisnis/Sistem Analis Bisnis/Sistem classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 2 hari yang lalu 2 hari yang lalu Job Description: Analyze client requirements Analyze the proposed solutions and timelines to ensure they can be executed with the available resources Prepare Functional System Documentation (FSD), Software Requirement Specification (SRS), and Technical Reports Provide technical assistance in collaboration with the project manager Organize the Quality Control process (create test cases/scenarios) Lead the software development team Requirements: Experience as a System Analyst or Software Project Manager (minimum of 4 projects) Understanding of System Design Architecture and Application Business Processes Possess experience as a programmer on at least two projects Experience in preparing Functional System Documentation (FSD) and Software Requirement Specification (SRS) Possess hands-on experience in both Backend and Frontend development Proficient in RDBMS (Relational Database Management Systems) Familiar with the Software Development Life Cycle (SDLC) Able to communicate technical solutions effectively to users/clients Capable of estimating the resources and time required for a Software Project Knowledge of software project management methodologies such as Scrum, Kanban, Waterfall, etc. Experience using project management tools such as Jira, Trello, Bitrix24, etc. Strong report-writing skills Ability to lead, organize, and manage risks in project development Quick to learn new concepts and technologies",https://id.jobstreet.com/id/job/92286264?type=standard&ref=search-standalone&origin=cardTitle#sol=5db4e4d0e65ccfeb83b98f56459cb8a788c12ae7,2026-05-25 17:41:54
junior programmer fresh graduate,Mid-Level Full Stack Developer,Pengiklan Anonim,Jakarta Selatan,,"Listed more than three days ago Mid-Level Full Stack Developer di Pengiklan Anonim Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Modern Tech Stack Opportunity to Build & Modernize Scalable Systems Real Product Ownership Modern Tech Stack Opportunity to Build & Modernize Scalable Systems Real Product Ownership Build modern web platforms with React, Node.js & TypeScript while helping modernize scalable systems and digital products. Build modern web platforms with React, Node.js & TypeScript while helping modernize scalable systems and digital products. subClassification: Developer/Programmer Developer/Programmer classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 3 jam yang lalu 3 jam yang lalu Mid-Level Full Stack Developer (TypeScript / Node.js / PHP) We are looking for a Mid-Level Full Stack Developer to help build and modernize scalable web platforms using React, Next.js, Node.js, TypeScript, and PHP/Laravel. You will work across frontend and backend development, contribute to platform improvements, and support the transition of legacy systems into a modern architecture within a collaborative tech environment. Responsibilities Develop frontend and backend components, while supporting the migration of legacy Native PHP/Laravel systems into a modern TypeScript/Node.js architecture. Maintain, optimize, and troubleshoot existing production PHP applications to ensure system stability during the migration process. Build responsive, high-performance user interfaces and secure, well-documented RESTful APIs. Participate in technical discussions around infrastructure modernization, framework adoption, and database optimization. Optimize MySQL/PostgreSQL queries and implement caching solutions such as Redis to improve system performance. Apply secure coding practices and data validation, and write clean, testable code using unit/integration testing. Collaborate closely with designers, product owners, and cross-functional teams while maintaining clear technical documentation. Requirements & Skills Bachelor’s degree in Computer Science, IT, or equivalent practical experience with 2–3 years of full-stack web development experience. Hands-on experience with TypeScript, React/Next.js, and Node.js frameworks such as Express, Fastify, or Next.js API routes. Strong understanding of Native PHP and Laravel, including debugging and maintaining production systems. Solid knowledge of HTML5, CSS3, and Tailwind CSS for building responsive user interfaces. Familiarity with state management tools such as React Query/TanStack or Zustand, and validation libraries like Zod or Yup. Experience with MySQL or PostgreSQL, including schema design and query optimization. Familiarity with Docker and basic Linux/SSH environments for development and debugging. Understanding of authentication flows (JWT, OAuth, session-based auth) and secure coding standards. Strong problem-solving, attention to detail, and communication skills. Nice to Have Experience with cloud or deployment platforms such as AWS, Vercel, Netlify, or DigitalOcean. Familiarity with AI tools or AI APIs to improve workflow efficiency. Interest or experience in gaming, interactive platforms, or game-related backend systems.",https://id.jobstreet.com/id/job/92313759?type=standard&ref=search-standalone&origin=cardTitle#sol=130a3bf7e3e1c4c821e9114141e46931905d5376,2026-05-25 17:41:57
junior programmer fresh graduate,PROGRAMMER WEB,Pengiklan Anonim,Karawang,Rp 6.000.000 – Rp 7.000.000 per month,"Listed more than twelve days ago PROGRAMMER WEB di Pengiklan Anonim Ini adalah lowongan kerja Full time Karawang , Jawa Barat Rp 6.000.000 – Rp 7.000.000 per month Attractive Earnings (Base Salary Competitive) Career Growth Opportunities Inspiring Work Environment Attractive Earnings (Base Salary Competitive) Career Growth Opportunities Inspiring Work Environment Gaji kompetitif, pelatihan berkelanjutan, dan lingkungan kerja yang menyenangkan Gaji kompetitif, pelatihan berkelanjutan, dan lingkungan kerja yang menyenangkan subClassification: Developer/Programmer Developer/Programmer classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 12 hari yang lalu 12 hari yang lalu Peluang Pekerjaan Perusahaan PMA Jepang yang bergerak di manufaktur terkemuka di Indonesia, sedang mencari seorang Programmer Web yang berbakat dan berdedikasi untuk bergabung dengan tim kami. Sebagai Programmer Web, Anda akan memainkan peran kunci dalam mengembangkan dan memelihara solusi web yang inovatif dan fungsional untuk mendukung kegiatan bisnis kami. Tanggung Jawab Utama Merancang, mengembangkan, dan mengimplementasikan aplikasi web yang fungsional dan user-friendly Menganalisis kebutuhan bisnis dan menterjemahkannya ke dalam spesifikasi teknis Mengembangkan dan memperbarui situs web perusahaan untuk meningkatkan pengalaman pengguna Mengintegrasikan aplikasi web dengan sistem dan database back-end Melakukan pengujian, debugging, dan pemecahan masalah untuk menjamin kualitas aplikasi Memperbarui dan memelihara kode sumber serta dokumentasi teknis Berkolaborasi dengan tim desain, produksi, dan manajemen untuk menghasilkan solusi web yang optimal Kualifikasi dan Pengalaman yang Dibutuhkan Gelar Diploma atau sarjana dalam bidang Teknik Informatika, Sistem Informasi, atau disiplin ilmu terkait Memiliki pengalaman minimal 1 tahun sebagai Programmer Web atau posisi serupa Mahir dalam bahasa pemrograman web seperti PHP, JavaScript, dan Pyhton Berpengalaman menggunakan My SQL Memahami konsep pengembangan perangkat lunak, arsitektur aplikasi, dan metodologi Agile Kemampuan analitis yang kuat dan kemampuan pemecahan masalah yang baik Memiliki pemahaman yang baik tentang pengoptimalan kinerja dan keamanan web Kemampuan bekerja dalam tim dan berkomunikasi yang efektif",https://id.jobstreet.com/id/job/92092188?type=standard&ref=search-standalone&origin=cardTitle#sol=11b3c8d0ba3b9ee615af66a9c542af5ac98f5b35,2026-05-25 17:42:01
junior programmer fresh graduate,IT Development,"PT Malindo Feedmill,Tbk",Jakarta Selatan,,"Listed more than three days ago IT Development di PT Malindo Feedmill,Tbk Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Junior Programmer Junior Programmer subClassification: Developer/Programmer Developer/Programmer classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 3 jam yang lalu 3 jam yang lalu Membuat program sesuai arahan System Analyst. Memperbaiki bugs di aplikasi yang sudah ada. Melakukan maintenance data sesuai dengan ketentuan yang berlaku. Menjaga integritas data yang ada di perusahaan. Melakukan backup data server lokal. Menyusun dan melaporkan segala kegiatan yang berkaitan dengan pengembangan aplikasi dan maintenance data ke System Analyst. Kualifikasi : S1 jurusan Sistem Informasi / Teknik Informatika. Mempunyai pengalaman mengerjakan project development aplikasi. Memahami dan menguasai konsep OOP dan Query SQL. Menguasai Laravel, Jasper Report. Mempunyai kemampuan analisa dan logika yang baik. Penempatan di Fatmawati, Jakarta Selatan.",https://id.jobstreet.com/id/job/92315109?type=standard&ref=search-standalone&origin=cardTitle#sol=60f8840d049da639f3175017eaa67565b184bc02,2026-05-25 17:42:05
junior programmer fresh graduate,IT Programmer Staff,PT Rusli Vinilon Sakti,Jakarta Raya,,"Listed more than five days ago IT Programmer Staff di PT Rusli Vinilon Sakti Ini adalah lowongan kerja Full time Jakarta Raya Mengembangkan, dan menguji kode untuk membangun perangkat lunak, aplikasi, atau sistem Mengembangkan, dan menguji kode untuk membangun perangkat lunak, aplikasi, atau sistem subClassification: Developer/Programmer Developer/Programmer classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 5 hari yang lalu 5 hari yang lalu Deskripsi Pekerjaan : Mengembangkan dan maintenance Sistem Internal Perusahaan Membuat menu dan laporan sesuai kebutuhan user / perusahaan Integrasi sistem dan troubleshooting Melakukan testing dan dokumentasi Kualifikasi Pekerjaan: Pendidikan minimal S1 bidang Teknik Informatika, Sistem Informasi, Ilmu Komputer Menguasai bahasa pemrograman Java, Python atau C# Menguasai konsep OOP (Object Oriented Programming) Menguasai database Mysql/PostgreSQL/Oracle Menguasai Excel, SQL dan visualisasi data Memahami konsep API dan integrasi sistem (REST API/JSON) Pernah menggunakan atau mengembangkan ERP seperti Odoo, SAP atau ERP lain dan memiliki pengalaman dengan JDE Oracle menjadi nilai tambah Fresh graduate atau berpengalaman minimal 2 tahun Mampu bekerja individu dan tim Penempatan di Raden Saleh, Jakarta Pusat Bersedia bekerja onsite, hybrid atau remote sesuai kebutuhan perusahaan",https://id.jobstreet.com/id/job/92231298?type=standard&ref=search-standalone&origin=cardTitle#sol=a1442bb19cd629e2783cd303afe68999189961eb,2026-05-25 17:42:08
junior programmer fresh graduate,IT Developer Staff,PT NBC Indonesia,Karawang,Rp 5.886.853 – Rp 6.500.000 per month,"Listed more than nine days ago IT Developer Staff di PT NBC Indonesia Ini adalah lowongan kerja Kontrak/Temporer Karawang , Jawa Barat Rp 5.886.853 – Rp 6.500.000 per month Path to Permanent Employment Tax-Free Salary (PPh 21 Covered) Employee Recognition Program Path to Permanent Employment Tax-Free Salary (PPh 21 Covered) Employee Recognition Program IT Developer at PT NBC Indonesia (KIIC). Build Android/Web apps. Max 1yr exp. Karawang ID preferred. Regular non-shift schedule. IT Developer at PT NBC Indonesia (KIIC). Build Android/Web apps. Max 1yr exp. Karawang ID preferred. Regular non-shift schedule. subClassification: Developer/Programmer Developer/Programmer classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 9 hari yang lalu 9 hari yang lalu We are seeking a Staff IT Developer to join our General Affairs (GA) team at PT NBC Indonesia. In this position, you will be responsible for expanding our digital ecosystem by developing android-based applications and maintaining our existing web systems. Based in Karawang, West Java, you will play a key role in integrating technology to enhance our business operations. Key Responsibilities Build and maintain web-based and android-based applications. Design and implement REST API for seamless integration between web and mobile platforms. Document all developed applications to ensure they can be easily scaled and maintained. Apply CI/CD pipelines for automated build, test, and deployment processes. Collaborate with the GA team to understand specific business requirements and provide technical solutions. What we're looking for Education: Bachelor’s Degree (S1) in Informatics Engineering (Teknik Informatika) . Experience: Maximum 1 year of experience in a similar role (fresh graduates are welcome to apply). Proficient in English (both verbal and written). Ability to communicate in Japanese is a significant plus. Karawang ID Card holders are preferred. Technical Skills: Strong proficiency in Web Programming . Strong proficiency in Android Programming . Experience in designing REST API . Knowledge of CI/CD pipelines and automation. Detail-oriented, analytical, and able to work within a team. Willing to work overtime when required. Employment Terms Working Hours: Non-shift (Monday - Friday). Location: KIIC Karawang, West Java.",https://id.jobstreet.com/id/job/92152046?type=standard&ref=search-standalone&origin=cardTitle#sol=ae579f6d35eb85d62d1564ac6205ab4de810678c,2026-05-25 17:42:12
junior programmer fresh graduate,IT Developer,PT Wahana Sejahtera Indonesia,Jakarta Selatan,,"Listed more than thirteen days ago IT Developer di PT Wahana Sejahtera Indonesia Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Mengerjakan project platform B2B Suku Cadang Otomatif. Bertanggung jawab penuh atas arsitektur teknis dan pengembangan sistem platform. Mengerjakan project platform B2B Suku Cadang Otomatif. Bertanggung jawab penuh atas arsitektur teknis dan pengembangan sistem platform. subClassification: Developer/Programmer Developer/Programmer classification: Teknologi Informasi & Komunikasi (Teknologi Informasi & Komunikasi) 13 hari yang lalu 13 hari yang lalu Bertanggung jawab: Membangun dan memelihara arsitektur backend/frontend untuk platform B2B E-Commerce dan fitur SaaS manajemen bengkel. Mengeksekusi integrasi end-to-end dengan layanan API pihak ketiga, yang mencakup API Katalog : TecAlliance (K-Type, VIN Search); API Keuangan : Payment Gateway (Virtual Account, Escrow) & B2B Paylater (KoinWorks/Investree dsb); API Logistik: Sameday delivery & Kargo. Menulis kode yang bersih, efisien, teruji ( clean code & TDD), serta melakukan code review untuk memastikan standar kualitas perangkat lunak. Berkolaborasi dengan tim produk dan bisnis untuk menerjemahkan alur transaksi B2B yang kompleks (seperti RFQ dan multi-cart) menjadi solusi teknis yang andal dan tanpa bug. Kualifikasi Umum: Pendidikan min. S1 di bidang Ilmu Komputer,Teknologi Informatika, Sistem Informasi atau bidang terkait. Memiliki pengalaman min. 3-5 tahun sebagai Software Engineer (Backend/Fullstack), diutamakan yang pernah membangun sistem berskala besar di industri E-commerce, SaaS , atau Logistics/Fintech . Menguasai bahasa pemrograman dan framework modern (seperti Node.js, PHP, Python, Golang atau Java), serta mahir dalam pengelolaan database (SQL dan NoSQL). Kualifikasi Khusus: Memiliki pengalaman hands-on yang kuat dalam merancang, membangun, dan mengintegrasikan RESTful API / GraphQL (terutama dengan API Payment Gateway dan Logistik). Terbiasa dengan arsitektur Microservices, Cloud infrastructure (AWS/GCP), dan alur CI/CD. Nilai Tambah (Plus) : Memiliki pemahaman yang baik tentang keamanan data ( data security ) untuk melindungi transaksi bisnis B2B. *Hanya kandidat yang sesuai kualifikasi yang akan diproses lebih lanjut.",https://id.jobstreet.com/id/job/92056729?type=standard&ref=search-standalone&origin=cardTitle#sol=05aed547158dc13906cdc3c2292df636c051ff1a,2026-05-25 17:42:15
