source_keyword,job_title,company,location,salary_text,job_description,job_url,scraped_at
marketing staff fresh graduate,Consumer Marketing 2 Staff,PT Bridgestone Tire Indonesia,Karawang,,"Listed more than twelve days ago Consumer Marketing 2 Staff di PT Bridgestone Tire Indonesia Ini adalah lowongan kerja Full time Karawang , Jawa Barat Annual Bonus Self Insurance + BPJS Kesehatan Employee Wellbeing Program Annual Bonus Self Insurance + BPJS Kesehatan Employee Wellbeing Program Support pricing strategy and monitor market, competitor pricing, discount, and campaign activities for consumer products. Support pricing strategy and monitor market, competitor pricing, discount, and campaign activities for consumer products. subClassification: Manajemen & Pengembangan Produk Manajemen & Pengembangan Produk classification: Pemasaran & Komunikasi (Pemasaran & Komunikasi) 12 jam yang lalu 12 jam yang lalu Job Description: Monitor and update competitor pricing, discount, and campaign data through market survey and shop visits Support pricing analysis, market survey reports, and pricing database updates Assist in preparing pricing proposals and coordinating price updates with related departments Conduct market surveys to evaluate the impact of price adjustments and competitor movements Handle pricing and shipment document administration, procurement requests, and internal data compilation Support marketing strategy and customer survey activities by preparing required data and reports Job Requirement: Bachelor’s Degree from any related major Minimum 2 years of experience in Marketing, Pricing, Market Research, or related field Proficient in Microsoft Office and computer-based data processing Good communication and presentation skills Strong analytical, statistical, and innovative thinking skills Fluent in English, both oral and written Able to work collaboratively in a team and under pressure Have good understanding of business processes in the automotive industry",https://id.jobstreet.com/id/job/92302909?type=standard&ref=search-standalone&origin=cardTitle#sol=1d07314341c8862de64c9762d9675daa20c21695,2026-05-25 22:03:05
marketing staff fresh graduate,Marketing Coordinator (Junior),PT Nusantara Sakti Group (JAKARTA),Jakarta Raya,Rp 5.000.000 – Rp 6.650.000 per month,"Listed more than thirteen days ago Marketing Coordinator (Junior) di PT Nusantara Sakti Group (JAKARTA) Ini adalah lowongan kerja Full time Jakarta Raya Rp 5.000.000 – Rp 6.650.000 per month Perusahaan Stabil & Terkemuka Peluang Karir yang Jelas Bonus Akhir Tahun & Tunjangan Hari Raya Perusahaan Stabil & Terkemuka Peluang Karir yang Jelas Bonus Akhir Tahun & Tunjangan Hari Raya Bidang Multiguna R2, Marketing Multiguna R2, Mengelola dan mengawasi operasional Pos Multiguna R2, penempatan penempatan Seluruh Indonesia Bidang Multiguna R2, Marketing Multiguna R2, Mengelola dan mengawasi operasional Pos Multiguna R2, penempatan penempatan Seluruh Indonesia subClassification: Asisten/Koordinator Pemasaran Asisten/Koordinator Pemasaran classification: Pemasaran & Komunikasi (Pemasaran & Komunikasi) 13 hari yang lalu 13 hari yang lalu Kualifikasi: Pendidikan minimal D3/S1 semua jurusan. Terbuka untuk fresh graduate (pengalaman organisasi/kerja lapangan menjadi nilai plus). Pengalaman di bidang Multiguna R2 / Dana Tunai / Finance menjadi nilai tambah. Memiliki minat di bidang marketing dan pengembangan tim. Memiliki jiwa kepemimpinan dan komunikasi yang baik. Disiplin, bertanggung jawab, dan siap bekerja di lapangan. Memiliki SIM C . Bersedia ditempatkan di Seluruh Indonesia / minimal 1 Pulau Deskripsi Pekerjaan: Mengelola dan mengawasi tim marketing Pos . Merekrut, melatih, dan mengembangkan tim marketing Mengawasi aktivitas canvassing, referal, dan kemitraan Mengkoordinasikan dan mengawasi kinerja tim. Memastikan layanan berjalan sesuai SOP.",https://id.jobstreet.com/id/job/92063798?type=standard&ref=search-standalone&origin=cardTitle#sol=e75140a79fd92b2a43c558edfbd1e0fef556e940,2026-05-25 22:03:11
marketing staff fresh graduate,Business Development (Fresh Graduate),PT PMA Bluemedia Indonesia,Jakarta Selatan,Rp 7.000.000 – Rp 7.500.000 per month,"Listed more than five days ago Business Development (Fresh Graduate) di PT PMA Bluemedia Indonesia Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Rp 7.000.000 – Rp 7.500.000 per month Business Development will take full ownership of client acquisition and business growth initiatives. Business Development will take full ownership of client acquisition and business growth initiatives. subClassification: Pengembangan Bisnis Baru Pengembangan Bisnis Baru classification: Penjualan (Penjualan) 5 hari yang lalu 5 hari yang lalu We're looking for a driven and ambitious Business Development Executive to grow our client base in Indonesia by selling paid advertising and media buying services to SMBs, agencies, and enterprise brands. Responsibilities: Identify and acquire new clients through cold outreach, referrals, networking, and industry events Engage decision-makers (brand owners, founders, marketing managers) to understand their advertising goals and budgets Present and pitch our advertising solutions tailored to client needs Own the full BD cycle — from lead generation and pitching to negotiation, closure, and client handover Maintain accurate pipeline data and provide market insights to management Coordinate with internal teams to ensure smooth client onboarding Requirements: Natural hunter — proactive, persistent, and energized by closing deals Strong presentation, communication, and negotiation skills Fluent in English and Bahasa Indonesia; Mandarin is a plus Self-motivated and comfortable working independently with targets Existing network within advertisers, agencies, or e-commerce sellers is a strong advantage Fresh graduates with ambition and a strong drive to succeed in sales are welcome",https://id.jobstreet.com/id/job/92233730?type=standard&ref=search-standalone&origin=cardTitle#sol=4cb719e57fa8b46f52a908bc11de57e9edfba4c4,2026-05-25 22:03:16
marketing staff fresh graduate,Consumer Marketing 1 Staff,PT Bridgestone Tire Indonesia,Karawang,,"Listed more than twelve days ago Consumer Marketing 1 Staff di PT Bridgestone Tire Indonesia Ini adalah lowongan kerja Full time Karawang , Jawa Barat Annual Bonus Self Insurance + BPJS Kesehatan Employee Wellbeing Program Annual Bonus Self Insurance + BPJS Kesehatan Employee Wellbeing Program Execute marketing and sales programs to strengthen brand awareness, brand image, and support sales growth of Bridgestone Tire Indonesia. Execute marketing and sales programs to strengthen brand awareness, brand image, and support sales growth of Bridgestone Tire Indonesia. subClassification: Komunikasi Pemasaran Komunikasi Pemasaran classification: Pemasaran & Komunikasi (Pemasaran & Komunikasi) 12 jam yang lalu 12 jam yang lalu Job Description: Plan and execute branding, promotional, and sales campaign activities to increase brand awareness and support sales target achievement Develop marketing concepts and support the implementation of marketing strategies and initiatives Coordinate marketing events such as product launches, exhibitions, test drives, and press conferences Build and maintain relationships with external communities, including automotive and car clubs Create engaging digital content and monitor social media as well as digital marketing trends Conduct market and competitor research, while handling marketing administration and purchase requests Job Requirement: Bachelor’s Degree in Marketing, Business Management, Communication, or related field Minimum 2 years of experience in Marketing, Branding, or Advertising Good knowledge of promotion, branding, and marketing campaign activities Proficient in Microsoft Office and design software such as Adobe Illustrator, Photoshop, Adobe Premiere, After Effects, and 3D Design tools Fluent in English, both oral and written, with strong communication skills Creative, innovative, proactive, analytical, and able to work independently with minimum supervision Willing to travel for business trips and possess a valid driver’s license Have good understanding of business processes in the manufacturing industry",https://id.jobstreet.com/id/job/92302832?type=standard&ref=search-standalone&origin=cardTitle#sol=bac01b2aa9497bf0f0bafe21ac2b19ac49e5f320,2026-05-25 22:03:20
marketing staff fresh graduate,Sales Development Program- Sales Admin,PT. Mega Bintang Mas Indonesia,Medan,Rp 4.500.000 – Rp 6.500.000 per month,"Listed more than twelve days ago Sales Development Program- Sales Admin di PT. Mega Bintang Mas Indonesia Ini adalah lowongan kerja Full time Medan , Sumatera Utara Rp 4.500.000 – Rp 6.500.000 per month BPJS Ketenagakerjaan, Trip ke Luar Negeri Insentif,Komisi dan Reward Gaji pokok, THR, Karyawan tetap BPJS Ketenagakerjaan, Trip ke Luar Negeri Insentif,Komisi dan Reward Gaji pokok, THR, Karyawan tetap Gaji kompetitif, pelatihan profesional, dan peluang karier berkembang di perusahaan terkemuka. Gaji kompetitif, pelatihan profesional, dan peluang karier berkembang di perusahaan terkemuka. subClassification: Pengembangan Bisnis Baru Pengembangan Bisnis Baru classification: Penjualan (Penjualan) 12 hari yang lalu 12 hari yang lalu Kualifikasi : Pendidikan minimal D3/S1 Semua jurusan. Fresh graduate dipersilakan melamar, pengalaman organisasi/magang menjadi nilai tambah Memiliki Ketertarikan atau Pengalaman di bidang Sales Executive : Security system ( CCTV), Jaringan ISP, Fire Alarm. Memiliki kemampuan komunikasi dan interpersonal yang baik Memiliki kemampuan analisa dan problem solving yang kuat Adaptif, cepat belajar, dan mampu bekerja dalam tekanan Memiliki jiwa kepemimpinan dan inisiatif tinggi Bersedia ditempatkan di seluruh Indonedia ( Medan, Jakarta, Palembang, Surabaya dan Yogyakarta) Mampu mengoperasikan Microsoft Office (terutama Excel & PowerPoint) Memiliki kemampuan Bahasa Inggris menjadi nilai tambah.",https://id.jobstreet.com/id/job/92085733?type=standard&ref=search-standalone&origin=cardTitle#sol=fd04fb9c176e061c14a67e4a5cdeed61a83ffd50,2026-05-25 22:03:23
marketing staff fresh graduate,Marketing/Sales (two position),PT DANBI GLOBAL INDONESIA,Jakarta Raya,Rp 4.000.000 – Rp 5.729.876 per month,"Listed more than eleven days ago Marketing/Sales (two position) di PT DANBI GLOBAL INDONESIA Dibutuhkan segera Ini adalah lowongan kerja Kontrak/Temporer Jakarta Raya ( Jarak jauh ) Rp 4.000.000 – Rp 5.729.876 per month Pekerjaan ini mendapatkan dukungan penuh dari Leader masing-masing posisi. Leader berperan penuh kesuksesan anda Pekerjaan ini mendapatkan dukungan penuh dari Leader masing-masing posisi. Leader berperan penuh kesuksesan anda subClassification: Perwakilan/Konsultan Penjualan Perwakilan/Konsultan Penjualan classification: Penjualan (Penjualan) 11 jam yang lalu 11 jam yang lalu Bergabunglah dengan “Danbi Education” sekarang. Perusahaan edukasi No.1 di Korea Kami adalah Danbi Education, perusahaan penyedia produk Wink Smart Learning, pembelajaran anak usia dini (3 - 7 tahun) No.1 di Korea Wink adalah pembelajaran pintar yang menghadirkan metode belajar sambil bermain baru yang memungkinkan pembelajaran efektif selama periode penting anak usia dini Kami mencari kandidat pada dua posisi berbeda yang ingin tumbuh bersama team Marketing atau team Sales untuk memperkenalkan dan/atau memasarkan produk Wink Smart Learning, metode baru pendidikan anak usia dini di Indonesia, sekaligus memperoleh penghasilan yang kompetitif Kandidat lolos akan diberikan kursus pelatihan pemasaran yang sistematis dan profesional #Layanan pendidikan anak usia dini No.1 #Wink Smart Learning Tugas & Tanggung Jawab Marketing: Mencari dan mengembangkan customer baru Menjalin hubungan baik dengan client Follow up database customer Membuat laporan aktivitas marketing Tugas & Tanggung Jawab Sales: Menawarkan produk/jasa perusahaan kepada client secara langsung Mencapai target penjualan yang telah ditentukan Membuat laporan aktivitas sales Kualifikasi : Pria/Wanita - Pendidikan minimal SMA Fresh graduate dipersilakan melamar Memiliki kemampuan komunikasi & negosiasi yang baik Aktif di media sosial menjadi nilai tambah Berpengalaman di bidang marketing/sales (nilai plus) Target oriented & siap bekerja dalam tim (dukungan penuh dari Leader) Benefit yang Didapat ; - Gaji pokok - Bonus & insentif menarik tanpa batas - Reward pencapaian target - Kesempatan jenjang karier - Lingkungan kerja positif & suportif - Training dan pengembangan skill - Cover transportasi",https://id.jobstreet.com/id/job/92306237?type=standard&ref=search-standalone&origin=cardTitle#sol=0ed54abfaa9d84d20f0d6e058ff8faf211c40cf7,2026-05-25 22:03:27
marketing staff fresh graduate,Marketing Associates,PT.INFINITY GRIYA ANUGERAH,Jakarta Barat,Rp 15.000.000 – Rp 20.000.000 per month,"Listed more than twenty days ago Marketing Associates di PT.INFINITY GRIYA ANUGERAH Ini adalah lowongan kerja Full time Jakarta Barat , Jakarta Raya ( Hibrid ) Rp 15.000.000 – Rp 20.000.000 per month Unlimited Income Waktu Fleksibel Jalan Jalan ke Luar Negeri Unlimited Income Waktu Fleksibel Jalan Jalan ke Luar Negeri sebagai Marketing Associate adalah menjadi Partner Usaha sekaligus menjadi Pengusaha Mandiri tanpa perlu Modal yang banyak. sebagai Marketing Associate adalah menjadi Partner Usaha sekaligus menjadi Pengusaha Mandiri tanpa perlu Modal yang banyak. subClassification: Pemasaran Langsung & CRM Pemasaran Langsung & CRM classification: Pemasaran & Komunikasi (Pemasaran & Komunikasi) 20 hari yang lalu 20 hari yang lalu About us ERA INFINITY adalah perusahaan franchise dari ERA Indonesia, berdiri pada tanggal 07 November 2018, dan berlokasi di Soho Capital (Central Park 2) Lantai 19 Jl.S.Parman Kav.28 Jakarta Barat. Saat ini ERA INFINITY di dukung oleh 30 Marketing Associate Aktif. ERA INFINITY adalah perusahaan yang bergerak di bidang Jual-Beli-Sewa Property ( rumah, apartemen, vila, ruko, kantor, kavling, hotel dan lain-lain) ERA INFINITY menjadikan para Marketing yang tergabung agar berprestasi serta memiliki penghasilan yang memuaskan, senantiasa meningkatkan kemampuan/skill dan performa para marketing agent, dengan berbagai ilmu pelatihan, bukan hanya secara Teori, tetapi juga Praktek, sesuai dengan pengalaman di lapangan dari para marketing agen senior dan memiliki jam terbang tinggi di dunia broker property, Saling mendorong dan memberikan support/semangat untuk selalu menjadi yang terbaik. QUALIFICATION & EXPERIENCE Memiliki kemampuan berKomunikasi Mampu menganalisa kebutuhan customer Memiliki kendaraan pribadi untuk operasional, minimal Motor Berpengalaman di bidang Sales, Marketing atau Customer Relation. Domisili di utamakan di Jakarta Barat TASK & RESPONSIBILITIES Mampu mencari Listing (ada Training / Pelatihan khusus) Mampu memPromosikan Listing (Menjual & Menyewakan) Melayani dan membantu Customer dalam Transaksi Jual Beli Sewa Property BENEFITS Penghasilan tak terbatas (Unlimited Income) Pembagian Komisi sampai dengan 80:20 Ada Jenjang Karir Reward Trip (Travelling Gratis, cocok buat yang Hobby keliling dunia) Training berkesinambungan agar Profesional sebagai Broker Property Sertifikasi sebagai Broker Property ternama ""ERA"" Mentoring untuk Pemula, sampai bisa Berhasil.",https://id.jobstreet.com/id/job/91892080?type=standard&ref=search-standalone&origin=cardTitle#sol=6c69477eb6c549bb453d23232e2f544998e17086,2026-05-25 22:03:31
marketing staff fresh graduate,Technical Engineering Staff,PT Kanematsu KGK Indonesia,Jakarta Raya,Rp 6.000.000 – Rp 7.000.000 per month,"Listed more than eleven days ago Technical Engineering Staff di PT Kanematsu KGK Indonesia Ini adalah lowongan kerja Full time Jakarta Raya Rp 6.000.000 – Rp 7.000.000 per month Scope of Works:· Technical support works for machine tools and industrial machines (after sales service, start up... Scope of Works:· Technical support works for machine tools and industrial machines (after sales service, start up... subClassification: Teknik Elektro/Elektronik Teknik Elektro/Elektronik classification: Teknik (Teknik) 11 jam yang lalu 11 jam yang lalu Scope of Works: Technical solution for customers (field service, change parts, design/modification, etc.) Making quotations for customers and making PO to suppliers Delivering parts and invoicing the customers Support the sales staff in discussing and installing the machines for customer Support the supplier’s Supervisor at the customers Requirement : Bachelor's Degree in Mechanical engineering or Electrical engineering Having experience as technical engineering at least 1 year or fresh graduate Able to speak in English both written and spoken Excellent interpersonal skills with strong written, verbal communication skills and presentation skill Working Location Cikarang, available for traveling Having driving license (SIM A) Permanent with 3 months’ probation Proficient in Microsoft Office (words, power point, excel), able AutoCAD, able in corel draw and/or adobe photoshop is a plus",https://id.jobstreet.com/id/job/92258919?type=standard&ref=search-standalone&origin=cardTitle#sol=2b531ca27e1249df45674bbb1fbaee2d3b91b0eb,2026-05-25 22:03:34
marketing staff fresh graduate,Social Media Specialist,PT Movi Ventura Prima,Jakarta Selatan,Rp 5.000.000 – Rp 6.000.000 per month,"Listed more than nine days ago Social Media Specialist di PT Movi Ventura Prima Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Rp 5.000.000 – Rp 6.000.000 per month Kami saat ini membutuhkan Social Media Specialist yang energi dan mampu membuat konten yang menarik Kami saat ini membutuhkan Social Media Specialist yang energi dan mampu membuat konten yang menarik subClassification: Manajemen Brand Manajemen Brand classification: Pemasaran & Komunikasi (Pemasaran & Komunikasi) 9 jam yang lalu 9 jam yang lalu What You’ll Be Doing: Create eye-catching content that vibes with our brand identity and keeps our social media feeds looking fresh. Plan, create, and manage daily content across multiple platforms (Instagram, TikTok, Facebook, X, YouTube, etc.). Conduct research on industry trends, competitors, and audience insights to optimize content performance. Manage and monitor paid advertising campaigns (IG Ads, TikTok Ads, Facebook Ads). Engage actively with followers, respond to comments/DMs, and foster strong community interaction. Team up with other departments to make sure our social strategy supports the bigger picture. Prepare regular performance reports (engagement, reach, conversions) and provide strategic recommendations. Requirements: confidence on camera and up-to-date with social trends. Bachelor’s degree in Communications, Marketing, Digital Media, or related field. At least 1 year of social media experience (internships count!). Creative, detail-oriented, target-driven & a team player Fluent in English (spoken and written). Skilled in content creation and presentation. Basic knowledge of social media advertising (IG Ads, TikTok Ads, Facebook Ads). Familiar with analytics tools (Meta, TikTok, Google Analytics). Willing to work from our office in Kebayoran Baru, South Jakarta .",https://id.jobstreet.com/id/job/92311373?type=standard&ref=search-standalone&origin=cardTitle#sol=c445fc1bdb97a1f4d2bb0e8c5739427b7dbb5a79,2026-05-25 22:03:38
marketing staff fresh graduate,Sales & Marketing Staff - Trading (Open for Fresh Graduate) - (B-130616),RGF HR Agent Indonesia,Jakarta Selatan,Rp 5.800.000 – Rp 8.500.000 per month,"Listed more than ten days ago Sales & Marketing Staff - Trading (Open for Fresh Graduate) - (B-130616) di RGF HR Agent Indonesia Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Rp 5.800.000 – Rp 8.500.000 per month Sales & Marketing Staff (Open for Fresh Graduate) for a Cutting Tools (Trading) company in South Jakarta Sales & Marketing Staff (Open for Fresh Graduate) for a Cutting Tools (Trading) company in South Jakarta subClassification: Manajemen Akun & Relasi Manajemen Akun & Relasi classification: Penjualan (Penjualan) 10 hari yang lalu 10 hari yang lalu About The Company: The working venue is in South Jakarta. Our client is a Cutting Tools (Trading) company. Currently, they are looking for Sales & Marketing Staff (Open for Fresh Graduate) . Job Responsibilities: Identify and develop new business opportunities in industrial, manufacturing, construction, and related sectors. Promote and sell products to existing and prospective customers. Conduct sales visits, product presentations, and demonstrations. Prepare and submit quotations, proposals, and tenders. Negotiate pricing, terms, and close sales deals. Achieve monthly and annual sales targets. Maintain strong after-sales service and customer support. Follow up on inquiries, leads, and payments Other tasks as assigned. Job Requirements: Fresh Graduate are Welcome Min. Bachelor's degree High Conversational English proficiency Max. 3 years of experience as Sales Marketing selling Machinery or Tools B2B Own SIM A Good work ethics, willing to learn, polite, strong communication skills, customer-oriented, and confident [Only CV in English will be processed] We, RGF HR Agent Indonesia are strictly following the personal data protection law in Indonesia. Please kindly use our recruitment service after understanding our Terms and Condition as well as Privacy Policy as follows : RGF Indonesia Terms of Use : https://www.rgf-hragent.asia/en/indonesia/termsofuse RGF Indonesia Privacy Policy : https://www.rgf-hragent.asia/en/indonesia/termsofuse#personal RGF Indonesia Internal hiring Global Privacy Policy : https://www.rgf-hragent.asia/en/indonesia/privacy-policy-of-internal-hiring RGF Indonesia Internal hiring Indonesia Privacy Policy : https://www.rgf-hragent.asia/en/indonesia/privacy-policy-of-internal-hiring-annex",https://id.jobstreet.com/id/job/92141408?type=standard&ref=search-standalone&origin=cardTitle#sol=85d8ff4868dc5a6835adc21f6be0e4884bf0f0b1,2026-05-25 22:03:41
