source_keyword,job_title,company,location,salary_text,job_description,job_url,scraped_at
magang berbayar,Internship at PT ABM Investama,PT ABM Investama,Jakarta Selatan,Rp 1.500.000 – Rp 2.000.000 per month,"Listed more than nine days ago Internship at PT ABM Investama di PT ABM Investama Ini adalah lowongan kerja Kontrak/Temporer Jakarta Selatan , Jakarta Raya Rp 1.500.000 – Rp 2.000.000 per month Competitiveness in its total compensation and benefits. Career Path and Development Program Open career opportunities across company groups Competitiveness in its total compensation and benefits. Career Path and Development Program Open career opportunities across company groups Fresh Graduate Position - Do Administrative things Fresh Graduate Position - Do Administrative things subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 9 hari yang lalu 9 hari yang lalu Open Position : Data Scientist Legal Brand Management - Content Creator Job Descriptions : Jobdesc For Data Scientist : membantu proses penggalian temuan ( insight ) data yang bernilai bagi bisnis. Selain itu, peran ini bertugas mendukung pengembangan visualisasi data dan aplikasi interaktif sebagai luaran akhir dari analisis preskriptif ( prescriptive analytics ) serta implementasi solusi berbasis kecerdasan buatan ( artificial intelligence ). Jobdesc for Legal : mengelola sistem dokumentasi hukum perusahaan dengan berkoordinasi bersama PIC terkait dalam pengumpulan data legal, serta melakukan pencatatan dan pembaruan data secara berkala sebagai sumber repository dan template perjanjian. Selain itu, peran ini bertugas membantu pengembangan sistem penyimpanan data hukum, menyusun panduan penggunaan template perjanjian, serta membuat dashboard pemantauan untuk dokumentasi proses dan analisis sengketa hukum ( legal dispute ). Jobdesc for Brand Management : Membantu proses perencanaan konten dan komunikasi brand, Melakukan riset konten, tren komunikasi, dan referensi visual/konseptual, Mendukung eksekusi materi komunikasi visual dengan internal maupun pihak terkait, Membantu penyusunan draft konten, materi presentasi, dan komunikasi pendukung Qualification : Final-year undergraduate student or Bachelor’s degree graduate Law (for Legal), Engineering, Statistic, Computer, mathematic (For Data Scientist), Visual Communication Design (DKV) or Multimedia (for Brand Management), Proficient in Excel, PowerPoint, SharePoint, Outlook, Power BI Responsible, systematic, agile, adaptive, with strong communication skills WFO, from 8 am to 5 pm Willing to be placed in HO, Cilandak - Jakarta Salary 2 Million rupiah / month (based on attendance records ) Internship duration: 3 to 6 months",https://id.jobstreet.com/id/job/92334404?type=standard&ref=search-standalone&origin=cardTitle#sol=3d1d80dd3b6ca98b5237eaa6f4a9770f1d2e6dff,2026-06-04 17:29:39
magang berbayar,Staff Billing & Collection Retail,PT Circlecom Nusantara Indonesia,Jakarta Selatan,,"Listed more than twenty one days ago Staff Billing & Collection Retail di PT Circlecom Nusantara Indonesia Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya - - subClassification: Piutang Usaha/Pengendalian Kredit Piutang Usaha/Pengendalian Kredit classification: Akuntansi (Akuntansi) 21 hari yang lalu 21 hari yang lalu Tanggung Jawab: Menyiapkan dan menerbitkan invoice/tagihan kepada pelanggan retail dengan minimum 1.500 pelanggan secara akurat dan tepat waktu. Melakukan rekonsiliasi data tagihan secara berkala. Mencatat setiap pembayaran yang diterima ke dalam sistem ERP. Menyusun laporan rekapitulasi piutang. Kualifikasi: Pendidikan minimal S1 Akuntansi (fresh graduate atau berpengalaman 1–2 tahun di bidang terkait) . Mampu mengoperasikan Microsoft Excel (Pivot Table, VLOOKUP, dll.) dan sistem ERP.",https://id.jobstreet.com/id/job/92093726?type=standard&ref=search-standalone&origin=cardTitle#sol=ebe621cf10eb79ea301b510faed3f4561e39bbd5,2026-06-04 17:30:28
magang berbayar,Food & Beverages Attendant Intern,Jakarta Aquarium,Jakarta Barat,Rp 1.000.000 per month,"Listed more than two days ago Food & Beverages Attendant Intern di Jakarta Aquarium Ini adalah lowongan kerja Paruh waktu Jakarta Barat , Jakarta Raya Rp 1.000.000 per month - - subClassification: Teknologi & Keamanan Pangan Teknologi & Keamanan Pangan classification: Sains & Teknologi (Sains & Teknologi) 2 jam yang lalu 2 jam yang lalu J ob Descriptions: Assist in daily Food & Beverage operations (service & preparation) Provide friendly, courteous, and professional service to guests Support serving food and beverages according to company standards Maintain cleanliness and hygiene of dining and service areas Help manage guest requests and ensure satisfaction Learn basic product knowledge (menu, ingredients, service standards) Requirements : Student or fresh graduate from Hospitality / Tourism / related field Good communication and interpersonal skills Willing to learn and work in a fast-paced environment Able to work in shifts, including weekends & holidays Well-groomed and professional appearance Positive attitude and teamwork-oriented",https://id.jobstreet.com/id/job/92515879?type=standard&ref=search-standalone&origin=cardTitle#sol=5b5e152cd2a82b5a1c4fdbebd896cc90e6617a27,2026-06-04 17:31:25
magang berbayar,General Affairs & Front Office (Intern),PT Tiara agung Pratama,Bogor,Rp 350.000 – Rp 500.000 per month,"Listed more than two days ago General Affairs & Front Office (Intern) di PT Tiara agung Pratama Ini adalah lowongan kerja Full time Bogor , Jawa Barat Rp 350.000 – Rp 500.000 per month For active students seeking hands-on experience in front office, office administration, and daily operational support. For active students seeking hands-on experience in front office, office administration, and daily operational support. subClassification: Resepsionis Resepsionis classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 2 jam yang lalu 2 jam yang lalu PT Tiara Agung Pratama membuka kesempatan bagi mahasiswa atau siswa yang ingin memperoleh pengalaman langsung dalam operasional kantor melalui Program Magang di fungsi General Affairs dan Front Office. Program ini memberikan kesempatan untuk mempelajari aktivitas administrasi, pelayanan tamu, serta berbagai proses pendukung operasional kantor dalam lingkungan kerja profesional yang dinamis. Ruang Lingkup Pembelajaran Mendukung aktivitas penerimaan dan pelayanan tamu yang datang ke kantor Membantu pengelolaan telepon, surat, dan dokumen masuk. Mendukung administrasi dan dokumentasi kegiatan General Affairs. Membantu pengelolaan inventaris dan kebutuhan operasional kantor. Mendukung pengaturan kegiatan internal dan kebutuhan administrasi umum. Membantu pengarsipan dokumen serta menjaga kerapihan area front office. Membantu koordinasi administrasi terkait kebutuhan operasional harian dengan pihak internal, termasuk tim OB dan Security. Berkoordinasi dengan berbagai divisi untuk mendukung kelancaran operasional kantor. Kualifikasi Siswa SMK atau mahasiswa aktif D3/S1 dari semua jurusan. Memiliki kemampuan komunikasi yang baik dan orientasi pelayanan yang positif. Berpenampilan rapi, ramah, dan sopan. Teliti, terorganisir, dan nyaman menangani pekerjaan administratif. Mampu menggunakan Microsoft Office dan aplikasi perkantoran dasar. Bersedia mengikuti program magang secara full onsite di Bogor. Bersedia mengikuti program magang selama 6 bulan. Benefit Uang saku mingguan (dibayarkan berdasarkan kehadiran). Fasilitas makan siang (catering 3x seminggu). Sertifikat penghargaan & surat keterangan magang. Pengalaman langsung dalam administrasi, pelayanan tamu, dan operasional kantor. Exposure terhadap fungsi General Affairs dan Front Office dalam lingkungan korporasi.",https://id.jobstreet.com/id/job/92516613?type=standard&ref=search-standalone&origin=cardTitle#sol=c76cfafe1a4427c4b838468400c1b9e1f9599926,2026-06-04 17:31:29
magang berbayar,Professional Bartender & Mixology,Flairmix Indonesia,Denpasar,Rp 1.200.000 – Rp 1.800.000 per hour,"Listed more than twenty nine days ago Professional Bartender & Mixology di Flairmix Indonesia Ini adalah lowongan kerja Paruh waktu Denpasar , Bali Rp 1.200.000 – Rp 1.800.000 per hour Membuka kesempatan bartender untuk bekerja per event dengan pembayaran menarik. Dapatkan pengalaman berkolaborasi tim internasional profesional. Membuka kesempatan bartender untuk bekerja per event dengan pembayaran menarik. Dapatkan pengalaman berkolaborasi tim internasional profesional. subClassification: Staf Bar & Minuman Staf Bar & Minuman classification: Hospitaliti & Pariwisata (Hospitaliti & Pariwisata) 29 hari yang lalu • Segera ditutup 29 hari yang lalu • Segera ditutup FLAIRMIX INDONESIA - LOWONGAN PART TIME Di Bayar Sesuai Event Yang Anda Join! Bisa dapatkan nominal UMR dalam 2 event. Posisi: Professional Bartender Kualifikasi: • Memiliki semangat kerja tinggi & energik • Memiliki komunikasi dan pelayanan yang baik • Bisa bekerja dalam tim dengan sikap profesional • Memiliki pengetahuan dasar mixology & cocktail presentation • Bersedia bekerja dengan jam kerja flexible • Berpenampilan rapi dan menarik • Mengerti penggunaan basic bar equipment • Berpengalaman di bidang bartender 📍 By Pass Nusa Dua, Bali Instagram: @flairmix.id",https://id.jobstreet.com/id/job/91944927?type=standard&ref=search-standalone&origin=cardTitle#sol=d1c082ee752b3d0368c774a8df2f021c3d209436,2026-06-04 17:35:52
magang berbayar,Finance & Accounting Intern,Pengiklan Anonim,Jakarta Barat,Rp1.500.000 – Rp2.000.000 per month,"Listed more than one day ago Finance & Accounting Intern di Pengiklan Anonim Ini adalah lowongan kerja Kontrak/Temporer Jakarta Barat , Jakarta Raya Rp1.500.000 – Rp2.000.000 per month Membantu tim finance dalam pencatatan, rekonsiliasi transaksi, dan proses settlement untuk memastikan data keuangan akurat dan sesuai prosedur. Membantu tim finance dalam pencatatan, rekonsiliasi transaksi, dan proses settlement untuk memastikan data keuangan akurat dan sesuai prosedur. subClassification: Akuntansi & Pelaporan Finansial Akuntansi & Pelaporan Finansial classification: Akuntansi (Akuntansi) 1 hari yang lalu 1 hari yang lalu Tugas & Tanggung Jawab Finance Accounting Intern (Payment Gateway) 1. Rekonsiliasi Transaksi (Core Task) Membantu proses rekonsiliasi transaksi harian antara: Mengidentifikasi selisih (dispute / mismatch) Membantu tracking dan follow up selisih transaksi 2. Settlement & Disbursement Support Membantu proses settlement ke merchant Mengecek data settlement Validasi perhitungan Monitoring jadwal pembayaran ke merchant 3. Pencatatan & Pembukuan Input jurnal transaksi Membantu pencatatan revenue Rekonsiliasi bank account perusahaan Supporting closing bulanan 4. Accounts Receivable (Merchant) Membantu pembuatan invoice ke merchant (jika ada skema billing) Monitoring outstanding merchant / partner Rekonsiliasi pembayaran merchant 5. Kontrol & Monitoring Transaksi Monitoring transaksi anomali (double transaksi, gagal settle, dll) Membantu pengecekan fraud sederhana (basic level) Memastikan data transaksi sesuai SOP & SLA 6. Administrasi & Dokumentasi Mengarsipkan dokumen settlement dan transaksi Menyiapkan data untuk audit (internal / eksternal / bank) Maintain database transaksi dan laporan 7. Reporting & Analysis Membantu membuat laporan: volume transaksi harian settlement report selisih transaksi Membantu analisa sederhana terkait performa transaksi 8. Perpajakan (Basic Exposure) Membantu pengumpulan data pajak transaksi Supporting rekonsiliasi data pajak dengan revenue Kualifikasi Mahasiswa Akuntansi / Keuangan, fresh graduate Paham dasar: debit / kredit rekonsiliasi Excel (wajib): Pivot Table VLOOKUP / XLOOKUP Teliti Nyaman dengan data besar (high volume transaksi)",https://id.jobstreet.com/id/job/92488207?type=standard&ref=search-standalone&origin=cardTitle#sol=60b5153300dc9aabfe25a55a838c20d9eff0d625,2026-06-04 17:38:10
magang berbayar,General Affairs Intern,PT Mutiara Asia Makmur,Jakarta Raya,Rp 1.500.000 – Rp 1.900.000 per month,"Listed more than one day ago General Affairs Intern di PT Mutiara Asia Makmur Ini adalah lowongan kerja Paruh waktu Jakarta Raya Rp 1.500.000 – Rp 1.900.000 per month Join us as a General Affairs Intern and you will manage corporate assets, optimize facilities, and support vendor relations Join us as a General Affairs Intern and you will manage corporate assets, optimize facilities, and support vendor relations subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 1 hari yang lalu 1 hari yang lalu PT Mutiara Asia Makmur & PT Sinar Banten Persada are offering opportunities for students or fresh graduates with a strong interest in pursuing a career in General Affairs . We are opening an internship program with a minimum duration of 3 months under the following conditions: Qualifications: Final-year students or Fresh Graduates majoring in Administration, Law, Management, or other relevant fields Strong interest in office administration and operational management Detail-oriented, neat, and highly organized in document management (both physical and digital) Proficient in operating Microsoft Office Excellent communication skills, eager to learn new things, and highly committed to maintaining company data confidentiality Ready to commit to a minimum 3-month internship period Duties and Responsibilities: Assist in the archiving of company legal documents Assist in monitoring the validity periods of company legalities and operational licenses Assist in drafting official letters, internal memos, or conducting basic research on regulations needed by the team Assist in the recording, maintenance, and stock-taking of office assets and work equipment Assist in ensuring office facilities and daily workplace needs are well-maintained Assist in coordinating with third parties/vendors, as well as compiling operational data or billing records (reimbursements, invoices, etc.) Placement & Information: Location: East Jakarta Website: www.mutiara-mam.com",https://id.jobstreet.com/id/job/92488532?type=standard&ref=search-standalone&origin=cardTitle#sol=2d6dca3f534ef9865656596b20b7e68cc40b3707,2026-06-04 17:38:15
magang berbayar,Content Creator Intern,PT. Citra Nusa Insanmandiri (CNI Indonesia),Jakarta Barat,Rp 1.000.000 – Rp 1.500.000 per month,"Listed more than two days ago Content Creator Intern di PT. Citra Nusa Insanmandiri (CNI Indonesia) Ini adalah lowongan kerja Full time Jakarta Barat , Jakarta Raya Rp 1.000.000 – Rp 1.500.000 per month We are looking for a creative Social Media Content Creator to produce engaging, trend-driven video content that promotes CNI’s activities & products. We are looking for a creative Social Media Content Creator to produce engaging, trend-driven video content that promotes CNI’s activities & products. subClassification: Pemasaran Digital & Pencarian Pemasaran Digital & Pencarian classification: Pemasaran & Komunikasi (Pemasaran & Komunikasi) 2 hari yang lalu 2 hari yang lalu Key Responsibilities: Promote CNI’s corporate activities, business initiatives, and products through engaging and creative social media content—primarily video-based—by leveraging current trends (including shooting, editing, and posting). Analyze monthly content performance and use the insights for evaluating and improving future content. Qualifications: Final Year Student or Fresh Graduate in Multimedia, Visual Communication Design, Marketing, Business or a related field. Proficient in using CapCut, Canva, and other design/editing applications effectively. Having the ability to appear on camera (storytelling/public speaking) will be an added advantage. Excellent written and verbal communication skills. Strong interest in brand marketing and consumer behavior. Available to do a 6-month internship and able to start in July 2026. Willing to be placed in C3, Puri Indah, West Jakarta.",https://id.jobstreet.com/id/job/92455492?type=standard&ref=search-standalone&origin=cardTitle#sol=ae2a2d78decd8eba46a5666035447e550eab50fa,2026-06-04 17:40:31
magang berbayar,INTERNSHIP ADMIN SALES (PAID),PT. Riaputra Metalindo,Sidoarjo,Rp 500.000 per month,"Listed more than five days ago INTERNSHIP ADMIN SALES (PAID) di PT. Riaputra Metalindo Ini adalah lowongan kerja Full time Sidoarjo , Jawa Timur Rp 500.000 per month Ria Putra Metalindo adalah manufaktur baja yang sedang berkembang dan membuka kesempatan magang bagi mahasiswa yang ingin merasakan proses kerja Ria Putra Metalindo adalah manufaktur baja yang sedang berkembang dan membuka kesempatan magang bagi mahasiswa yang ingin merasakan proses kerja subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 5 hari yang lalu 5 hari yang lalu Kualifikasi : Minimal pendidikan SMA/SMK sederajat Mahasiswa aktif minimal semester 5 atau fresh graduate dipersilakan melamar Terbiasa melakukan rekap data dan pekerjaan administratif Mampu menggunakan Google Sheets dengan baik Teliti, rapi, dan detail dalam bekerja Cepat tanggap serta mampu bekerja secara profesional dalam berbagai situasi Memiliki komunikasi yang baik dan mampu bekerja sama dalam tim. Deskripsi Pekerjaan : Melakukan penginputan data untuk orderan seluruh Sales ke sistem yang ada Melakukan pengecekan stok produk Berkoordinasi dengan setiap PIC Produksi dan gudang terkait Memberikan update jadwal produksi dari tiap PIC Produksi dan Gudang ke masing-masing Sales. Menjalin relasi yang baik dengan divisi terkait.",https://id.jobstreet.com/id/job/92421803?type=standard&ref=search-standalone&origin=cardTitle#sol=0633a4db46ef44f94b2569edc757c11dab060c43,2026-06-04 17:43:08
magang berbayar,Magang Admin Marketing,PT. ZHIKU PRIMA LESTARI,Jakarta Timur,Rp 500.000 – Rp 750.000 per month,"Listed more than seven days ago Magang Admin Marketing di PT. ZHIKU PRIMA LESTARI Ini adalah lowongan kerja Full time Jakarta Timur , Jakarta Raya Rp 500.000 – Rp 750.000 per month Mendukung proses pencarian proyek/tender, pengelolaan dokumen administrasi tender, monitoring jadwal tender, hingga koordinasi dengan tim internal. Mendukung proses pencarian proyek/tender, pengelolaan dokumen administrasi tender, monitoring jadwal tender, hingga koordinasi dengan tim internal. subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 7 hari yang lalu 7 hari yang lalu Kami membuka kesempatan bagi kandidat yang teliti, komunikatif, dan memiliki kemampuan administrasi yang baik untuk bergabung sebagai Admin Marketing Tender . Posisi ini bertanggung jawab dalam mendukung proses pencarian proyek/tender, pengelolaan dokumen administrasi tender, monitoring jadwal tender, hingga koordinasi dengan tim internal agar proses pengajuan tender berjalan lancar dan tepat waktu. Tugas & Tanggung Jawab Mencari dan memonitor informasi tender/proyek dari platform tender Melakukan update data tender dan jadwal pengadaan secara berkala Menyiapkan dan melengkapi dokumen administrasi tender Mengelola database perusahaan, legalitas, dan dokumen pendukung tender Membantu proses upload dokumen penawaran pada sistem LPSE/e-procurement Berkoordinasi dengan tim marketing, purchasing, finance, dan operasional terkait kebutuhan tender Membuat rekap dan laporan aktivitas tender harian/mingguan/bulanan Memastikan kelengkapan dokumen sesuai persyaratan tender Melakukan follow up terkait hasil tender dan proses administrasi proyek Menjaga arsip dokumen tender agar tersusun rapi dan mudah diakses Membantu proses korespondensi dengan klien/vendor terkait kebutuhan tender",https://id.jobstreet.com/id/job/92385654?type=standard&ref=search-standalone&origin=cardTitle#sol=84ac9beee581effb9b81c0716fa0fdab3a3231c6,2026-06-04 17:45:15
