source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
1,fresh graduate s1,2026-05-25 13:41:59,Management Trainee,PT Pasifik Agro Sentosa,Jakarta Selatan,https://id.jobstreet.com/id/job/92206825?type=standard&ref=search-standalone&origin=cardTitle#sol=3f53ba7d77b4a3128186d389bba4c9f9b2b7be83,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,business,jabodetabek
2,fresh graduate s1,2026-05-25 13:42:02,Collection Leaders Trainee Program,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,https://id.jobstreet.com/id/job/92195555?type=standard&ref=search-standalone&origin=cardTitle#sol=ce667cb14a14369a4020b16fa4f28dab70909a08,,,,,,unknown,0,0,1,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,finance,jabodetabek
3,fresh graduate s1,2026-05-25 13:42:06,Kasir (Unit Handling Equipment - HE),PT Jaya Trade Indonesia,Jakarta Raya,https://id.jobstreet.com/id/job/92177813?type=standard&ref=search-standalone&origin=cardTitle#sol=7b7d4c52f135e72214b94da07f1cb1e0f985e87a,,,,,,unknown,0,1,0,0,1,3.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,finance,jabodetabek
4,fresh graduate s1,2026-05-25 13:42:08,Management Trainee,PT Daya Anugrah Mandiri,Jawa Barat,https://id.jobstreet.com/id/job/92310808?type=standard&ref=search-standalone&origin=cardTitle#sol=0c46c2a2cad6f44bffe0b976a33105946333a20a,,,,,,unknown,0,0,1,1,1,3.2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,business,lainnya
5,fresh graduate s1,2026-05-25 13:42:12,Marketing Coordinator (Junior),PT Nusantara Sakti Group (JAKARTA),Jakarta Raya,https://id.jobstreet.com/id/job/92063798?type=standard&ref=search-standalone&origin=cardTitle#sol=966ac1ba0e0e98a8cdafc1571993202dde67cefb,Rp 5.000.000 – Rp 6.650.000 per month,5000000.0,6650000.0,5825000.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,business,jabodetabek
6,fresh graduate s1,2026-05-25 13:42:17,Management Trainee,PT Prima Hidup Lestari,Jakarta Selatan,https://id.jobstreet.com/id/job/91904778?type=standard&ref=search-standalone&origin=cardTitle#sol=79cc61773bc2b00cc2d9f30ddf197d1f7a4cfac4,,,,,,unknown,0,0,1,0,1,3.0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,business,jabodetabek
7,fresh graduate s1,2026-05-25 13:42:21,Management trainee,Aksaratra Minimalis,Kabupaten Jepara,https://id.jobstreet.com/id/job/92096862?type=standard&ref=search-standalone&origin=cardTitle#sol=7b0160b7914e00bb37c55ecab63b2e5879904a63,Rp 4.000.000 – Rp 5.000.000 per month,4000000.0,5000000.0,4500000.0,3.0,4 sampai < 6 juta,1,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,business,lainnya
8,fresh graduate s1,2026-05-25 13:42:23,Admin Staff,Coconi Baby Indonesia,Medan Amplas,https://id.jobstreet.com/id/job/92038375?type=standard&ref=search-standalone&origin=cardTitle#sol=0c64eb3244e629a9ff3a35a82046f840d0716c85,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,finance,sumatera
9,fresh graduate s1,2026-05-25 13:42:27,Sales and Billing Supervisor,PT Putraduta Buanasentosa,Jakarta Selatan,https://id.jobstreet.com/id/job/92309387?type=standard&ref=search-standalone&origin=cardTitle#sol=c6657510c284032846c1633418d89f7c637892d1,Rp 6.400.000 – Rp 7.600.000 per month,6400000.0,7600000.0,7000000.0,4.0,6 sampai < 8 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,business,jabodetabek
10,fresh graduate s1,2026-05-25 13:42:30,MDP (Management Development Program),PT. Asuransi Sinar Mas,Jakarta Pusat,https://id.jobstreet.com/id/job/92223018?type=standard&ref=search-standalone&origin=cardTitle#sol=a50522b2ef2deca1a32dfd20c13d071b1446fcee,,,,,,unknown,0,0,1,0,1,3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,business,jabodetabek
