source_id;job_title;company;location;job_url;salary_avg;salary_range_id;f_education_d3;f_education_s1;f_education_s2;f_ipk_required;f_min_gpa;f_major_it;f_major_engineering;f_major_business;f_academic_achievement;f_scholarship;f_transcript_required;f_certificate_required;f_english_required;f_computer_skill_required;f_portfolio_required;f_project_required;f_organization_required;f_leadership_required;f_student_cadre_proxy;f_event_committee;f_communication_required;f_teamwork_required;f_internship_required;f_fresh_graduate_allowed;f_work_experience_required;f_experience_years_min;job_family;region_group;salary_range_label
5355;Cleaning Service;mamikos.com;Tangerang;https://id.jobstreet.com/id/job/92002090?type=standard&ref=search-standalone&origin=cardTitle#sol=5c088eedb40776afa225ec61d20a43bf28125d6b;500000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;other;jabodetabek;0 sampai < 1 juta
6476;Event Runner (Freelance);PT Sahabat Dewata Indonesia;Bali;https://id.jobstreet.com/id/job/91835555?type=standard&ref=search-standalone&origin=cardTitle#sol=737e2b8659c1e73b48f3c5fa69013f0c48750758;550000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;software;lainnya;0 sampai < 1 juta
6906;INTERNSHIP ADMIN SALES (PAID);PT. Riaputra Metalindo;Sidoarjo;https://id.jobstreet.com/id/job/92421803?type=standard&ref=search-standalone&origin=cardTitle#sol=ecbb2afabff860675cf4e473f650fbe510f70bc7;500000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;business;jawa timur;0 sampai < 1 juta
6926;Staff Toko Pagi - Staff Toko Malam - Staff Toko Part Time;Tomodachi Petshop;Bandung;https://id.jobstreet.com/id/job/89051851?type=standard&ref=search-standalone&origin=cardTitle#sol=343e42a4a6a3983b40860e9c9032b6674915be04;975000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;other;jawa barat;0 sampai < 1 juta
6927;Magang Admin Marketing;PT. ZHIKU PRIMA LESTARI;Jakarta Timur;https://id.jobstreet.com/id/job/92385654?type=standard&ref=search-standalone&origin=cardTitle#sol=979de0c58aebc6e1a80c12cfc3cb98e9511b7a8b;625000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;business;jabodetabek;0 sampai < 1 juta
6936;Barista;Brewin Keliling;DI Yogyakarta;https://id.jobstreet.com/id/job/92297688?type=standard&ref=search-standalone&origin=cardTitle#sol=580ece96108d4f47445ebeb22a9ec1442c3534d1;900000.0;0.0;0;0;0;0;0.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;administration;jawa tengah diy;0 sampai < 1 juta
6937;Admin Intern;PT Sembilan Wali Nusantara;Poncokusumo;https://id.jobstreet.com/id/job/92267664?type=standard&ref=search-standalone&origin=cardTitle#sol=2917bfa58f2003251c712770e0beaf341a645ef1;900000.0;0.0;0;1;0;0;0.0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;business;lainnya;0 sampai < 1 juta
6942;TEAM RECRUITMENT (MAGANG);Pengiklan Anonim;Jakarta Selatan;https://id.jobstreet.com/id/job/92243990?type=standard&ref=search-standalone&origin=cardTitle#sol=a835e1443d8afb052eeaf9373ad934518dca0e23;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;other;jabodetabek;0 sampai < 1 juta
6986;Internship;Jogja Digital Academy;Kabupaten Bantul;https://id.jobstreet.com/id/job/92152180?type=standard&ref=search-standalone&origin=cardTitle#sol=c8faca94924b0419c19b71a2c661be183cae543d;900000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;business;lainnya;0 sampai < 1 juta
6988;Sales Marketing & Operation Intern;PT Garda Tani Indonesia;Surabaya;https://id.jobstreet.com/id/job/92126331?type=standard&ref=search-standalone&origin=cardTitle#sol=164041cd2ca5fac7a9dcc47855807b0ac01f225d;790000.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;business;jawa timur;0 sampai < 1 juta
7028;Data Entry Internship;CV Unitech Indonesia;Malang;https://id.jobstreet.com/id/job/91962961?type=standard&ref=search-standalone&origin=cardTitle#sol=f568e7a71195e920166dee47ee8794cdd92f9ad0;850000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;administration;jawa timur;0 sampai < 1 juta
7031;Creative Design (Intern);PT Tiara agung Pratama;Bogor;https://id.jobstreet.com/id/job/91946371?type=standard&ref=search-standalone&origin=cardTitle#sol=9eec834eab774304195a4792b3e08e45db0a2e7e;500000.0;0.0;0;0;0;0;0.0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;business;jabodetabek;0 sampai < 1 juta
7032;Cashier;Prestobox;Sleman;https://id.jobstreet.com/id/job/91946750?type=standard&ref=search-standalone&origin=cardTitle#sol=8ec62029f508ea9c61343d0150e130bdb4ebeeb4;850000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;other;lainnya;0 sampai < 1 juta
7035;Magang Administrasi Garasi;PT. PRIMATRANS JAYA EXPRESS;Surabaya;https://id.jobstreet.com/id/job/91890495?type=standard&ref=search-standalone&origin=cardTitle#sol=4b7b774b3c168040f4c0d9f09fea206e422e093f;900000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;administration;jawa timur;0 sampai < 1 juta
7050;Tax Intern (Paid);PT. Riaputra Metalindo;Sidoarjo;https://id.jobstreet.com/id/job/92485155?type=standard&ref=search-standalone&origin=cardTitle#sol=7c1295efd31619555307f77d913cb5621d22bbe3;500000.0;0.0;0;0;0;0;0.0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;finance;jawa timur;0 sampai < 1 juta
7082;INTERNSHIP ADMIN SALES (PAID);PT. Riaputra Metalindo;Sidoarjo;https://id.jobstreet.com/id/job/92421803?type=standard&ref=search-standalone&origin=cardTitle#sol=6b5947d186964dd43a9493bcc4836b5bf5f2460c;500000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;business;jawa timur;0 sampai < 1 juta
