source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label,source_batch_file
5,Marketing Coordinator (Junior),PT Nusantara Sakti Group (JAKARTA),Jakarta Raya,https://id.jobstreet.com/id/job/92063798?type=standard&ref=search-standalone&origin=cardTitle#sol=966ac1ba0e0e98a8cdafc1571993202dde67cefb,5825000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,business,jabodetabek,4 sampai < 6 juta,graduate_salary_rf_ready_batch_01_umum_fresh_graduate.csv
7,Management trainee,Aksaratra Minimalis,Kabupaten Jepara,https://id.jobstreet.com/id/job/92096862?type=standard&ref=search-standalone&origin=cardTitle#sol=7b0160b7914e00bb37c55ecab63b2e5879904a63,4500000.0,3.0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,business,jawa tengah diy,4 sampai < 6 juta,graduate_salary_rf_ready_batch_01_umum_fresh_graduate.csv
9,Sales and Billing Supervisor,PT Putraduta Buanasentosa,Jakarta Selatan,https://id.jobstreet.com/id/job/92309387?type=standard&ref=search-standalone&origin=cardTitle#sol=c6657510c284032846c1633418d89f7c637892d1,7000000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,business,jabodetabek,6 sampai < 8 juta,graduate_salary_rf_ready_batch_01_umum_fresh_graduate.csv
14,Tax Accounting Staff,PT Cahaya Mas Solusindo,Jakarta Barat,https://id.jobstreet.com/id/job/92311481?type=standard&ref=search-standalone&origin=cardTitle#sol=4c4f07e55ec81baa3e26858108b7293fd172235d,5500000.0,3.0,0,1,0,1,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,finance,jabodetabek,4 sampai < 6 juta,graduate_salary_rf_ready_batch_01_umum_fresh_graduate.csv
16,Social Media Specialist,PT. Lila Sehat Teknologi Medis,Jakarta Utara,https://id.jobstreet.com/id/job/92219548?type=standard&ref=search-standalone&origin=cardTitle#sol=2dd7f0f6484353a34a2e54439f12fed2628e0e07,6750000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,business,jabodetabek,6 sampai < 8 juta,graduate_salary_rf_ready_batch_01_umum_fresh_graduate.csv
18,Sales Development Program- Sales Admin,PT. Mega Bintang Mas Indonesia,Medan,https://id.jobstreet.com/id/job/92085733?type=standard&ref=search-standalone&origin=cardTitle#sol=a4c12cfc9072a25b70baf6ce2aa3d73d4a41df09,5500000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,business,sumatera,4 sampai < 6 juta,graduate_salary_rf_ready_batch_01_umum_fresh_graduate.csv
19,STAF ACCOUNTING,PT Agri Makmur Pertiwi Cabang Surabaya,Jawa Timur,https://id.jobstreet.com/id/job/92234547?type=standard&ref=search-standalone&origin=cardTitle#sol=d17f4f2975ee10b8c8e1ca3220098575a84dc81a,5750000.0,3.0,0,1,0,0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,finance,jawa timur,4 sampai < 6 juta,graduate_salary_rf_ready_batch_01_umum_fresh_graduate.csv
25,Marketing Coordinator (Junior),PT Nusantara Sakti Group (JAKARTA),Jakarta Raya,https://id.jobstreet.com/id/job/92063798?type=standard&ref=search-standalone&origin=cardTitle#sol=41365053164ef6183b91fefcbeab205571151718,5825000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,business,jabodetabek,4 sampai < 6 juta,graduate_salary_rf_ready_batch_01_umum_fresh_graduate.csv
27,Management trainee,Aksaratra Minimalis,Kabupaten Jepara,https://id.jobstreet.com/id/job/92096862?type=standard&ref=search-standalone&origin=cardTitle#sol=b28e476cc0b836be223ec7d4132f7642a9dccf09,4500000.0,3.0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,business,jawa tengah diy,4 sampai < 6 juta,graduate_salary_rf_ready_batch_01_umum_fresh_graduate.csv
30,Sales and Billing Supervisor,PT Putraduta Buanasentosa,Jakarta Selatan,https://id.jobstreet.com/id/job/92309387?type=standard&ref=search-standalone&origin=cardTitle#sol=ee7aab9147be49d108088849c3b8ce36a8a20054,7000000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,business,jabodetabek,6 sampai < 8 juta,graduate_salary_rf_ready_batch_01_umum_fresh_graduate.csv
